K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
0.3,0,0.046629126324672344,0.030350709344138367,0.024,0.15564061166674975,0,0.9764,0.0164,0.7684,6.023914601261714e-05
0.3,1,0.0638046139186416,0.030967834421632263,0.0256,0.16292525893795598,0,0.9752,0.0168,0.7412,6.788118392445651e-05
0.3,2,0.06546788212236938,0.03453060800703947,0.0464,0.21597925826338046,0,0.9548,0.0304,0.5308,0.0002967727889568084
0.3,3,0.06697813094130321,0.038039544980120465,0.0424,0.2054318378440888,0,0.9584,0.0268,0.6028,0.00022903185592158202
0.3,4,0.06593207924043283,0.03521748104852829,0.036,0.18842505141302202,0,0.9644,0.0264,0.6896,0.00017708940702794627
0.3,5,0.06737214873745051,0.033207730559489286,0.044,0.20509509989270833,0,0.956,0.0248,0.5508,0.00022379978202710792
0.3,6,0.06106347823132506,0.027725696092045202,0.0432,0.20330705841165478,0,0.9568,0.0288,0.6052,0.0002529465185763094
0.3,7,0.08772592557166178,0.045131754352448074,0.0448,0.21445969318265845,0,0.9568,0.028,0.6112,0.0002594104541384025
0.3,8,0.06042642984983468,0.0319273586375322,0.0356,0.1852906905378681,0,0.9644,0.0304,0.648,0.00020052900352405075
0.3,9,0.06112303157373161,0.026428413831680236,0.0384,0.19215993338883108,0,0.9616,0.0216,0.6468,0.00015938514252897344
0.3,10,0.07323457329110479,0.03770114806457233,0.0396,0.19705796101654968,0,0.9608,0.0248,0.602,0.00019157187510652107
0.3,11,0.0807137911845274,0.025815431325614098,0.0284,0.1661127328051646,0,0.9716,0.024,0.7296,0.00011322244339760172
0.3,12,0.061628300688957756,0.03153970131835571,0.0268,0.16149848296501115,0,0.9732,0.0184,0.7992,7.963813624786577e-05
0.3,13,0.060792920516225125,0.02761982158804112,0.0364,0.19358471014003145,0,0.9648,0.0272,0.7584,0.00018534575169065352
0.3,14,0.06703984114475846,0.03853261462363199,0.0388,0.19721703780353259,0,0.962,0.0228,0.6228,0.00017086884904722824
0.3,15,0.058799974211906206,0.0326785826249274,0.0268,0.16149848296501115,0,0.9732,0.0176,0.89,7.617560877309593e-05
