K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,reorganization_score_mean,reorganization_score_std
0.1,0.04794277530714417,0.004929716704174103,0.024616651115259954,0.004166552753819998,0.026860000000000002,0.004227777816200598,0.16333220191741868,0.011431803136659547,0.97348,0.004422145228399059,0.01932,0.0032602227886417423,0.77604,0.0661681303475035,8.736669889320564e-05,3.521884851055243e-05
0.15,0.051159743531933644,0.005143542175886348,0.026404395948747016,0.004691697674549325,0.029360000000000004,0.006706352055681003,0.17050950849481178,0.01896732683375929,0.97112,0.006686482829678034,0.02052,0.0043414283363888435,0.76092,0.07332834305189803,0.00010905659499744153,5.6848395099558486e-05
0.2,0.05501794636263232,0.005560802154576711,0.028463205658289303,0.005426500250045721,0.02944,0.00866829674278936,0.1680155141753102,0.02580679217827703,0.9707399999999999,0.008377689670220947,0.02072,0.004862055012787126,0.76246,0.13050956165818092,0.0001146403765830977,7.200332023010508e-05
0.25,0.059817759327127906,0.0066544754880409765,0.030813829655866674,0.006431245040311909,0.03112,0.008597282312329561,0.1739202321461864,0.02231546195652894,0.9692000000000001,0.00874624731557844,0.02284,0.005857105446423713,0.7586,0.11634391848489999,0.00013716785973659696,8.825431013697525e-05
0.3,0.06587453787032374,0.009197870358839838,0.03341641737640546,0.00746707491428682,0.036680000000000004,0.007821266555124929,0.18988423066184518,0.02103738391678716,0.9639200000000001,0.007562344387263709,0.0245,0.005031061413595388,0.67712,0.09963686487493102,0.00018021770169473388,8.433947170782938e-05
0.35,0.07331637759929695,0.01476748606617931,0.03659254987041733,0.008595590112181115,0.0354,0.010449678917253114,0.1869572942414747,0.02847111426112726,0.9654,0.010148787845690834,0.023960000000000002,0.006131059837975983,0.68276,0.12846559400129387,0.00017599271812165327,0.00011404516707275138
0.4,0.08306432454140864,0.023829431418681362,0.04128702028252733,0.011844602918199928,0.04124,0.019931630508737665,0.1985663944911969,0.0451108923568107,0.95984,0.0185578583156343,0.02828,0.010050064152714857,0.67638,0.13747598297425206,0.0003101191428652112,0.00041271369766398056
0.45,0.09736106810908192,0.035699189473982054,0.046398985273721424,0.013306452565295397,0.05466,0.040974297463551204,0.22586386760275823,0.06761227941668349,0.94776,0.03480481515386537,0.034460000000000005,0.017705556665694115,0.57936,0.15919816978582982,0.00078788434843853,0.0020524603804447897
0.5,0.12636839346887313,0.055010410400445034,0.04785508305431855,0.010806638464795428,0.07958,0.06088739909390984,0.2645373460415016,0.09005907154586962,0.9243600000000001,0.054933130641765374,0.04874,0.031049373245644888,0.49758,0.2440501234108316,0.002021314951517052,0.0037227671781335527
0.55,0.17665068196770634,0.0797086025685091,0.054321192434804134,0.010517881323754167,0.1715,0.17178654441517027,0.37429178915512556,0.17423009762064656,0.85232,0.1266209660863144,0.08388,0.062150120463955745,0.31145999999999996,0.20739678828148153,0.012387570545911414,0.02628299740830921
0.6,0.23658012825051608,0.10369761820293429,0.05390445439802545,0.015466172999943448,0.3581,0.37266272320042676,0.5192217082954977,0.26088831575923344,0.74632,0.20900895372409792,0.14618,0.11050143890465862,0.24024,0.16194316871895784,0.049082690181924814,0.07545546398694172
0.65,0.37196636761200913,0.13538034617445066,0.04637590630296462,0.016020345788202467,1.3198,1.338947001820539,0.8947553245409512,0.400789679987971,0.5091,0.23078333881301794,0.30670000000000003,0.17343586104014602,0.12396,0.13154133390807538,0.2212787275004498,0.22137952756554213
0.7,0.5034344145792675,0.12801880734573334,0.03778024257236257,0.022006062789931093,2.9491,1.9046791618206163,1.264414535704195,0.3102333551240437,0.3476,0.14938357550808237,0.46634000000000003,0.14824998943818193,0.08556,0.018348623926605506,0.4493259535353199,0.2289843610580976
0.75,0.6424698588599665,0.07020579409643891,0.023960481755128025,0.01697001593331852,5.47474,1.403756117819541,1.5062086267874668,0.1438304139969706,0.2572,0.025944393979188806,0.56448,0.03876093529912763,0.0796,0.0,0.6317566085527979,0.07293834653330833
0.8,0.7256711538425568,0.04009698563256811,0.014733507337762483,0.003679893183964822,6.97122,0.5450008513754817,1.5267310631487396,0.07304894405893783,0.25792000000000004,0.01398200347062722,0.53258,0.058192490020077696,0.0796,0.0,0.6014510084389706,0.05331140518935558
0.85,0.7778863832025291,0.03224263952069801,0.011153834827140196,0.0027919895459500815,7.265600000000001,0.2928983728908464,1.6374199947969932,0.12852366826474731,0.24100000000000002,0.02312091784737931,0.45317999999999997,0.06591982051585173,0.0796,0.0,0.5582870274538856,0.05860328790523582
0.9,0.8187006663920864,0.02361718355181159,0.008861665313964307,0.0019507358982049142,7.20676,0.4797094366165288,1.6564986879318155,0.09111769647389564,0.23684,0.023078046072540794,0.36024,0.07112833767952569,0.0796,0.0,0.45427565879157533,0.0874916269624846
0.95,0.8492711561382086,0.01912874501369187,0.006427978350340917,0.0013648459874386874,6.62426,0.5707578160932876,1.5693117776649628,0.19709398367819805,0.25156,0.030211576728483614,0.26198,0.07587762724143048,0.0796,0.0,0.3124479937451097,0.10457913161422051
1.0,0.8721667977430586,0.01591770736934078,0.005634982337063422,0.0015749676350020508,5.803,1.101229968812385,1.4575824420390828,0.2570528363860013,0.28108,0.05502858204701683,0.18452,0.08500680839605855,0.0796,0.0,0.2127712094271974,0.13304972490943995
1.05,0.8899981926216688,0.013582766051644516,0.004179602066240459,0.0010353885633086932,5.26278,1.1532174157547224,1.2299571265415197,0.2574311371788342,0.32892,0.09114542226573973,0.12383999999999999,0.06240801567949931,0.08032,0.0032199378875996964,0.11770234065869575,0.07848541648406608
1.1,0.9045960511452596,0.011416189437591678,0.0034580722481773554,0.0011342258689835793,4.69304,0.9432579724159852,1.0492828207647988,0.27798579677436913,0.39194,0.1013694254746106,0.07854,0.043017993787177994,0.08346,0.01156348153728616,0.06068209030621781,0.04729718699899071
1.15,0.9162693653780029,0.009742926268399647,0.002632984665291103,0.0007357228031536047,4.1356,1.1344991716728203,0.8484941858080273,0.2289019662603756,0.45518000000000003,0.12654758040066652,0.048620000000000003,0.03444121765681653,0.10772,0.06320214520010167,0.02942879920957442,0.027003327842257216
1.2,0.9259970349962108,0.008237919445219899,0.0019610569221744784,0.0005845129587006802,3.83442,1.0887555617599196,0.7033978292367096,0.19924995628365047,0.53906,0.13050698065620855,0.028399999999999998,0.024578638564497636,0.21095999999999998,0.18109530610906743,0.013234983058495759,0.016434694490547335
1.25,0.9340753466231104,0.006906772634554523,0.0014072468784069097,0.0007173712280053677,3.45442,1.0074601685217606,0.4952938670116687,0.259268723225085,0.6631,0.20376617662615676,0.01632,0.01596712411900086,0.36985999999999997,0.33822843168486,0.00574667640299891,0.008914056980947969
1.3,0.9407965353528078,0.005960473492615424,0.0009285787333394829,0.0007501197688456751,3.05366,1.017820451749718,0.36045972841111174,0.28248677694956864,0.76186,0.19744555118870247,0.00892,0.010228628554467269,0.56322,0.3644093354861723,0.002230071521087583,0.00327588726660178
1.35,0.9465390256309247,0.005093536298063272,0.0004678550767663791,0.0006529357621514938,2.80434,1.2748945766116053,0.1708085345372397,0.24775462506541807,0.91578,0.13187831552330034,0.00486,0.0084865466288833,0.8002,0.31559026067288415,0.0007988499679167232,0.0017547158362539181
