K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,n_switches,Kij_mean_final,Kij_std_final,Kij_min_final,Kij_max_final,Kij_density_weak,Kij_density_strong,Kij_mean_time,Kij_std_time
0.4,0,0.5551262762473922,0.206918558510599,3.738,2.959283021273903,0,0.2072,0.476,1190,1.5485656261444092,1.0525753498077393,0.0,2.5,0.0698872180451127,0.5946491228070175,0.9635709249973295,0.8588451862335205
0.4,1,0.8162931451658297,0.0661994277355637,10.1392,3.349958710193306,12,0.1452,0.6816,1704,1.9287611246109009,0.9932343363761902,0.0,2.5,0.0697869674185463,0.7569924812030076,1.644413502216339,0.9712487483024596
0.4,2,0.5134600130921919,0.1282432579099423,2.6084,2.247276004410673,0,0.2208,0.4284,1071,1.2877023220062256,1.0384541749954224,0.0,2.5,0.1002882205513784,0.4966917293233083,0.862388356924057,0.8697449839115143
0.4,3,0.71711504922863,0.0975711937746668,6.6284,3.275227234864781,7,0.118,0.6552,1638,1.698516011238098,1.075652241706848,0.0,2.5,0.0760651629072681,0.6591228070175439,1.3223208224773406,0.9936482572555542
0.4,4,0.5901651093648346,0.1201637684059309,3.4944,2.506704737299549,3,0.1568,0.5276,1319,1.442523717880249,1.094383955001831,0.0,2.5,0.1103383458646616,0.5563157894736842,1.0295384073257443,0.9579635465145112
0.4,5,0.4444885132743327,0.2556514604617214,2.6312,2.9310725954844585,0,0.4108,0.3468,867,1.4731919765472412,1.0473294258117676,0.0,2.5,0.1115538847117794,0.6024937343358396,0.8075406450033188,0.780725040435791
0.4,6,0.4329048365013215,0.1348999133760112,1.4128,1.6235751168332186,0,0.3792,0.3096,774,1.089333176612854,1.0073662996292114,0.0,2.5,0.1445238095238095,0.4053383458646616,0.7282156747579575,0.8106289207935333
0.4,7,0.7763410215088922,0.0457197266262317,8.712,2.742746069179573,10,0.1356,0.6844,1711,1.7708361148834229,1.0545848608016968,0.0,2.5,0.0770802005012531,0.6922055137844612,1.5451239490509032,1.0245927584171295
0.4,8,0.5091787523125252,0.1680885743546948,2.2952,2.026636859429928,0,0.2536,0.4268,1067,1.2919917106628418,1.0798436403274536,0.0,2.5,0.1196616541353383,0.4960401002506265,0.8426950144767761,0.8388649332523346
0.4,9,0.6424191011832853,0.1312599797669465,5.2236,3.382307354454944,1,0.1152,0.582,1455,1.6272037029266355,1.0383487939834597,0.0,2.5,0.0607268170426065,0.6382581453634085,1.1161236023902894,0.9492675578594209
0.4,10,0.7191555582608969,0.0651712496026891,6.3472,2.8026152358110097,6,0.1204,0.6572,1643,1.629754900932312,1.103538155555725,0.0,2.5,0.1142606516290726,0.6317293233082707,1.3337434136867523,1.0164947307109833
0.4,11,0.6653311950461155,0.1859699176145581,6.28,3.65414832758606,9,0.1208,0.5908,1477,1.6992552280426023,1.0612043142318726,0.0,2.5,0.0738095238095238,0.6510275689223057,1.1978870558738708,0.9231145071983338
0.4,12,0.7287250252290012,0.0774208976008573,6.9492,2.9590909685239484,8,0.1336,0.6616,1654,1.6483362913131714,1.088840126991272,0.0,2.5,0.0725814536340852,0.6264411027568922,1.3378344535827638,1.0006911075115204
0.4,13,0.6576308516799924,0.1034664417351013,4.9364,2.698509781342288,6,0.142,0.6232,1558,1.5021648406982422,1.121964931488037,0.0,2.5,0.1238972431077694,0.5749248120300752,1.1568146061897278,0.9785662543773652
0.4,14,0.7159555917652316,0.0987544459894971,6.8436,3.4433615900744434,9,0.1316,0.5968,1492,1.7277719974517822,1.055004596710205,0.0,2.5,0.0833834586466165,0.680952380952381,1.3066359555721283,0.9739093697071076
0.4,15,0.6290648449634381,0.1068501217520369,4.4292,2.8862756902278064,2,0.1292,0.5592,1398,1.4812095165252686,1.0900964736938477,0.0,2.5,0.0956015037593984,0.5582456140350878,1.087121503353119,0.9614508461952208
0.4,16,0.7317707448213527,0.0715274076865831,7.1724,3.098818845947598,9,0.126,0.6716,1679,1.6840683221817017,1.080331563949585,0.0,2.5,0.0987719298245614,0.6508145363408522,1.3755358469486236,1.0082077407836914
0.4,17,0.7216709165099167,0.0533700677391269,6.772,2.5215899745993595,8,0.1648,0.6904,1726,1.5722763538360596,1.0924824476242063,0.0,2.5,0.0874937343358396,0.5862406015037595,1.3336406028270722,1.0401921665668488
0.4,18,0.6871613914494533,0.0773795996101046,5.546,2.621122660235496,6,0.1372,0.6508,1627,1.5372035503387451,1.1107490062713623,0.0,2.5,0.1062531328320802,0.5855012531328321,1.2276289939880372,1.0135319817066193
0.4,19,0.5055691285500892,0.1530887444175899,2.4564,2.177176850878219,0,0.2356,0.4112,1028,1.3327974081039429,1.0546280145645142,0.0,2.5,0.1081578947368421,0.5183959899749373,0.8675031661987305,0.8625128400325776
0.45,0,0.5521778882146847,0.2096629588949562,3.7992,3.0116572447740464,0,0.196,0.48,1200,1.53464937210083,1.0660637617111206,0.0,2.5,0.079235588972431,0.5972681704260652,0.9651782393455506,0.8597597813606263
0.45,1,0.8059730531667956,0.0587189587335296,9.8012,3.174535959790029,12,0.1244,0.6816,1704,1.9014524221420288,1.015060305595398,0.0,2.5,0.0988345864661654,0.7468546365914787,1.6332483053207398,0.9926521039009094
0.45,2,0.5177644512750632,0.1327905782159706,2.758,2.327968212841404,0,0.1908,0.4512,1128,1.3251129388809204,1.036810040473938,0.0,2.5,0.0977694235588972,0.5130451127819549,0.864464521408081,0.866811351776123
0.45,3,0.714943747091638,0.0946492507355487,6.5128,3.284666826331097,7,0.1156,0.6432,1608,1.6913079023361206,1.0808135271072388,0.0,2.5,0.0801754385964912,0.6530952380952381,1.3221828389167785,0.9971237504482268
0.45,4,0.567731518125121,0.1151667775134531,2.964,2.302412647637256,1,0.1812,0.4924,1231,1.3818250894546509,1.103899002075195,0.0,2.5,0.1433208020050125,0.5326315789473685,0.9973523771762848,0.9582487297058104
0.45,5,0.4281983926154414,0.2402313797760342,2.25,2.7118075152930747,0,0.4212,0.3312,828,1.4175119400024414,1.0261280536651611,0.0,2.5,0.1029197994987468,0.5845112781954888,0.7760381060838699,0.7809585082530975
0.45,6,0.4531445989599763,0.1461428993054741,1.732,1.880684981595801,0,0.3636,0.352,880,1.131230711936951,1.0374521017074585,0.0,2.5,0.1477318295739348,0.4261654135338346,0.7591399347782135,0.8172228229045868
0.45,7,0.7826672968263836,0.0437282281929513,9.0448,2.627164433376792,8,0.1432,0.6872,1718,1.7762529850006104,1.0630097389221191,0.0,2.5,0.0772932330827067,0.6847368421052632,1.5707513403892517,1.0251246094703674
0.45,8,0.508937060588336,0.169072383390851,2.4472,2.2161254838117808,0,0.2588,0.4224,1056,1.2937458753585815,1.0810377597808838,0.0,2.5,0.122593984962406,0.4991604010025062,0.8427904850244522,0.8390207779407501
0.45,9,0.6242224581008372,0.1237796047938779,4.6948,2.8659471314035088,6,0.132,0.5636,1409,1.53300142288208,1.0701414346694946,0.0,2.5,0.0926190476190476,0.5852631578947368,1.0852077507972715,0.9549076628684996
0.45,10,0.7231257365893726,0.0627293492422836,6.504,2.806062009293451,6,0.1284,0.6852,1713,1.6352845430374146,1.1052675247192385,0.0,2.5,0.1126817042606516,0.6314786967418546,1.351959478855133,1.0224554359912872
0.45,11,0.6555557445713637,0.1773334330313576,5.764,3.419401117154874,7,0.1252,0.584,1460,1.657204508781433,1.0712902545928955,0.0,2.5,0.089937343358396,0.6347744360902255,1.1795567286014557,0.93718701004982
0.45,12,0.721508297804474,0.0855032214030486,6.7964,3.024392011628122,8,0.1328,0.652,1630,1.646491765975952,1.0907542705535889,0.0,2.5,0.0757894736842105,0.6262406015037594,1.323618805408478,1.0004407525062562
0.45,13,0.6617210840837994,0.0953756167173099,4.798,2.6775354339392035,6,0.1252,0.6172,1543,1.5075960159301758,1.116412878036499,0.0,2.5,0.1233333333333333,0.5802005012531328,1.167323341369629,0.98736186504364
0.45,14,0.7204831897063213,0.0925959175598488,6.8112,3.283466850753941,9,0.1228,0.6084,1521,1.7205325365066528,1.0653834342956543,0.0,2.5,0.0823057644110275,0.6719047619047619,1.3213497185707093,0.9797844076156615
0.45,15,0.6337857242542752,0.1004393024363634,4.5184,2.821925130119508,3,0.1564,0.578,1445,1.4829182624816897,1.0921733379364014,0.0,2.5,0.0958395989974937,0.5593358395989975,1.0979963612556458,0.9679789078235628
0.45,16,0.7243637761111816,0.0737390859512893,6.9284,3.148217502016022,9,0.1108,0.6644,1661,1.6845847368240356,1.0759570598602295,0.0,2.5,0.0941478696741854,0.6593483709273184,1.3557261908054352,1.009391348361969
0.45,17,0.7169599974418259,0.0537682755160362,6.6608,2.4342849792084738,7,0.1592,0.6764,1691,1.5644807815551758,1.096650242805481,0.0,2.5,0.0897243107769423,0.5862781954887218,1.3240240430831909,1.0429839634895324
0.45,18,0.6743538003468178,0.0795595858857111,5.1584,2.5073710216080904,4,0.14,0.6512,1628,1.5139795541763306,1.1161617040634155,0.0,2.5,0.1178822055137844,0.5816666666666667,1.2067159497737885,1.0190396070480348
0.45,19,0.5338660698389363,0.1516997165957045,2.842,2.460779551280447,0,0.2188,0.4192,1048,1.40754497051239,1.0738457441329956,0.0,2.5,0.1242731829573934,0.5496741854636591,0.9157066333293916,0.8785396778583526
0.5,0,0.5469948994807224,0.2161238803408172,3.6852,3.048229151491076,0,0.2196,0.4604,1151,1.5561810731887815,1.0501446723937988,0.0,2.5,0.0767167919799498,0.6108897243107769,0.9579350543022156,0.8564544737339019
0.5,1,0.8060305738812598,0.0509916826761477,10.18,2.9357792832568324,12,0.1412,0.6948,1737,1.8903290033340447,1.0183316469192505,0.0,2.5,0.0997994987468671,0.7437719298245614,1.6485581135749816,1.0037616574764252
0.5,2,0.5139110975861995,0.132619228077143,2.6584,2.2983710405415394,1,0.1984,0.4532,1133,1.3213670253753662,1.030792474746704,0.0,2.5,0.0962781954887218,0.5187593984962406,0.8565654563903808,0.8650724565982819
0.5,3,0.7163203710876176,0.0877673841914437,6.6764,3.1501877785300354,7,0.1216,0.6584,1646,1.6837214231491089,1.0896557569503784,0.0,2.5,0.0851503759398496,0.6494235588972431,1.3292318189144134,1.0003913426399231
0.5,4,0.6083466913661881,0.1241883508505981,3.8904,2.818082298301453,1,0.15,0.544,1360,1.520011305809021,1.072399377822876,0.0,2.5,0.0869924812030075,0.5981829573934837,1.0537651085853577,0.9551496148109436
0.5,5,0.4287429834825143,0.2149010325173695,1.9752,2.311403244784432,0,0.398,0.3324,831,1.3479211330413818,1.016150951385498,0.0,2.5,0.1070300751879699,0.5591729323308271,0.7691207551956176,0.7927489733695984
0.5,6,0.455876319858799,0.1812931068817324,2.004,2.0928411310942834,0,0.336,0.3676,919,1.2116913795471191,1.0403069257736206,0.0,2.5,0.1248120300751879,0.4558270676691729,0.7745724046230316,0.8163762295246124
0.5,7,0.7840525995572544,0.0463559641218947,9.1956,2.7661779841506946,10,0.1436,0.6756,1689,1.786994457244873,1.058733582496643,0.0,2.5,0.0738847117794486,0.6904010025062657,1.57619886636734,1.0262640869617463
0.5,8,0.5087768197628844,0.1702750231230249,2.3528,2.133244514817746,0,0.2628,0.4236,1059,1.3115946054458618,1.0758706331253052,0.0,2.5,0.1193107769423559,0.5062907268170426,0.8428119093179702,0.8393461632728577
0.5,9,0.6025463478860593,0.1087219364311159,3.9628,2.445202682805661,2,0.1424,0.5456,1364,1.4005059003829956,1.0887762308120728,0.0,2.5,0.1183333333333333,0.5434837092731829,1.0506955480575562,0.9649755704402924
0.5,10,0.7286158036002505,0.0666424204001933,6.7112,3.011410725889114,7,0.12,0.66,1650,1.651940941810608,1.105539321899414,0.0,2.5,0.1165413533834586,0.6347619047619047,1.3713186120986938,1.024955494403839
0.5,11,0.6749680133834951,0.1813442049796942,6.4872,3.669691561970842,8,0.1196,0.6016,1504,1.7202049493789673,1.0523269176483154,0.0,2.5,0.0708020050125313,0.6622556390977443,1.2240083408355713,0.9361806559562684
0.5,12,0.7119743739296726,0.0796300659088794,6.5072,2.9060537090700853,8,0.1264,0.6568,1642,1.6260044574737549,1.090892314910889,0.0,2.5,0.0803634085213032,0.6192606516290727,1.30384304523468,1.007658966779709
0.5,13,0.665623185300336,0.0884585204943619,4.8596,2.5593530119934607,5,0.1488,0.6372,1593,1.4930061101913452,1.1261217594146729,0.0,2.5,0.1370175438596491,0.5702130325814536,1.1807423329353333,0.9961246168613432
0.5,14,0.7165549617675597,0.0929511839790417,6.5808,3.207159391112328,7,0.1112,0.618,1545,1.7177687883377075,1.0565465688705444,0.0,2.5,0.0786215538847117,0.6747117794486216,1.3126645910739898,0.983932056427002
