K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,Kij_mean_final_mean,Kij_mean_final_std,Kij_std_final_mean,Kij_std_final_std,Kij_density_weak_mean,Kij_density_weak_std,Kij_density_strong_mean,Kij_density_strong_std,adaptive_reorganization_score
0.4,0.6379763533077362,0.11141023066066366,0.11738573773352264,0.05488419372125575,5.23078,2.3261666228956357,2.795374881432528,0.5160388237700518,0.17918,0.08465662904997613,0.56156,0.12074204953667045,1.5486731946468353,0.19574260978829283,1.0670306354761123,0.033095041065214534,0.09520614035087716,0.02222037328571156,0.5981190476190477,0.08020682179165199,2.448301377147334
0.45,0.6360741942856323,0.10871394916740117,0.11533432619457999,0.0534257575732173,5.13928,2.2660369322953047,2.7493203021928463,0.4107781421313473,0.17732,0.083437727172961,0.56204,0.11662278553208699,1.5403354167938232,0.18269151422580848,1.0742156088352204,0.028502683651359814,0.10242042606516286,0.021434498122045103,0.5951817042606515,0.07281433771246548,2.429672493745131
0.5,0.6387058070548427,0.10894333942703101,0.11334215128592799,0.054256317061462014,5.19768,2.3177809736220136,2.7257576866472726,0.4180964906048786,0.17726,0.0775388011527811,0.5660999999999999,0.1148016412866352,1.5420204043388366,0.17886205180455278,1.0731696426868438,0.03205470245853955,0.10149686716791977,0.022470934162147294,0.5980187969924813,0.07024687260891602,2.406679379259947
0.55,0.6322661356055292,0.13175201812754683,0.10677991976190385,0.05043130970426879,5.19658,2.5445809911715482,2.6227316527243563,0.4874284636288122,0.19702,0.12685603775851378,0.55912,0.14283750650007127,1.5182332634925841,0.21892297515022535,1.0658759891986846,0.050955968430949766,0.1031040100250626,0.02442136920909926,0.5856760651629073,0.08814227871537457,2.2447359657505754
0.6,0.6542674691212749,0.10218921871821204,0.09995737472617636,0.04742029739650417,5.44096,2.398144912525864,2.603535021244001,0.4379565000701366,0.16696,0.04082278001828211,0.58634,0.10156943386047222,1.5467958331108094,0.18611993422751236,1.0757916748523713,0.03087000244319927,0.09849436090225559,0.025370983758628948,0.5952738095238095,0.07520425957680586,2.3332294982191013
0.65,0.6688111114164443,0.08828943252301504,0.09612135629933158,0.04480317110283048,5.68984,2.199548487255844,2.6968199147553404,0.3707322077627339,0.15384,0.03632424737511323,0.60232,0.08563468062832835,1.576172661781311,0.16190740020528452,1.0732620537281037,0.03395643132604811,0.09181328320802001,0.02499451860833546,0.6074918546365915,0.0646960957974923,2.44912083340425
0.7,0.679937022231462,0.08586561850934282,0.08826897029584031,0.04247388171492485,5.97966,2.2978964230241896,2.672095102765459,0.3947583855005512,0.15431999999999998,0.03449084699330809,0.6096600000000001,0.076667569483624,1.588169139623642,0.16100084230430017,1.0720298558473587,0.03511443919515279,0.08980952380952377,0.022583897180440515,0.6114780701754385,0.0646916802324929,2.4225059447096573
0.75,0.6974309326910157,0.08017110359016777,0.0751415634966062,0.03230571309281649,6.3965000000000005,2.281539287872392,2.6221976161314355,0.3404284698877623,0.14894000000000002,0.026321822045395602,0.63082,0.07144764443098765,1.6012632131576539,0.16218571385559533,1.077103653550148,0.03752166427348126,0.08849436090225561,0.020360995372119405,0.6138991228070176,0.06832186320326344,2.4037156791164342
0.8,0.7182861078950916,0.06991463735525627,0.06769919676874729,0.03297016631593212,6.97864,2.150227457833485,2.662102291607411,0.3363127069583511,0.14464,0.021875590819088988,0.64946,0.06517478039855605,1.635503077507019,0.14249227701626094,1.0795096009969711,0.036796096871748694,0.08868295739348367,0.019338523494424713,0.6279035087719298,0.060378773452367696,2.45810361553918
0.85,0.7303867561881602,0.06389993822439718,0.060714957291118955,0.03018430693274304,7.3712,2.165738361998415,2.5621929907400154,0.356763401183377,0.15402,0.020548469017115812,0.66576,0.05214173396668574,1.646311217546463,0.13982946712081623,1.0815938979387283,0.03619483145082969,0.09408521303258141,0.025726013723312933,0.6337731829573935,0.05665461243684041,2.344424024244328
0.9,0.7448936470798071,0.06926621977508386,0.05285256189289348,0.03959336315271577,8.017959999999999,2.3213139759967616,2.4442413241159096,0.3352424754587203,0.16258,0.02436960142645363,0.67428,0.057468431608831534,1.663567990064621,0.1363048270225767,1.0825479328632355,0.04103435238164219,0.09211090225563906,0.02613386260228486,0.6396441102756892,0.056485138287691465,2.2158203483325547
0.95,0.7621862434763581,0.0704480394307248,0.04162117474674818,0.028745872192071864,8.73978,2.6056982916192286,2.2861415161231697,0.2980676579112359,0.17443999999999998,0.02616897319144823,0.6841999999999999,0.05853301362658961,1.6894561052322388,0.15087586454313467,1.0733506470918655,0.05005643905588827,0.08616165413533831,0.03179129663768817,0.6510570175438597,0.060387084981097905,2.0257851130577436
1.0,0.7908835515157379,0.053593201758414026,0.02911185446403871,0.018068928115164112,9.897079999999999,2.3339251928660305,2.1816425689458954,0.25946647560179376,0.18538000000000002,0.026454322102347227,0.7075199999999999,0.029252469081573636,1.7415293097496032,0.14202003451906806,1.0660983085632325,0.05442520204592538,0.08469548872180446,0.030731996686186234,0.6719981203007519,0.05931837381487406,1.8946802226318487
1.05,0.8189118257924346,0.05052597278760349,0.022234310188972727,0.012842055454765279,11.06868,2.2083557306881425,2.088140984789475,0.19883080255502225,0.1913,0.01646527446348511,0.7116,0.027575122273909354,1.8216152846813203,0.1568249203622652,1.033048641681671,0.07079935972204364,0.0719912280701754,0.018923360524305127,0.7062593984962405,0.0677571955931159,1.7444881818906715
1.1,0.8458160042823494,0.048244667461439926,0.01676762192431466,0.007644200916403649,12.0938,1.6681655629053003,2.0118610847280762,0.09547117369721782,0.19662,0.011109010093755341,0.7029,0.040680914961505756,1.9048849523067475,0.177898559098944,0.9902779638767243,0.10534323412822431,0.0717756892230576,0.025169980962882775,0.7429210526315789,0.07724691555544148,1.600575338611095
1.15,0.8711657396264213,0.04703285215421039,0.01586300136232798,0.006768529514271003,12.573780000000001,1.2069223877719986,1.9183726293547356,0.08113924965338344,0.20802,0.010582587485805959,0.6824399999999999,0.055936339755682615,1.995672196149826,0.18016556116680768,0.9365744471549988,0.12461156817691182,0.06865852130325811,0.030729422956426767,0.7845075187969924,0.07764874760367638,1.4229495035662574
1.2,0.8947453876247531,0.04436528309918765,0.01385095260867635,0.006305931621749645,12.480540000000001,1.2335289028252494,1.842770606549654,0.15955175249040057,0.21554,0.019002614778525953,0.63768,0.08812217356422962,2.091177451610565,0.1784925341245958,0.8559879153966904,0.1471801040640601,0.04973934837092728,0.02416796630196264,0.8243095238095238,0.0770509818677852,1.237398865233136
