section,source_relative_path,canonical_relative_path,role,status,copy_status,extension,size_bytes,sha256,copied_at,rows,columns,column_names,npz_arrays,npz_shapes
arrays,csv/rossler_recovered_arrays_20260516_135946.npz,arrays/rossler_recovered_arrays.npz,Recovered numerical arrays underlying the Rössler summary,final_reference,copied,.npz,3546,3931c71bc002b4a94e44b88bcf58074def43b3b5e16d0c23046c466a427263f3,2026-07-11T05:41:53,,,,delta_values | mean_transitions | mean_dwell | mean_occupancy | mean_phase_transitions | mean_phase_dwell | mean_phase_occupancy,"delta_values: (30,) | mean_transitions: (30,) | mean_dwell: (30,) | mean_occupancy: (30,) | mean_phase_transitions: (30,) | mean_phase_dwell: (30,) | mean_phase_occupancy: (30,)"
csv,csv/rossler_summary_df_20260516_135946.csv,csv/rossler_main_summary.csv,Main 30-point Rössler summary across the compatibility parameter,final_reference,copied,.csv,2090,a051fd08c0aebfd2ac55a1b79f56f01bfad17a6d1565e02bbe135f7494baf537,2026-07-11T05:41:52,30.0,7.0,delta | mean_transitions | mean_dwell | mean_occupancy | mean_phase_transitions | mean_phase_dwell | mean_phase_occupancy,,
