topology,peak_K_reorganization,peak_reorganization_score,R_mean_at_peak,cluster_mean_at_peak,dominant_fraction_at_peak,switching_rate_at_peak,memory_score_at_peak
all_to_all,0.6,0.5637144644329983,0.4192163856025637,2.95955,0.259375,0.418975,0.10282500000000001
small_world,1.0,0.14523165178296782,0.4293894837175367,2.588225,0.35095,0.123525,0.135125
scale_free,0.7,0.3563503582984154,0.4120920502381164,2.303025,0.32284999999999997,0.3426,0.1101
modular,0.7,0.32697291261759875,0.43033352850408335,2.623625,0.3378,0.340375,0.109325
spatial_lattice,1.2,0.050696342089684834,0.24650230445102617,0.838175,0.5884750000000001,0.07339999999999999,0.24442500000000003
