control_type,K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
original,0.4,0,0.08648299896064761,0.048070746687975854,0.034,0.18932511719262185,0,0.9675,0.022,0.6075,0.0001353674649457908
original,0.4,1,0.13641221594154926,0.056823185104891656,0.105,0.31933524703671534,0,0.899,0.052,0.194,0.0016771487496896884
original,0.4,2,0.10333499007978904,0.049973401775231956,0.0535,0.22942918297374462,0,0.9475,0.0305,0.487,0.00036737349128174065
original,0.4,3,0.09700860243418268,0.03918848399744372,0.0405,0.1971287650242856,0,0.9595,0.027,0.5735,0.0002155603125377712
original,0.4,4,0.09243248529395501,0.03822245286283461,0.0295,0.16920328011004987,0,0.9705,0.025,0.7705,0.0001247874240726584
original,0.4,5,0.10910756282335402,0.04200982799423483,0.059,0.23562470159132295,0,0.941,0.039,0.445,0.000542172452263492
original,0.4,6,0.07604572399307136,0.040376761475673706,0.0485,0.21482027371735654,0,0.9515,0.0335,0.546,0.00034902925014105825
original,0.4,7,0.23203076129147882,0.03978303577080506,0.2345,0.48837460007662153,0,0.794,0.12,0.1275,0.01207262021449925
original,0.4,8,0.07891041747369183,0.027110276309010466,0.03,0.1705872210923198,0,0.97,0.021,0.7245,0.0001074699544057782
original,0.4,9,0.07898437617581286,0.04951201722763427,0.0595,0.24891715489294827,0,0.9435,0.042,0.657,0.0005906804226247855
original,0.4,10,0.09247655210525557,0.06024061528413117,0.0605,0.24049896049671401,0,0.94,0.037,0.595,0.0005339077067326432
original,0.4,11,0.14785905532418553,0.04822631597042828,0.068,0.26148804944012255,0,0.9345,0.042,0.374,0.0007193536411372445
original,0.4,12,0.07879696423090325,0.04972641807983079,0.041,0.19829019138626097,0,0.959,0.023,0.628,0.0001869876586071421
original,0.4,13,0.09809163567143964,0.05721917768917533,0.0475,0.2241511766643218,0,0.955,0.0315,0.682,0.0003177343030084794
original,0.4,14,0.08585256033674445,0.05205419636422321,0.042,0.203066491573573,0,0.9585,0.035,0.783,0.0002949540874378741
original,0.4,15,0.08176505401005288,0.053288321118377245,0.0485,0.24929450455234664,0,0.9575,0.025,0.7245,0.00026487542168188464
original,0.4,16,0.09169674981494882,0.041329902664168416,0.043,0.20285709255532572,0,0.957,0.027,0.5515,0.00023551709317958834
original,0.4,17,0.13329335391109512,0.03227624039255509,0.0675,0.2548406364769952,0,0.9335,0.039,0.4845,0.0006609292076499893
original,0.4,18,0.10022628007357824,0.04866064697427489,0.0315,0.17466467874186814,0,0.9685,0.024,0.727,0.00013204650263078959
original,0.4,19,0.11400885686316135,0.060131086601273524,0.0665,0.25115284191105625,0,0.934,0.044,0.374,0.0007293478694857942
original,0.45,0,0.10298565214575245,0.04902022976563661,0.0435,0.20397977840952766,0,0.9565,0.034,0.6275,0.00030168610114081167
original,0.45,1,0.19759532197885107,0.07568295286368718,0.1965,0.47104962583574994,0,0.8345,0.0965,0.3035,0.007523015889775015
original,0.45,2,0.11264058705094541,0.06055546918620138,0.034,0.1945353438324255,0,0.968,0.027,0.8305,0.00016807854329634677
original,0.45,3,0.12556271231966462,0.04555748442497704,0.0945,0.29760670355353225,0,0.907,0.0545,0.2565,0.0015084196046385012
original,0.45,4,0.23433780172508084,0.03929315520430072,0.1915,0.42758361755333896,0,0.822,0.11,0.1095,0.008372087307804263
original,0.45,5,0.18954207932648837,0.05112084652922208,0.1795,0.42341439512609863,0,0.8355,0.083,0.186,0.005781088513505854
original,0.45,6,0.07917068151962384,0.055409984363118954,0.0405,0.19712876502428558,0,0.9595,0.022,0.6145,0.00017564173762035337
original,0.45,7,0.29168243603623245,0.03067614047118748,0.3575,0.5680613963296574,0,0.688,0.1605,0.0995,0.028446242659839083
original,0.45,8,0.10906716443411167,0.046990138466883484,0.039,0.19359493795035035,0,0.961,0.035,0.648,0.0002642570978524311
original,0.45,9,0.11615488261560873,0.07069170800847065,0.075,0.2745450782658469,0,0.928,0.046,0.533,0.0009092933189837299
original,0.45,10,0.18198673845844213,0.04589493011659683,0.0995,0.3187471568500651,0,0.9065,0.061,0.27,0.0018179744388972059
original,0.45,11,0.194098947017589,0.04974133249118647,0.1905,0.44967738435460597,0,0.832,0.095,0.338,0.007176851129845314
original,0.45,12,0.10727849074384971,0.07302933268167633,0.0625,0.24818088161661447,0,0.939,0.039,0.6455,0.0005904223325049601
original,0.45,13,0.0977652580785841,0.05337643535638124,0.0485,0.23053795782907419,0,0.9545,0.032,0.718,0.000335663277088609
original,0.45,14,0.14183915039826303,0.07183286903815088,0.0815,0.2825911357420823,0,0.921,0.047,0.3895,0.0010492609093350508
original,0.45,15,0.14344411697961232,0.06457124086589759,0.1125,0.3253363643984484,0,0.8905,0.0655,0.2995,0.002333393775181104
original,0.45,16,0.15263784502008895,0.05718945829725186,0.0975,0.31143819611601914,0,0.907,0.0585,0.2995,0.001694379534932954
original,0.45,17,0.2009515315865072,0.051201825925194185,0.1345,0.3706882113043251,0,0.8755,0.0805,0.201,0.003715129971895456
original,0.45,18,0.14081557529235975,0.04820765757011852,0.0655,0.25141549276049,0,0.9355,0.039,0.428,0.0006324356882553119
original,0.45,19,0.11709204287814994,0.06594712981185998,0.0485,0.21482027371735654,0,0.9515,0.036,0.4945,0.0003750762083292877
original,0.5,0,0.14160893092948168,0.049229059171968306,0.0785,0.2798888172114063,0,0.9245,0.052,0.566,0.0010988435175035868
original,0.5,1,0.29393250828507184,0.07459175016850318,0.664,0.9955420634006381,0,0.5845,0.1945,0.1015,0.08045448338185444
original,0.5,2,0.11837498708351524,0.05450372348569226,0.0785,0.28519773842020557,0,0.926,0.0485,0.549,0.0010235747042947499
original,0.5,3,0.2263852802796398,0.06101730892332011,0.2385,0.4976120476837353,0,0.7925,0.1255,0.173,0.012958439839998573
original,0.5,4,0.30682859356825476,0.05160979424808655,0.4235,0.6573794566306435,0,0.6595,0.1905,0.0995,0.04264108302304855
original,0.5,5,0.21621019171698294,0.07534729647547139,0.24,0.5023942674832188,0,0.7925,0.1175,0.179,0.012249000338322038
original,0.5,6,0.17611666587065336,0.07865822546257441,0.163,0.39170269337853675,0,0.845,0.0955,0.3345,0.005798179179449708
original,0.5,7,0.38233021887655166,0.0428055489835762,1.073,1.1263529642168124,0,0.3635,0.334,0.0995,0.23945250373274007
original,0.5,8,0.18303704466146303,0.0616708092286448,0.1345,0.36388150543824016,0,0.873,0.079,0.23,0.0036508231902748147
original,0.5,9,0.2030092963278467,0.04970110265902404,0.2355,0.48686728171032395,0,0.7915,0.1075,0.175,0.010912521636946603
original,0.5,10,0.25022933311922074,0.04881556589167021,0.272,0.5366712215127619,0,0.7675,0.147,0.0995,0.01834208079802848
original,0.5,11,0.3326318019981905,0.06594678550232802,0.8815,0.8902009604578058,0,0.4065,0.2975,0.0995,0.15717944586276733
original,0.5,12,0.1523952476274812,0.07534070547145515,0.118,0.34939376067697603,0,0.89,0.061,0.4105,0.0023444321725758226
