control_type,K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,reorganization_score_mean,reorganization_score_std
omega_shuffled,0.4,0.1125527467615575,0.04039442663927162,0.04546141007860862,0.010669070263857132,0.064725,0.037931196367828116,0.2469231218046819,0.05980502899317025,0.937875,0.03391004935662024,0.041225,0.01791461840597167,0.48077500000000006,0.1722244156387394,0.0009924393874774025,0.0019334260243734395
omega_shuffled,0.45,0.15401570598792652,0.05740134129511118,0.05415645804232798,0.014684944578006018,0.11699999999999999,0.09645738082588326,0.3206313034347476,0.1214722938205936,0.8931250000000001,0.0810422039174002,0.06575,0.039596152125653504,0.40532500000000005,0.19037423497444517,0.004765259281966834,0.009191271905063208
omega_shuffled,0.5,0.21774822595010299,0.07874159261827197,0.060681830999972465,0.01258785195745061,0.30019999999999997,0.2640774607253673,0.5111530367061372,0.22112742948257896,0.7668,0.16333831535545448,0.13240000000000002,0.08638859573858236,0.24380000000000002,0.1378349890649189,0.03415407129802305,0.056940105612314766
omega_shuffled,0.55,0.3183269760174563,0.08081220250871515,0.0830342248109274,0.021329964082129192,1.099375,0.7269092804289159,1.1352491181257487,0.44883686204597045,0.487875,0.20123120212960594,0.28207499999999996,0.1134836268041852,0.14445000000000002,0.10192643115709021,0.23000157831173995,0.20153006679000895
omega_shuffled,0.6,0.417719461751734,0.07006591001218104,0.08405148361876413,0.04312765778279795,2.988375,1.1329510589490102,1.7855135493080891,0.3444018884617676,0.259575,0.0714366253918004,0.4218,0.06718286122297311,0.10164999999999999,0.009615092303249093,0.5616324626603215,0.15586800583930835
omega_shuffled,0.65,0.5428249090423838,0.10643779159961879,0.04436342343104341,0.05544645378319307,4.390225,1.0117786250876277,1.4970408500213817,0.362240042349442,0.27654999999999996,0.055780089826502004,0.33847499999999997,0.14281368751665668,0.0995,0.0,0.39258483196651495,0.19884970102136268
omega_shuffled,0.7,0.7114376424564872,0.04502417304008803,0.0022115487035487907,0.0010394269185739977,2.386025,0.8367738246101103,0.8093667907429605,0.21849770694314197,0.45725,0.0840514410158571,0.069475,0.05169380371094067,0.0995,0.0,0.03879193352869504,0.03753178260039474
omega_shuffled,0.75,0.7841557741074607,0.025497575590499255,0.00024178307521172294,0.00029919550511474483,1.1980499999999998,0.3315772078066316,0.20488267152596457,0.23731616909534023,0.875675,0.19925514422468496,0.0055,0.008916277250063505,0.7232999999999999,0.3601024488728319,0.0014978696052682305,0.003961254978645224
omega_shuffled,0.8,0.8264408620223621,0.01824664585056026,6.529796925918361e-06,1.2443807435061645e-05,1.15,0.36634754853252327,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
omega_shuffled,0.85,0.8553433445979787,0.014205064054870679,1.813908943521365e-07,3.836736277256159e-07,1.35,0.48936048492959294,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
omega_shuffled,0.9,0.8766413665276745,0.011560759458203312,5.756681842162444e-09,1.2389722036326422e-08,1.45,0.5104177855340404,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
omega_shuffled,0.95,0.8930555501384564,0.009680692310754893,2.4381738822069004e-10,4.058127659241302e-10,1.45,0.5104177855340404,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
omega_shuffled,1.0,0.9061009174510091,0.00827327868781075,1.6109275810927917e-11,1.6845283757560054e-11,1.5,0.6069769786668839,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
omega_shuffled,1.05,0.9167089054898847,0.007181285126991538,1.6622293771961382e-12,1.6356531006999153e-12,1.45,0.6048053188292994,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
omega_shuffled,1.1,0.9254910156477478,0.006311031612032225,2.204844290819396e-13,2.378055332858038e-13,1.45,0.6048053188292994,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
omega_shuffled,1.15,0.9328681788021947,0.0056027530388756165,3.2503316607008773e-14,3.838433114278903e-14,1.4,0.5026246899500346,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
omega_shuffled,1.2,0.9391408149143172,0.00501636888132463,5.127058324340249e-15,6.665740347402426e-15,1.4,0.5026246899500346,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
original,0.4,0.10574085984044486,0.0359888192676183,0.046711155517208704,0.009013256180217729,0.0605,0.044585813179105586,0.23615250837532856,0.06983622034175002,0.942075,0.0387458911234129,0.036975,0.021329171400492303,0.5528000000000001,0.18097967318255156,0.001012893161400672,0.0026274940107238547
original,0.45,0.15183245078029028,0.05350400626722104,0.055299516071899965,0.012017813930591011,0.109625,0.08003599108164433,0.31274663482849474,0.10717143130444978,0.89865,0.06867277480923571,0.0611,0.0344790554272865,0.41459999999999997,0.21277388541780562,0.0036585199020360824,0.0064234643442187345
original,0.5,0.22045226910681395,0.07165762441115693,0.06366995262379246,0.013568801656919984,0.3123,0.2843704681535949,0.526139436120303,0.24734967526073084,0.7621249999999999,0.17004967347033756,0.132775,0.08396403913831833,0.25332499999999997,0.16402408961394727,0.03654398580125235,0.06283453037531186
original,0.55,0.31846755587235454,0.08005057964305397,0.07111587788215293,0.02002192600545204,1.05785,0.7301834863130024,1.0744283433659396,0.43667112154514814,0.5015750000000001,0.19554016110575126,0.2771,0.11277243037476659,0.139225,0.0729836814853697,0.20958827440538896,0.18664318395893387
original,0.6,0.4192163856025637,0.06931670469019847,0.0798859491281843,0.036847209157356876,2.95955,1.0945668441515068,1.794171996058741,0.25728930789369,0.259375,0.06481022397414582,0.418975,0.06361406559956112,0.10282500000000001,0.014869852050373604,0.5637144644329983,0.14890483215847747
original,0.65,0.5421029723120476,0.10758978335095891,0.036535464603801124,0.04158215710811996,4.4405,1.0014050655270117,1.4284368066322246,0.3274406968538569,0.287275,0.06860824620530989,0.3536,0.14095852320153573,0.0995,0.0,0.3916458016502119,0.20216086281516743
original,0.7,0.7114267379699188,0.04502487248355331,0.0024965936854225886,0.0011640391613100126,2.3432,0.8092495776627681,0.8509352648485902,0.24576904014062018,0.447175,0.0983134454315969,0.06565,0.05035429736534803,0.0995,0.0,0.041452353299690506,0.04229383634561305
original,0.75,0.7841545791268242,0.025499100235149785,0.00023802480607610778,0.00029667000458066605,1.2013,0.3261576709442681,0.20992263675122724,0.23113202328724392,0.8758000000000001,0.18971012513555352,0.0057,0.008900620912699235,0.72035,0.3561044014567106,0.0014221089432796415,0.003962457678017876
original,0.8,0.8264406427336184,0.018246664437362572,6.933795267752156e-06,1.4587293386997869e-05,1.15,0.36634754853252327,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
original,0.85,0.8553433313775811,0.01420506346646046,2.1678790595703526e-07,5.678177810385586e-07,1.35,0.48936048492959294,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
original,0.9,0.8766413659325142,0.011560759406308208,7.58511209429236e-09,2.114637686180764e-08,1.45,0.5104177855340404,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
original,0.95,0.8930555501166287,0.009680692308010861,3.2152657142370987e-10,7.303650409725049e-10,1.45,0.5104177855340404,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
original,1.0,0.9061009174504451,0.008273278687653677,1.9445711868381914e-11,2.531102988050655e-11,1.5,0.6069769786668839,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
original,1.05,0.9167089054898947,0.007181285126983662,1.806875549003289e-12,1.7834332619471641e-12,1.45,0.6048053188292994,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
original,1.1,0.9254910156477519,0.006311031612032548,2.390049082747266e-13,2.4041056355475434e-13,1.45,0.6048053188292994,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
original,1.15,0.9328681788021955,0.005602753038875884,3.554135980932655e-14,3.552146944672475e-14,1.4,0.5026246899500346,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
original,1.2,0.9391408149143172,0.005016368881324713,5.509202708959081e-15,5.602925742742004e-15,1.4,0.5026246899500346,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
phase_reset,0.4,0.11558971030005649,0.040312742258531035,0.04758816118619274,0.012260169528857988,0.06665,0.045981718335145236,0.2471704374938446,0.07402666538841152,0.936275,0.039350809193846654,0.041725,0.021731904147928152,0.517475,0.1751026371949651,0.0012017600751071885,0.002658732251890633
phase_reset,0.45,0.1553321854266596,0.06038951121427052,0.05508923068856125,0.014639396051191047,0.1248,0.11705480048160978,0.3359440184314677,0.14436737304572625,0.889775,0.08753036691102666,0.06889999999999999,0.0448739755783965,0.38235,0.2024286813982435,0.0062741850428995796,0.015281952155722962
phase_reset,0.5,0.2248263953974315,0.07179387916892092,0.05964484790775284,0.01790900313110867,0.3179,0.2692146277405329,0.5437541425889432,0.2477654502428993,0.7595500000000001,0.15977359804291494,0.13555,0.07733316507846186,0.229925,0.13849437334191025,0.035662297832489524,0.05425669276275352
phase_reset,0.55,0.3218435702267057,0.0831645536797571,0.07475742006771043,0.020942841695706368,1.154925,0.802000086543505,1.1334028717433324,0.4541936091046909,0.47975,0.2078285287645107,0.285575,0.11662989990834931,0.127225,0.07342279780042507,0.23996597894477828,0.21097798208777982
