K,seed,R_mean,R_std,dominant_cluster,dominant_fraction,switching_rate,collapse_time,memory_supported_lifetime,cluster_mean,cluster_std,single_cluster_lifetime_mean,multi_cluster_lifetime_mean,single_cluster_lifetime_max,multi_cluster_lifetime_max,n_switches
0.5,16,0.07977735182842662,0.0440698646269057,0,0.9654,0.0232,,0.6686,0.0348,0.1843609503121526,2.9655172413793105,1.0,11,1,116
0.5,17,0.1282505247353171,0.04990889580314792,0,0.9464,0.0358,,0.595,0.0554,0.23649701900869705,2.9101123595505616,1.8,10,4,179
0.5,18,0.09714322725850491,0.0548111791743162,0,0.9464,0.0398,,0.491,0.055,0.23404059476936903,2.6363636363636362,1.75,16,3,199
0.5,19,0.10007338485315061,0.039131015662446415,0,0.9554,0.0294,,0.5232,0.045,0.2092247595290768,3.0273972602739727,1.0,8,1,147
0.55,0,0.1237593419183602,0.07655067125564782,0,0.9104,0.0536,,0.5416,0.1008,0.34152505032574115,3.1825396825396823,1.7407407407407407,15,4,268
0.55,1,0.12023113541372793,0.05231142908100764,0,0.9236,0.0456,,0.4754,0.0786,0.2771678913582885,3.2831858407079646,1.375,16,3,228
0.55,2,0.12145666063713574,0.06355392003832384,0,0.9366,0.0462,,0.5194,0.0652,0.2540648736051483,2.6782608695652175,1.8,8,3,231
0.55,3,0.12011551164126524,0.052449892181942924,0,0.9392,0.0394,,0.4664,0.0634,0.25412681873426896,3.0631578947368423,1.3,13,2,197
0.55,4,0.15349764086633758,0.07117625247488961,0,0.9028,0.0624,,0.3368,0.1062,0.3372262741839669,2.895424836601307,2.263157894736842,10,5,312
0.55,5,0.1914141578763524,0.06015520484587654,0,0.8678,0.0808,,0.2122,0.14,0.36986484017813853,3.1515151515151514,1.6818181818181819,30,4,404
0.55,6,0.11890986080326066,0.07254362268273529,0,0.9124,0.0476,,0.3904,0.0934,0.3109283518754763,3.5652173913043477,1.6470588235294117,20,3,238
0.55,7,0.18135005592596845,0.060388958789091535,0,0.8746,0.0734,,0.2424,0.1334,0.3633241527892139,3.2666666666666666,1.8571428571428572,18,5,367
0.55,8,0.18215689498020232,0.06121882574959683,0,0.878,0.0794,,0.1454,0.1296,0.36056045262895925,2.9844559585492227,1.5454545454545454,14,5,397
0.55,9,0.1036802193597538,0.05830163041810819,0,0.9504,0.0354,,0.4782,0.052,0.2325854681617061,2.6818181818181817,2.4,13,4,177
