K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_supported_lifetime_mean,memory_supported_lifetime_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,single_cluster_lifetime_mean_mean,single_cluster_lifetime_mean_std,multi_cluster_lifetime_mean_mean,multi_cluster_lifetime_mean_std,single_cluster_lifetime_max_mean,single_cluster_lifetime_max_std,multi_cluster_lifetime_max_mean,multi_cluster_lifetime_max_std
0.4,0.08175550378280108,0.01115649565091681,0.04243745951403686,0.006670733344860539,0.96072,0.005709604097253041,0.0268,0.0036746643240895965,0.63595,0.06595762196089879,0.0399,0.005857069502566514,0.19825052234181978,0.01494306356230084,2.9045806920792123,0.18194872042263224,1.6908333333333332,0.714705087832107,10.4,2.4580694178883347,1.9,0.9119095061289915
0.45,0.09302188255262318,0.01372709253769212,0.04618362442417083,0.0076781909988678804,0.95346,0.01125308846495045,0.03231,0.006963204041697743,0.56284,0.10450496034563193,0.04768,0.01194520824431286,0.2164117971350549,0.02859882332463225,2.82435787472573,0.2729776309370614,1.6837499999999999,0.8623054700535133,10.75,2.6332889181242134,2.4,1.3917047478769187
0.5,0.11321457337396656,0.021829518783980918,0.051442384157986784,0.00887988588677981,0.94016,0.01866881441278338,0.03866,0.011137059991899022,0.49476000000000003,0.11274191486940896,0.06189,0.020041900844822182,0.24571397349197674,0.039771415691279725,3.0220790788397682,0.23981184363919453,1.6215422077922077,0.673045124448144,12.05,2.438183102661747,2.95,1.6693837501494848
0.55,0.14464742719837415,0.03658840886645226,0.06157141297507006,0.00867230896548461,0.9067700000000001,0.04338179462935066,0.05819,0.025010606171235267,0.377,0.1487895440582188,0.09966,0.049315060153007385,0.31029396167800144,0.07030134644342817,3.0540339039082753,0.26143861550516034,1.7642547135813391,0.35232269219791684,14.3,4.856899595854388,3.85,1.3869694338832113
0.6,0.198717164438736,0.06074297374911381,0.07090031678810796,0.013163498092747746,0.81608,0.12353308357214317,0.10502,0.06200485210215831,0.21376,0.14369367418226872,0.21997999999999998,0.1772921810844579,0.4480630261090145,0.16068089538301372,3.1120174296951135,0.2131671879841688,1.9038788189088076,0.20527555802195044,14.75,3.5075107382511845,5.9,2.291862033139728
0.65,0.30561732451857276,0.0915078276303317,0.09014393936609337,0.01668615921004691,0.5753,0.19051432326316323,0.23801,0.11583151966269123,0.10478000000000001,0.08149523460398096,0.75094,0.576202523241155,0.8433460300168987,0.3065730953532276,2.981371594630265,0.3059233364208382,1.9952988845829858,0.10089711085060282,15.15,2.7003898354048617,9.4,2.6036411750510196
0.7,0.47704333558212575,0.05684691089237412,0.12737462827963603,0.030265396737728496,0.24270999999999998,0.03494997778781013,0.45882000000000006,0.055431661102943494,0.05856,0.026182485105806695,2.63597,0.943981414346479,1.6974155100156163,0.36003929662486983,2.420608431352978,0.3037077420386862,1.834576245641695,0.09545965854145422,13.45,3.3003189638515087,11.4,3.2346804934547775
0.75,0.5848914650295718,0.050359883957342456,0.14581163964998045,0.03290361677038119,0.21701,0.017373115952377022,0.5178200000000001,0.032376333136543145,0.052070000000000005,0.021385610016772347,4.69118,0.9670001336744043,2.237991076894584,0.3882095903533769,2.636274964623693,0.379073195212283,1.7476275889496418,0.05403220345386212,13.05,3.804083678309265,11.2,1.935812083093974
0.8,0.6620010854691953,0.04619157517746365,0.155795989318688,0.03580345330767209,0.22619000000000003,0.017216207174452918,0.49804000000000004,0.04282353509338922,0.04777,0.012285597044378512,6.0519300000000005,0.7267358957768125,2.4482334864992374,0.27797815435520273,2.784848301107177,0.35727021201971665,1.8639666605493292,0.1438576797686106,11.55,3.859029057050218,12.95,2.964260802504253
0.85,0.7243239369105653,0.03528644471088401,0.15627110067267663,0.02946747442897867,0.21368,0.018025876137550592,0.43467,0.058651774325922564,0.04383,0.00806298233971316,6.682980000000001,0.41441995430519013,2.496280278242532,0.2577358673595214,2.9066167395221556,0.6666664599880658,2.209015870640479,0.307609920847373,9.55,3.2843328249833568,21.25,6.520211491565043
0.9,0.7699097012356906,0.027882216497912685,0.15468563657273943,0.02485347119433607,0.22138,0.018103550102556945,0.35903999999999997,0.07265641131561039,0.04189,0.004602733741455922,6.64649,0.5528453689776194,2.3736154743954594,0.20119160208072684,2.937766613971898,0.48361488146936293,2.7926185601900904,0.6632405527654426,8.95,2.605156829302827,32.1,12.85096760641208
0.95,0.8035309269210767,0.02256997145333946,0.1531890811878176,0.023489445438126633,0.22938,0.023309984307610603,0.27379,0.07238175038967821,0.04105,0.003158863886373007,6.134860000000001,0.6512971222673138,2.141452888863632,0.23511197954122573,2.8685193496590555,0.4324240652207218,3.8518326677045565,1.3027796549448383,9.45,3.2682684937698157,46.75,21.309437000145216
1.0,0.8304993261262738,0.01810080235259399,0.1514379745754794,0.022951360677559846,0.26019000000000003,0.043368651059686444,0.20459,0.0676373759956649,0.04098,0.0030051884957081883,5.77966,0.842623270007359,1.934538245717181,0.2583322704488455,2.9320251833190474,0.7642515175028541,5.516314657142685,2.5807555989942754,8.9,3.007009355349247,64.2,28.517030922443155
1.05,0.8513549937109847,0.015702506276277187,0.14903526014039717,0.02269112620306413,0.28468,0.032801566073011,0.15356,0.06474457018485065,0.04041,0.002301006644698657,5.38957,0.960634547468221,1.761736546268245,0.21386606616201864,3.14301008631891,0.7876223160050604,8.002162984607452,4.233026761308795,10.85,7.902531240052139,81.4,46.67964731747885
1.1,0.8683162212831643,0.013935530879185675,0.14674685782028485,0.022666683771239732,0.33821,0.07550482661462951,0.1045,0.04766861485406581,0.04073,0.002983657240085695,4.6281799999999995,1.1206677011590245,1.5583209935695101,0.24457111117549316,5.449962362199204,6.69462561475787,12.565637161837556,7.331577300863567,26.3,34.29761384979243,104.75,45.0787322943221
1.15,0.8818795183595727,0.012399216593062166,0.14436739046349673,0.022693094951588492,0.41799,0.1542902046895975,0.07284,0.04055201208584509,0.11099,0.18495323420287968,4.00794,1.0818753641612084,1.362730249762806,0.1940472931540696,4.4117980082782715,2.2545240819307524,18.82678576157244,10.00735566251707,18.55,16.410763476899447,354.5,925.4176581983202
1.2,0.8932379054063982,0.011371350155565353,0.14200604489871177,0.022716671722608234,0.51256,0.1930541303965235,0.0551,0.03255747953518839,0.21578,0.30387917197118786,3.63234,1.0995372693714578,1.2280392939249485,0.17048698229765824,6.121412724530371,4.859485982821858,25.453984258883004,12.760613528401791,31.55,33.680347229113956,817.1,1522.0084341698673
