seed,K,R_mean,R_std,R_var,R_ac1,recovery_proxy,R_min,R_max,R_range,rolling_var_mean,rolling_var_max,rolling_ac1_mean
0,0.4,0.13753157168424376,0.03929809119158592,0.0015443399713022028,0.9999755848581858,0.007127778423419746,0.06307396630248228,0.20125273059746054,0.13817876429497827,9.80557683390907e-05,0.00026082268897654126,0.9998059960590613
0,0.425,0.12169404497610976,0.05455637582610737,0.002976398143279472,0.9999820844779573,0.005889199006328372,0.059074621696744524,0.2317525226721948,0.17267790097545027,0.0001154617156510064,0.0004718946102775239,0.9997236496331074
0,0.45,0.16110155601555726,0.040547642622245104,0.0016441113222213078,0.9999712347828921,0.008637839571711076,0.0845540727988734,0.2492454876912116,0.16469141489233818,0.00012140978452239272,0.0004310858872052474,0.9997670867904639
0,0.475,0.33064081450241695,0.02462421453254687,0.0006063519413448924,0.9999381901386871,0.010463129951080608,0.2926923484914754,0.37653347214220084,0.08384112365072544,8.779151570322039e-05,0.000556905712670336,0.9995246426469752
0,0.5,0.3980186501695711,0.029966799349652243,0.0008980090632623182,0.9999219170647996,0.011018496136524784,0.34904274081897546,0.4409424758279589,0.09189973500898346,0.00015187607921091464,0.0006071415415538959,0.9997023971958271
0,0.525,0.42391562652407333,0.022906397140337945,0.0005247030299508824,0.9998976738799001,0.014047589231089619,0.3792146801105606,0.4726848098696774,0.09347012975911684,0.00010860370893517207,0.0007340754099864495,0.9995288396257094
0,0.55,0.4616728385697758,0.02159167460821153,0.00046620041238688663,0.999907540042668,0.013264027604828603,0.42946889859216897,0.5158881330683661,0.08641923447619715,9.619313646944237e-05,0.0006422387175594309,0.9994724982195476
0,0.575,0.4846114825347745,0.028229570658600486,0.0007969086595689175,0.9999041331058097,0.012593893642913639,0.4149653747478765,0.5326914937818694,0.11772611903399294,0.0001488876212746223,0.0007157033555195511,0.9993232208160984
0,0.6,0.5120098970456334,0.036990021209868974,0.0013682616691065566,0.9999301505640796,0.010514321274945459,0.448242294267573,0.5709979981166242,0.12275570384905121,0.0001751533844421675,0.0010708303813883986,0.9991123280081319
0,0.625,0.5241653523132596,0.03857316165604461,0.0014878888001433502,0.9998942067498054,0.013266681543837016,0.45803923604946983,0.5839946942118804,0.1259554581624106,0.00032324498882361564,0.0016654547618365591,0.9992413725269323
0,0.65,0.5225671886424725,0.030605926645404364,0.0009367227458238728,0.9998468928465859,0.01644580876486751,0.454411937186512,0.5886387662020044,0.13422682901549238,0.00021042740825172318,0.0011667226275757809,0.9985921852000456
0,0.675,0.5493751981860401,0.033311154392778326,0.0011096330069795147,0.9997801731739806,0.01642689144792473,0.5001849179440103,0.6153172533946223,0.11513233545061197,0.0002466537803892381,0.001512811857983444,0.9982423535607107
0,0.7,0.5721265382146214,0.04501115015364419,0.002026003638153903,0.9998492689325886,0.014772009727809886,0.504560407069193,0.6453463004885661,0.1407858934193731,0.000501230155720376,0.002374954975720591,0.9990105428897947
0,0.725,0.5758275708451195,0.027472470437154776,0.0007547366319203431,0.9995732082550577,0.023574789571394063,0.5132997668121686,0.6305911503588477,0.11729138354667912,0.00026836565315513654,0.001079844846032469,0.9978452491883124
0,0.75,0.5988785006544151,0.018400471546561832,0.0003385773531358316,0.9996068560041986,0.025227189710666353,0.5621142977978635,0.6337022931239185,0.07158799532605498,0.00014166047393684888,0.0004574845119615378,0.9987840735128204
0,0.775,0.6589023868270566,0.0050325809805214,2.5326871325505736e-05,0.9985323761895326,0.04750783465160144,0.6486013993884879,0.6694074466108105,0.0208060472223226,1.724694982126042e-05,5.614578490976097e-05,0.9966405269377323
0,0.8,0.7163825774659957,0.0025012101480669196,6.256052204792943e-06,0.9974586794813276,0.04947677119185494,0.7114722730193812,0.7213075675046537,0.009835294485272539,5.412053654350677e-06,1.0065306537892623e-05,0.9969407082291724
0,0.825,0.7579055517963648,0.0013368096241671385,1.787059971265886e-06,0.999104140979149,0.037000762612982005,0.75550757370315,0.7598740111666714,0.004366437463521389,1.6971406759137494e-06,2.564380920287613e-06,0.9990156128246758
