branch_up,K,R_mean_mean_up,R_mean_std_up,R_std_mean_up,cluster_mean_mean_up,cluster_mean_std_up,cluster_final_mean_up,branch_down,R_mean_mean_down,R_mean_std_down,R_std_mean_down,cluster_mean_mean_down,cluster_mean_std_down,cluster_final_mean_down,R_hysteresis_gap,cluster_hysteresis_gap
up,0.4,0.08827978340078439,0.02817040359633168,0.030231919073671308,0.0009000000000000001,0.0035821193373990795,0.0,down,0.11126902137675201,0.06158711325276316,0.02818824267260648,0.0006000000000000001,0.0019574419397183716,0.0,0.022989237975967622,-0.00030000000000000003
up,0.425,0.12953117765648786,0.06034051589425188,0.026846953942329405,0.005,0.00916515138991168,0.0,down,0.11924783462508619,0.07052927853330064,0.025916438232458056,0.0036000000000000003,0.011833938704554705,0.0,-0.010283343031401673,-0.0013999999999999998
up,0.45,0.14817567954901364,0.08153585790427866,0.02675236013521144,0.0051,0.009369041966413697,0.0,down,0.16196551862736888,0.07131233828286489,0.03339358041215132,0.0034000000000000002,0.006588666505127534,0.0,0.013789839078355237,-0.0017000000000000001
up,0.475,0.16293848579226866,0.07607784028903392,0.030388082352236133,0.013800000000000002,0.05476033908625936,0.05,down,0.19655471198476937,0.08230225469913476,0.035711580531308316,0.0189,0.045724460803704126,0.05,0.03361622619250071,0.005099999999999999
up,0.5,0.21461565356763246,0.09332670355689654,0.029546964970432125,0.017599999999999998,0.025756756906019623,0.0,down,0.2034627795369343,0.09126822151659807,0.029450262126150352,0.028100000000000003,0.04701836147495438,0.1,-0.011152874030698146,0.010500000000000006
up,0.525,0.26764620151223045,0.10180937463066374,0.036024481475537884,0.1,0.16623635678090842,0.05,down,0.2584115723531605,0.12032406665908446,0.04253191261272886,0.1685,0.46304433117313826,0.05,-0.009234629159069974,0.0685
up,0.55,0.3317199750715999,0.09347885852487187,0.03895914439967736,0.24430000000000002,0.3190111530800666,0.05,down,0.3210964008057219,0.11706874432869652,0.047533498512977224,0.3231,0.43205724523249783,0.5,-0.01062357426587801,0.07879999999999998
up,0.575,0.35975056297762265,0.0999622484794194,0.04108630447516488,0.5274,0.6281515405495214,0.15,down,0.36402195923798214,0.1018602191698748,0.04498863935810862,0.5418000000000001,0.689955879596278,0.9,0.004271396260359495,0.01440000000000008
up,0.6,0.44424485147538767,0.07851980104566274,0.05169136423048799,1.2959,0.7155142353948184,1.2,down,0.45305244135387673,0.08768121697717848,0.0656342962520238,1.3167,0.7141470510520336,1.6,0.008807589878489064,0.02079999999999993
up,0.625,0.4963305351064947,0.09776149532510663,0.039125782152369025,1.7867000000000002,0.714853323195892,1.55,down,0.46940879300157584,0.09759797512499889,0.03485584651142237,1.6822,0.6406226904964789,1.7,-0.026921742104918878,-0.10450000000000026
up,0.65,0.5409397333314769,0.11104832698012616,0.020692952573524964,2.0248999999999997,0.7635453248877206,1.75,down,0.5402304379423889,0.12818378586754814,0.02335662699338838,1.857,0.7498382983578596,2.0,-0.0007092953890880382,-0.16789999999999972
up,0.675,0.6319847971203052,0.08411712267015184,0.009345909958382139,2.0047,0.6783677856676119,1.85,down,0.6456489754815778,0.07482380998335901,0.006183948225926812,1.3733,0.5176156977201481,1.25,0.01366417836127265,-0.6314000000000002
up,0.7,0.7048291834624542,0.05266034795630972,0.004040919398883023,1.4045,0.48279923908717787,1.45,down,0.7127702848708474,0.043562380733714365,0.0017260632303324028,1.0321,0.10081243657615391,1.0,0.007941101408393214,-0.37240000000000006
up,0.725,0.7525984145874689,0.033178146729943105,0.0016129705568581041,1.0389,0.07768621092845918,1.0,down,0.7543348703497973,0.03180754596644437,0.000545372409294486,1.0,0.0,1.0,0.0017364557623283927,-0.038899999999999935
up,0.75,0.7838249982515082,0.02570131571479733,0.0005485511953934164,1.0054,0.01568237361196519,1.0,down,0.7843824643492225,0.025364890301460555,0.00022231404288148202,1.0026,0.011627553482998996,1.0,0.0005574660977143431,-0.0028000000000001357
up,0.775,0.80744496211453,0.021313962209089213,0.00017622809244305094,1.0114,0.04175164667411333,1.0,down,0.8076693985654002,0.021197544473256665,0.00010153381251242855,1.0137,0.04385274401784607,1.0,0.00022443645087022457,0.0022999999999999687
up,0.8,0.8263853832856448,0.018272246527111548,6.549954658013134e-05,1.0205,0.06762707337029736,1.0,down,0.826486030708551,0.018226971782834344,4.978032502581425e-05,1.024,0.07009166930001849,1.0,0.0001006474229061638,0.0035000000000000586
up,0.825,0.8420673522671562,0.015996040031391764,3.0971613907951776e-05,1.026,0.08211160569294501,1.0,down,0.8421148769839564,0.01597680284318281,2.573125595224525e-05,1.0264,0.07586580951015799,1.05,4.7524716800140254e-05,0.00039999999999995595
up,0.85,0.8553306941000939,0.014209946357667242,1.6199979876171585e-05,1.0338,0.08781295912035816,1.05,down,0.8553543253372433,0.014201076664504859,1.3860936032117412e-05,1.036,0.0921417672022731,1.0,2.3631237149435158e-05,0.0021999999999999797
up,0.875,0.8667263730949667,0.012762488699523202,8.870217816327388e-06,1.049,0.09653469515371689,1.1,down,0.8667386946079286,0.012758170694756724,7.718938985015677e-06,1.0478,0.09974050541807292,1.05,1.2321512961932513e-05,-0.0011999999999998678
up,0.9,0.8766378910735023,0.01156197163902395,5.009332974460501e-06,1.0551,0.10074140945483825,1.15,down,0.8766445522845151,0.01155977518688501,4.417945755273202e-06,1.051,0.10045685117187583,1.05,6.66121101278172e-06,-0.0040999999999999925
up,0.925,0.8853440560667998,0.010548553100231792,2.9018627885540906e-06,1.0539,0.09929535951419197,1.05,down,0.8853477654709995,0.01054739546903014,2.5874012466275193e-06,1.0599,0.10210515735208843,1.1,3.7094041996921234e-06,0.006000000000000005
up,0.95,0.8930544809887306,0.0096810521617445,1.7173551270635044e-06,1.0522,0.08784891336235963,1.1,down,0.8930565984784895,0.0096804237762596,1.5452264861215858e-06,1.0523,0.09047075712481266,1.1,2.117489758868274e-06,9.999999999998899e-05
up,0.975,0.8999308695561924,0.008929951071032286,1.035031865547106e-06,1.0771000000000002,0.12232050221920233,1.2,down,0.8999321040807369,0.008929601332446984,9.38457051466206e-07,1.0769,0.12474390608467878,1.15,1.2345245444800312e-06,-0.00020000000000020002
