seed,branch,K,R_mean,R_std,cluster_mean,cluster_std,cluster_final
0,up,0.4,0.07200429063979162,0.019102376651261768,0.0,0.0,0
0,up,0.425,0.10242667005485838,0.030608874842335418,0.0,0.0,0
0,up,0.45,0.05374233963577465,0.014006148865003237,0.014,0.11749042514179613,0
0,up,0.475,0.15734524715783024,0.007145932826251182,0.0,0.0,0
0,up,0.5,0.07545827979813784,0.03228624008667807,0.0,0.0,0
0,up,0.525,0.24402695271675764,0.02078184637369296,0.024,0.1530490117576719,0
0,up,0.55,0.12076525485972092,0.031886548509958146,0.008,0.08908422980528033,0
0,up,0.575,0.4089033614845134,0.025382268978906365,0.436,0.6015845742703183,0
0,up,0.6,0.3373520003064288,0.08092731608490981,0.154,0.4077793521011087,2
0,up,0.625,0.37393424528495756,0.027666183353176808,0.71,0.8086408349817612,0
0,up,0.65,0.47511608166064184,0.03080220303820989,2.392,0.9134199472312831,2
0,up,0.675,0.5994768414980779,0.019222302376569887,3.32,0.9558242516278816,3
0,up,0.7,0.7167162342100521,0.004694387895314526,1.304,0.5287570330501524,1
0,up,0.725,0.7602031093236494,0.002206703212667512,1.044,0.2050950998927083,1
0,up,0.75,0.789491191251524,0.0014802252528978673,1.0,0.0,1
0,up,0.775,0.8120474931034446,0.0005380299131346963,1.0,0.0,1
0,up,0.8,0.8300407661739753,0.0001272316642295488,1.0,0.0,1
0,up,0.825,0.8450684056899692,3.377518899397557e-05,1.012,0.1088852607105296,1
0,up,0.85,0.8578145055042601,1.4922162210036715e-05,1.018,0.132951118836962,2
0,up,0.875,0.8687894561179541,8.088418172333464e-06,1.182,0.3858445282753145,1
0,up,0.9,0.8783575047921263,4.5425179875493985e-06,1.11,0.31288975694324034,2
0,up,0.925,0.8867816451395866,2.6300210890474664e-06,1.318,0.46569947390994554,1
0,up,0.95,0.8942593373883171,1.5630027007217652e-06,1.176,0.380820167533181,2
0,up,0.975,0.9009427916043737,9.492006842652347e-07,1.37,0.4828043081829324,1
0,up,1.0,0.9069518623681608,5.867410049183088e-07,1.2,0.4000000000000001,2
0,up,1.025,0.9123826022926871,3.679850086251952e-07,1.36,0.48,1
0,up,1.05,0.9173131360744462,2.3357349099139338e-07,1.086,0.2803640490505157,2
0,up,1.075,0.9218078133754681,1.4976312892446844e-07,1.124,0.3295815528818323,1
0,up,1.1,0.9259202182276656,9.686306142025225e-08,1.0,0.0,1
0,up,1.125,0.9296953965566701,6.312757832533228e-08,1.012,0.1088852607105296,1
0,up,1.15,0.9331715355812962,4.142202353856683e-08,1.0,0.0,1
0,up,1.175,0.9363812505020855,2.734723856600391e-08,1.0,0.0,1
0,up,1.2,0.9393525843871542,1.8156676435994236e-08,1.0,0.0,1
0,down,1.2,0.939352593419269,2.1840657696732272e-16,1.0,0.0,1
0,down,1.175,0.9363812774519258,2.56814579883943e-08,1.0,0.0,1
0,down,1.15,0.9331715772969146,3.878745967175681e-08,1.0,0.0,1
0,down,1.125,0.9296954616299553,5.8921286081600236e-08,1.012,0.10888526071052962,1
0,down,1.1,0.9259203206146593,9.007511913087915e-08,1.05,0.21794494717703367,1
0,down,1.075,0.9218079760329136,1.3867442034851928e-07,1.128,0.33408980828513757,1
0,down,1.05,0.9173133973079757,2.1520392410559392e-07,1.264,0.44079927404658914,1
0,down,1.025,0.9123830270653557,3.3706285240688646e-07,1.36,0.48000000000000004,1
0,down,1.0,0.9069525629037464,5.337323532400517e-07,1.39,0.487749935930288,1
0,down,0.975,0.9009439658670886,8.564538613843659e-07,1.248,0.4318518264405049,2
0,down,0.95,0.894261342922858,1.3970336590342129e-06,1.184,0.3874841932259947,2
0,down,0.925,0.886785145010158,2.3257545324366998e-06,1.152,0.35902089075707005,2
0,down,0.9,0.8783637654859426,3.970599099863016e-06,1.148,0.355099985919459,1
0,down,0.875,0.8688009772858084,6.988793452451538e-06,1.118,0.32260812141048156,1
0,down,0.85,0.8578364114888609,1.2752732547438336e-05,1.054,0.22601769842204833,1
0,down,0.825,0.8451137604209205,2.4256124463632993e-05,1.0,0.0,1
0,down,0.8,0.8301258212942951,4.8328314325725816e-05,1.0,0.0,1
0,down,0.775,0.8121118665407518,0.00010111706402760559,1.0,0.0,1
0,down,0.75,0.7898452982685616,0.00022231023560731182,1.0,0.0,1
0,down,0.725,0.7611885668455394,0.0005659451895608489,1.0,0.0,1
0,down,0.7,0.7224071901044573,0.0025291900594886585,1.064,0.2447529366524537,1
