epsilon,mean_cluster_count,median_cluster_count,std_cluster_count,min_cluster_count,max_cluster_count,mean_dwell,median_dwell,std_dwell,max_dwell,switching_count,switching_rate,dominant_cluster_state,dominant_fraction,n_segments,n_steps,cluster_threshold,state_tol
0.7,14.775,15.0,2.6704634429252163,6,23,1.1123470522803114,1.0,0.3693678990511854,5,3595,0.89875,14,0.14275,3596,4000,0.01,1
0.72,14.782,15.0,2.7097003524375163,6,25,1.1207621182404035,1.0,0.3798480499603335,6,3568,0.892,15,0.14425,3569,4000,0.01,1
0.74,13.702,14.0,2.577827767714515,4,25,1.1254924029262803,1.0,0.37733716941076784,5,3553,0.88825,13,0.16275,3554,4000,0.01,1
0.76,13.85175,14.0,2.411902140946021,5,25,1.139925904816187,1.0,0.40455386583318353,5,3508,0.877,13,0.158,3509,4000,0.01,1
0.78,15.157,15.0,2.7849328537686504,7,26,1.1163829193413342,1.0,0.37373596530864756,5,3582,0.8955,16,0.135,3583,4000,0.01,1
0.8,15.21375,15.0,2.6271773707726704,6,27,1.1309018942606728,1.0,0.38724081519899484,5,3536,0.884,15,0.1475,3537,4000,0.01,1
0.82,14.52775,15.0,2.267648548055893,8,25,1.1668611435239207,1.0,0.4086846825492537,6,3427,0.85675,15,0.243,3428,4000,0.01,1
0.84,15.44675,15.0,2.661233630762245,6,25,1.1210762331838564,1.0,0.3764713538732481,6,3567,0.89175,15,0.15375,3568,4000,0.01,1
0.86,14.8865,15.0,2.538428204617968,7,25,1.1318619128466327,1.0,0.39826745208223885,5,3533,0.88325,14,0.15975,3534,4000,0.01,1
0.88,16.06375,16.0,2.3813202089387304,7,26,1.0946907498631637,1.0,0.3255398449130059,4,3653,0.91325,17,0.16375,3654,4000,0.01,1
0.9,16.1415,16.0,2.4394625945072406,8,25,1.1229646266142617,1.0,0.3732121873158434,5,3561,0.89025,16,0.16125,3562,4000,0.01,1
0.92,16.63775,17.0,2.2554434015288436,10,26,1.1487650775416427,1.0,0.4243248818433326,5,3481,0.87025,16,0.19625,3482,4000,0.01,1
0.94,16.22725,16.0,2.682556138741555,7,25,1.115137998327293,1.0,0.3648357214166967,4,3586,0.8965,16,0.16175,3587,4000,0.01,1
0.96,16.31375,16.0,2.604862940252328,7,25,1.129305477131564,1.0,0.37675922433400794,4,3541,0.88525,16,0.158,3542,4000,0.01,1
0.98,14.6855,14.0,3.3873425793680805,7,27,1.1682242990654206,1.0,0.41619619987781364,4,3423,0.85575,14,0.20175,3424,4000,0.01,1
1.0,18.988,19.0,2.840573181595574,11,30,1.122649452708392,1.0,0.37588036399893987,5,3562,0.8905,20,0.13425,3563,4000,0.01,1
