shuffle_id,epsilon_star,peak_score,orig_epsilon_star,orig_peak_score
0,0.06,0.481656474476593,0.18,0.7656098373095557
1,1.0,0.46399866596723793,0.18,0.7656098373095557
2,0.0,0.6604793433250129,0.18,0.7656098373095557
3,0.36,0.47052228092473186,0.18,0.7656098373095557
4,0.62,0.4766090624584176,0.18,0.7656098373095557
5,0.74,0.3811708381946366,0.18,0.7656098373095557
6,0.8,0.38645514174448387,0.18,0.7656098373095557
7,0.5,0.47085656152506505,0.18,0.7656098373095557
8,1.0,0.5398275093896128,0.18,0.7656098373095557
9,0.9,0.364930034047959,0.18,0.7656098373095557
10,1.0,0.4964871430729858,0.18,0.7656098373095557
11,0.0,0.45661692715832924,0.18,0.7656098373095557
12,1.0,0.3659009251480289,0.18,0.7656098373095557
13,1.0,0.445689806959716,0.18,0.7656098373095557
14,0.0,0.40287237361406536,0.18,0.7656098373095557
15,1.0,0.40320475530060584,0.18,0.7656098373095557
16,0.74,0.35012055495686556,0.18,0.7656098373095557
17,0.0,0.44264006356792357,0.18,0.7656098373095557
18,0.0,0.4305271706737364,0.18,0.7656098373095557
19,0.12,0.4179247182384073,0.18,0.7656098373095557
20,0.0,0.44781544749377467,0.18,0.7656098373095557
21,0.22,0.34862432646037933,0.18,0.7656098373095557
22,1.0,0.46421998920581964,0.18,0.7656098373095557
23,0.0,0.6473041894982258,0.18,0.7656098373095557
24,0.1,0.40582805799146926,0.18,0.7656098373095557
25,1.0,0.5297326493372413,0.18,0.7656098373095557
26,0.36,0.35311758522400966,0.18,0.7656098373095557
27,0.0,0.4533548357989554,0.18,0.7656098373095557
28,1.0,0.38411189198064455,0.18,0.7656098373095557
29,0.84,0.39418929325941465,0.18,0.7656098373095557
30,0.56,0.4188094634957369,0.18,0.7656098373095557
31,0.0,0.5366676497247254,0.18,0.7656098373095557
32,1.0,0.5738957503285105,0.18,0.7656098373095557
33,0.3,0.3965694828160106,0.18,0.7656098373095557
34,0.4,0.4668268906154375,0.18,0.7656098373095557
35,0.3,0.3665779250198582,0.18,0.7656098373095557
36,0.88,0.41730917226017966,0.18,0.7656098373095557
37,0.0,0.3988264643099483,0.18,0.7656098373095557
38,1.0,0.5605372039053605,0.18,0.7656098373095557
39,0.7,0.4056557180658476,0.18,0.7656098373095557
40,1.0,0.385581875364121,0.18,0.7656098373095557
41,0.0,0.5792657723510535,0.18,0.7656098373095557
42,0.0,0.512386073217628,0.18,0.7656098373095557
43,0.14,0.4646582644620827,0.18,0.7656098373095557
44,0.0,0.39922173658843785,0.18,0.7656098373095557
45,1.0,0.4101679413543066,0.18,0.7656098373095557
46,0.0,0.6139256868102007,0.18,0.7656098373095557
47,0.0,0.42717101018611814,0.18,0.7656098373095557
48,0.0,0.5000074482940778,0.18,0.7656098373095557
49,0.78,0.372484169448837,0.18,0.7656098373095557
50,1.0,0.4141397744242912,0.18,0.7656098373095557
51,0.0,0.6120785099178678,0.18,0.7656098373095557
52,1.0,0.46329704475460637,0.18,0.7656098373095557
53,0.38,0.49315224857077183,0.18,0.7656098373095557
