delta,mean_dwell_time,std_dwell_time,median_dwell_time,max_dwell_time,mean_number_of_dwells
0.5,2.610016236589629,0.26404497750996064,1.9481,7.4091999999999985,38.7
0.7368421052631579,2.1832479489904046,0.15180752380986778,1.8136000000000003,5.93,46.02
0.9736842105263157,1.8346474083552777,0.12110325144291782,1.4405000000000001,5.0464,54.74
1.2105263157894737,1.8152246290042746,0.1512647464890512,1.5768,5.418000000000001,55.46
1.4473684210526314,1.70069435252874,0.14643184895719963,1.1908,5.995799999999999,59.22
1.6842105263157894,1.3552192071182347,0.11050502014832286,0.96,5.066,74.26
1.9210526315789473,0.7902502083248715,0.059084407812654414,0.7166999999999999,4.007599999999999,127.16
2.1578947368421053,1.500581165937443,0.11559473145586256,1.1437,5.5078000000000005,67.04
2.394736842105263,1.3753589065621912,0.10584395186535599,1.2616,4.6328000000000005,73.12
2.631578947368421,1.4562041261236536,0.12812067423657605,1.2772,5.2556,69.16
2.8684210526315788,1.3713659987777793,0.11840314155492834,1.0403,5.1416,73.44
3.1052631578947367,1.464286462291521,0.10199823602086497,1.1804999999999999,5.2566,68.62
3.3421052631578947,1.5720542081862086,0.14786603159636943,1.2013999999999998,5.5493999999999994,64.18
3.5789473684210527,1.6193414252065552,0.13338930017054282,1.1316000000000002,6.0922,62.16
3.81578947368421,1.7894448714656286,0.2208189893827007,1.1578000000000002,7.339200000000001,56.72
4.052631578947368,1.6046534376194308,0.13143190256990814,1.1409000000000002,6.412999999999999,62.74
4.289473684210526,1.5971252980766892,0.16468158205622924,1.1542,6.1688,63.24
4.526315789473684,1.6858179044848576,0.16899853608024337,1.2376000000000003,6.6188,59.92
4.763157894736842,1.646000401970794,0.17289523591575934,1.2007,6.609,61.4
5.0,1.6225610212958654,0.16201342227797105,1.1404,6.484400000000001,62.22
