delta,mean_transitions,std_transitions,mean_filtered_steps,std_filtered_steps,mean_dwell_time,std_dwell_time,median_dwell_time,mean_number_of_dwells
0.1,30.8,3.872983346207417,9989.98,33.67283177875006,3.1890720736248706,0.3662789218033376,2.3059,31.8
0.2,28.66,4.29702222475053,9829.04,188.96845874378084,3.4447592003184524,0.5162569294291982,2.2569000000000004,29.66
0.30000000000000004,32.64,4.37154434954056,9728.24,159.65557428414454,3.024093005597938,0.39835297914796625,2.2187,33.64
0.4,31.14,3.5043401661368434,9263.56,276.2347668198194,3.15071585809233,0.3604480266575142,2.3518,32.14
0.5,37.56,3.639560413016935,8208.16,260.15659591868894,2.617068169876559,0.25034500107566693,1.969,38.56
0.6,37.84,2.7810789273229912,7279.94,269.43447515119516,2.5882848679540986,0.18727604588584087,2.3336,38.84
0.7000000000000001,44.02,2.8248185782453357,6726.82,185.00104756460166,2.23032349972655,0.14182601815190107,1.9361999999999995,45.02
0.8,46.26,2.971935396336872,5869.76,228.49731376976843,2.1247960593926907,0.13786537890366776,1.4976000000000003,47.26
0.9,45.94,4.19718953586802,5287.96,262.42819665577093,2.148194638605734,0.1983011138020505,1.8351,46.94
1.0,56.68,3.426018096858217,5298.82,170.1119266835809,1.7399842792742524,0.10302761940783091,1.3880000000000001,57.68
1.1,62.04,3.654914499683953,4829.6,241.81703827480808,1.5918365307681501,0.09301125031841952,1.0963,63.04
1.2000000000000002,56.6,3.857460304397182,4150.58,168.16017245471653,1.7440330800325399,0.11606071350045893,1.5338,57.6
1.3000000000000003,57.96,3.5718902558729324,3688.0,177.1347509666017,1.7024811222750753,0.10337557748756548,1.4798999999999998,58.96
1.4000000000000001,60.12,4.425562111189945,3237.38,189.93155504023022,1.645107598062906,0.12232389242830238,1.2347000000000001,61.12
1.5000000000000002,67.46,4.070429952719983,2923.22,182.54986058608753,1.4661978190236067,0.09020078453777804,1.0582,68.46
1.6,74.94,5.835786150982574,2846.4,181.6709112653977,1.3251223299978696,0.10669720371931063,0.9875999999999998,75.94
1.7000000000000002,76.8,4.919349550499537,2399.98,119.33725151854304,1.2907133181811739,0.08306955962717578,0.9544,77.8
1.8000000000000003,111.42,5.303168863990662,2339.26,69.22046229259091,0.8918168190447356,0.04689978426894347,0.8647,112.42
1.9000000000000001,119.0,6.870225614927067,1288.96,66.5756592156623,0.8365001969024071,0.05412040601304387,0.7599999999999999,120.0
2.0,76.24,5.81226289838992,1554.46,84.83471223502794,1.3026970902258492,0.10576441666553456,0.9413000000000001,77.24
2.1,73.76,6.3641495896938185,1344.82,67.23858713566192,1.3481426165648838,0.12310379622152169,1.0155,74.76
2.2,63.22,5.170261115262942,1139.0,65.11251799769381,1.5671654963201005,0.12304961154982957,1.4119000000000002,64.22
2.3000000000000003,70.92,5.011347124277064,921.16,48.35674099854125,1.3974719028566462,0.09945145081858635,1.3295000000000001,71.92
2.4000000000000004,69.78,5.162518765099067,789.64,48.66159060285637,1.4203076351225397,0.10109218913943234,1.3339,70.78
2.5000000000000004,79.76,6.094456497506566,601.12,79.5453681869661,1.2459087526533081,0.10072329787088087,0.8693000000000001,80.76
2.6,68.48,5.2239448695406425,635.48,59.24229570163533,1.4479375930267182,0.11418753667681561,1.3063,69.48
2.7,64.84,4.8676893902548874,505.7,49.416697582902074,1.5278789359177463,0.12092129225816556,1.3757,65.84
2.8000000000000003,67.9,5.139066063011839,349.44,47.890358111001845,1.459617223802147,0.10897824670408167,1.3053,68.9
2.9000000000000004,73.08,5.164649068426624,286.5,52.89092549766926,1.3569499286892028,0.09984451254374417,1.0,74.08
3.0000000000000004,67.34,5.2100287907073985,278.34,49.3402918515892,1.4716001756168495,0.10812950383865619,1.13,68.34
