delta,mean_occupancy,std_occupancy,mean_range_z,std_range_z
0.1,1610.12,71.73914970223719,49.52623624704791,0.016684417450508582
0.2,1622.6,64.51418448682429,49.52623624704791,0.016684417450508582
0.30000000000000004,1605.08,80.8195124954364,49.543280908738645,0.014753066045002669
0.4,1663.76,55.7686506919434,49.54816832531463,0.014736597027015933
0.5,1689.4,78.04127113265133,49.54936713079627,0.015431672645383577
0.6,1743.38,65.06516425861076,49.549543724138665,0.015958266441267643
0.7000000000000001,1731.12,55.23645173252895,49.550392079144956,0.017282400952461772
0.8,1808.32,59.637719607644286,49.55237717697829,0.01764500877986101
0.9,1818.48,62.943225211296564,49.55603296341981,0.017356684113461765
1.0,1704.44,73.0044272630092,49.561694204691484,0.017296340774645196
1.1,1732.54,88.86961460476803,49.56990172503145,0.01725006776430272
1.2000000000000002,1801.54,62.341706745965816,49.58095791465823,0.017153112357767175
1.3000000000000003,1807.72,70.25497562450649,49.59108258951407,0.019279279833006157
1.4000000000000001,1843.88,63.11787068651793,49.59512629062987,0.016852555375585682
1.5000000000000002,1792.52,65.95975742829866,49.61255819625022,0.016545625406402722
1.6,1728.66,93.75982295205127,49.63866402147195,0.1176926103999722
1.7000000000000002,1776.18,59.79253799597405,49.63453400348235,0.015839267064122118
1.8000000000000003,949.76,226.22144549091715,49.66090272211412,0.014894196454711427
1.9000000000000001,1077.12,252.6262567509561,49.66135144157256,0.015231846896242619
2.0,1788.72,72.30381456050573,49.69426878086975,0.014743731045770824
2.1,1787.58,60.262787854529265,49.69426878086975,0.014743731045770824
2.2,1810.5,47.53198922830813,49.730622380008754,0.018293449506719867
2.3000000000000003,1752.18,61.367317034395434,49.73486320915208,0.014509051136381823
2.4000000000000004,1787.82,65.7046999840955,49.748397346600115,0.027399460451922694
2.5000000000000004,1734.1,65.91426249302953,49.784935189689634,0.014441480188454578
2.6,1748.38,56.08240009129424,49.786076244544645,0.014705859848006776
2.7,1753.4,53.44155686354955,49.846630784761665,0.014513211610112164
2.8000000000000003,1739.18,54.697967055458285,49.861651532638504,0.10879550073351359
2.9000000000000004,1724.06,48.783361917768644,49.86734445264793,0.035721113559411675
3.0000000000000004,1752.88,54.77614079140661,49.922403634196755,0.01473096473923617
