delta,corr_transitions_dwell,corr_transitions_occupancy,corr_dwell_occupancy
0.1,-0.9886505626166255,-0.5808140214204194,0.558815799339236
0.2,-0.9743912503190754,-0.3158370691146829,0.2337503262566107
0.30000000000000004,-0.9879816274862463,-0.6840844568064347,0.654708723729626
0.4,-0.9927760400825751,-0.24257195207929416,0.2110401555655436
0.5,-0.9923205205871557,-0.4116521586073614,0.38008582928449763
0.6,-0.996457202226481,-0.1703175951430749,0.1860688395604101
0.7000000000000001,-0.9963337665531327,-0.2209943405151944,0.189328970393065
0.8,-0.9954476209842783,-0.5290199223407241,0.5167488794438354
0.9,-0.9927298208089457,-0.43814506883836846,0.4101653034293812
1.0,-0.9980699454191538,-0.3909377677758051,0.3774409677759406
1.1,-0.9983136611598856,-0.6186419090689647,0.6091981867240325
1.2000000000000002,-0.996885890966618,-0.3750156055986558,0.3682871281702861
1.3000000000000003,-0.9974021437780781,-0.38220303405477357,0.3594705722299276
1.4000000000000001,-0.9956117459785514,-0.5965860193791648,0.5848214336231686
1.5000000000000002,-0.9965865058172422,-0.550270724044642,0.5514371613897038
1.6,-0.9953870262178313,-0.8063063173535879,0.784903233397362
1.7000000000000002,-0.9971808359500074,-0.6390281758312538,0.6303486342351485
1.8000000000000003,-0.997303451830335,-0.9477437516336108,0.9342184118453493
1.9000000000000001,-0.9951703128084537,-0.9121920750387489,0.8810275616587838
2.0,-0.9928304432111942,-0.6382714562011476,0.621215434476492
2.1,-0.9919472181030996,-0.5549646040295905,0.5259805785596348
2.2,-0.9955509992158692,-0.2737303550313648,0.2762072374005994
2.3000000000000003,-0.9955727292563074,-0.35529723857937734,0.34998936665913793
2.4000000000000004,-0.9951792371865635,-0.7014692653230516,0.6801111787247273
2.5000000000000004,-0.9930555236836192,-0.7065168051780778,0.7022509199305134
2.6,-0.9936204979921521,-0.5444299968742651,0.5347843538976638
2.7,-0.994804429708327,-0.30036492399662845,0.3054827163452036
2.8000000000000003,-0.9956794843505606,-0.5521307403551872,0.5426466632409668
2.9000000000000004,-0.9945484598123616,-0.6522146786784186,0.6411701657430013
3.0000000000000004,-0.9925414607571946,-0.5750794344567589,0.5391816456951499
