seed,K,R_before,R_after_final,R_min_after_perturb,recovery_time,cluster_final
0,0.4,0.08038181733857,0.0434303662009058,0.005744490720959981,6.28,1
0,0.425,0.09196345544460902,0.07109990222870993,0.0009967872638800225,0.0,1
0,0.45,0.15604403452732446,0.07303756093615148,0.0030349702370328635,0.0,1
0,0.475,0.17783117719236327,0.14548994015175729,0.010737303014564138,1.98,1
0,0.5,0.10643286466595325,0.1859619765547031,0.0006480711029215435,0.0,1
0,0.525,0.2142616492653664,0.17192463608147712,0.00483616736334349,0.0,1
0,0.55,0.3920415448402497,0.21303870524587867,0.022436840139969542,1.0,1
0,0.575,0.2799841664567731,0.3851342425272722,0.11495679251715137,8.6,2
0,0.6,0.569525230422809,0.4763481517300008,0.22167559824557456,80.0,3
0,0.625,0.4050829999926047,0.5878927827647267,0.23107343335894653,3.16,2
0,0.65,0.3161059881764432,0.4885036778155167,0.2963993999951502,0.06,1
0,0.675,0.6203631790407838,0.6320581238992777,0.5560490022566867,1.7,1
0,0.7,0.6993722445765708,0.6978750216257898,0.6563709505668521,0.18,1
0,0.725,0.7451947144447116,0.7452064322481423,0.662894288232491,0.78,1
0,0.75,0.7778382226160846,0.7778381780423711,0.7163006111047084,0.8200000000000001,1
0,0.775,0.8028213741070286,0.8028213759328864,0.7297982818429508,1.1,1
0,0.8,0.8228262902405709,0.8228262902457477,0.7561850251623692,0.48,1
0,0.825,0.8393161328671869,0.8393161328638383,0.7601673835927155,0.88,1
0,0.85,0.8531932966560656,0.8531932966560415,0.783082665309064,0.34,1
0,0.875,0.865057859949937,0.8650578599499352,0.7824203433067738,0.46,1
0,0.9,0.8753302054155033,0.8753302054155032,0.7965313770197907,0.5,1
0,0.925,0.8843163776223815,0.8843163776223815,0.8044218802102417,0.5,1
0,0.95,0.8922459174561356,0.8922459174561356,0.8021866746193027,0.6,1
0,0.975,0.8992951519660918,0.8992951519660918,0.8289303407754214,0.22,1
0,1.0,0.9056022289117384,0.9056022289117381,0.8250610367543878,0.44,1
0,1.025,0.9112771974865533,0.9112771974865533,0.8315854394411483,0.34,1
0,1.05,0.916408980857963,0.9164089808579631,0.8387982156901435,0.3,1
0,1.075,0.9210703259602282,0.9210703259602282,0.8476274248448296,0.24,1
0,1.1,0.9253213960816922,0.9253213960816922,0.8574304611178377,0.2,1
0,1.125,0.9292124288323479,0.9292124288323474,0.8469829136639341,0.26,1
0,1.15,0.9327857359046429,0.932785735904643,0.8566174306633544,0.24,1
0,1.175,0.9360772301201865,0.9360772301201866,0.863654604032971,0.18,1
0,1.2,0.93911760705457,0.9391176070545701,0.8659346146476974,0.22,1
1,0.4,0.10066424889569364,0.03398551422909638,0.0036239744878776023,0.0,1
1,0.425,0.16870749311216235,0.0702305943048263,0.03614184825189406,46.7,1
1,0.45,0.20823575893798432,0.03715782756469247,0.016098364533172684,1.56,1
1,0.475,0.033999960334439555,0.09670913985343695,0.03197258584369561,0.0,1
1,0.5,0.20114949242357674,0.23081959037469335,0.04253566346053276,0.0,1
1,0.525,0.2842335511497111,0.1844555364858537,0.1334214294649404,24.02,1
1,0.55,0.41711261992870313,0.3588099623695704,0.15780105808102166,0.0,1
1,0.575,0.29453207412810467,0.41844538972136774,0.23732228026068597,0.24,4
1,0.6,0.45809529969042573,0.4015791876071681,0.263865897098018,0.16,1
1,0.625,0.5168130977087582,0.5470743295057193,0.4909248678264306,0.02,1
1,0.65,0.6359103527967829,0.6312652604898941,0.588920870345636,1.16,1
1,0.675,0.6962602265358732,0.7013077311093449,0.589743343598026,2.0,1
1,0.7,0.7426718527103907,0.7419057042264933,0.6691157292040077,1.02,1
1,0.725,0.7726421981939605,0.7727572711696699,0.7069014012410151,0.66,1
1,0.75,0.7981741827532917,0.7981722430437386,0.7174121320854807,0.56,1
1,0.775,0.8186677864614285,0.8186677778839924,0.7439238146528513,1.02,1
1,0.8,0.8356200431653447,0.8356200428778925,0.7603320200128091,0.58,1
1,0.825,0.8499148102511885,0.8499148102536039,0.7676600049624781,0.46,1
1,0.85,0.8621506441696967,0.8621506441697331,0.7652481699357759,0.74,1
1,0.875,0.872751177859968,0.8727511778599699,0.8087573696910416,0.32,1
1,0.9,0.8820269283042501,0.8820269283042499,0.8207648489195354,0.22,1
1,0.925,0.8902119376873566,0.8902119376873565,0.8063288105913576,0.44,1
1,0.95,0.8974866869639733,0.8974866869639733,0.8225128047828945,0.42,1
1,0.975,0.9039930366194292,0.9039930366194292,0.8207243981764225,0.5,1
1,1.0,0.9098443094798377,0.9098443094798377,0.8427496799536054,0.22,1
1,1.025,0.9151322961808324,0.9151322961808325,0.8196134497503283,0.46,1
1,1.05,0.9199322461608659,0.9199322461608658,0.8323798564713887,0.46,1
1,1.075,0.924306501866517,0.9243065018665167,0.8656251380050791,0.12,1
1,1.1,0.9283071959840691,0.928307195984069,0.845194695305161,0.26,1
1,1.125,0.931978287131114,0.931978287131114,0.8393759145582068,0.4,1
1,1.15,0.9353571192058001,0.9353571192058003,0.855627261081137,0.3,1
1,1.175,0.938475631694083,0.938475631694083,0.860922405568833,0.28,1
1,1.2,0.9413613101916336,0.9413613101916333,0.8696154189033091,0.18,1
2,0.4,0.1542622733175702,0.11993444170546746,0.007006730723773569,0.0,1
2,0.425,0.19178930943588837,0.05687095840215555,0.025359727093598627,0.0,1
2,0.45,0.32593756416079606,0.07750637173197297,0.0014614956004083825,0.0,1
2,0.475,0.17857149123105984,0.21677262244833156,0.018710582648324297,0.14,1
2,0.5,0.14396191104507988,0.03876784953582288,0.01733938216264065,2.58,1
2,0.525,0.37150558797050665,0.3212512466464529,0.008372239841936814,1.02,1
2,0.55,0.23940903216219342,0.34292213505272556,0.022496931573978418,0.24,2
2,0.575,0.2623573189919952,0.35088160341887903,0.180792345447683,0.46,1
2,0.6,0.5357022554541628,0.38662838523666143,0.233712260110655,30.22,2
2,0.625,0.5129420623144678,0.4369375877027058,0.34215544094353756,5.74,3
2,0.65,0.48420080082199884,0.5231615555766725,0.41880094854231953,2.58,1
2,0.675,0.612562432222244,0.6220647984954059,0.5682744871700461,0.64,1
2,0.7,0.6867696527145821,0.6814991761463739,0.5791856648588031,2.68,1
2,0.725,0.7286592489295811,0.7281079443200882,0.6627853052114521,0.92,1
2,0.75,0.7633939179441546,0.7637533949532322,0.6440093810283672,1.6,1
2,0.775,0.7877684533077688,0.7890791916585554,0.7103344346599507,1.2,1
2,0.8,0.8088648587730367,0.8082204010385976,0.7276879470805084,0.86,1
2,0.825,0.8259934978216366,0.825960801863518,0.750066773496886,0.4,1
2,0.85,0.8406322433813709,0.8406294463600148,0.7488819087513546,0.9400000000000001,1
2,0.875,0.8532277324098109,0.8532275822015459,0.76091266403821,0.9,1
2,0.9,0.8641722855640349,0.8641722898352467,0.7926536401422716,0.36,1
2,0.925,0.8737759802782252,0.8737759802758845,0.7969849325184174,0.44,1
2,0.95,0.8822737811097722,0.8822737811088613,0.7932115365988486,0.44,1
2,0.975,0.8898469362263962,0.8898469362268013,0.8175978708019054,0.34,1
2,1.0,0.8966379489779419,0.8966379489779153,0.8288535021636961,0.22,1
2,1.025,0.9027607346896033,0.9027607346896018,0.8410858000370864,0.16,1
2,1.05,0.9083076507365714,0.9083076507365713,0.8400603596252814,0.26,1
2,1.075,0.9133544966725353,0.9133544966725352,0.833754161981938,0.32,1
2,1.1,0.9179641518853704,0.9179641518853704,0.8266201026479949,0.48,1
2,1.125,0.922189273855714,0.9221892738557141,0.8404301145962532,0.3,1
2,1.15,0.926074333676328,0.926074333676328,0.8426474793610702,0.38,1
2,1.175,0.9296571746097062,0.9296571746097062,0.8496750400254078,0.3,1
2,1.2,0.9329702213290286,0.9329702213290287,0.8538896866165366,0.28,1
3,0.4,0.05716591906700618,0.05051075565824511,0.004193102155444289,0.0,1
3,0.425,0.11571361454672224,0.10269029382229061,0.008476346278105605,0.18,1
3,0.45,0.08870895738540496,0.05141574649242555,0.028795488012326554,0.0,1
3,0.475,0.19029250703862968,0.059049329448832455,0.004576889485464616,0.16,1
3,0.5,0.22704873879740944,0.13596316565077712,0.021712220429362983,26.68,1
3,0.525,0.3257228351863251,0.253451937646813,0.08869645464533954,0.0,1
3,0.55,0.3863850755876673,0.3500991229243013,0.17397945989012642,0.0,1
3,0.575,0.3196438095731105,0.2648241366516123,0.19309274041862448,0.0,1
3,0.6,0.33504885938382706,0.17344867401804015,0.15727327706124095,0.0,1
3,0.625,0.27444304926684937,0.45233467525025833,0.2701654496605384,0.0,1
3,0.65,0.4549147016562706,0.44339932176898855,0.4125071372870311,0.44,2
3,0.675,0.584355609840793,0.5882091711203663,0.4875428973765447,2.62,1
3,0.7,0.6622631828972466,0.6666636535060645,0.5998444478449627,0.54,1
3,0.725,0.714557449928831,0.7130164269681607,0.6669093158991285,0.14,1
3,0.75,0.7515659141322987,0.7514975877364288,0.697024047607088,0.5,1
3,0.775,0.7798191941144985,0.7798192943243578,0.7240849982233016,0.9,1
3,0.8,0.802377657792695,0.8023776680894918,0.7274090839624909,0.9,1
3,0.825,0.820915324403832,0.8209153244338654,0.7255274837044229,0.98,1
3,0.85,0.8364869723810339,0.836486972381289,0.767673331961866,0.26,1
3,0.875,0.8497853278374002,0.8497853278374141,0.769925727984394,0.72,1
3,0.9,0.8612907989955312,0.8612907989955286,0.763509909751555,0.8,1
3,0.925,0.8713505320467112,0.871350532046711,0.7763952092470717,0.78,1
3,0.95,0.8802235944545127,0.8802235944545125,0.8138430097771175,0.3,1
3,0.975,0.8881083933176876,0.8881083933176874,0.811767865328178,0.3,1
3,1.0,0.8951601300026383,0.8951601300026383,0.8337675132366623,0.16,1
3,1.025,0.9015023625025597,0.9015023625025597,0.8272916693898653,0.26,1
3,1.05,0.9072349262851386,0.9072349262851387,0.8420938686039656,0.3,1
3,1.075,0.9124395180992364,0.9124395180992364,0.8472246824962435,0.22,1
3,1.1,0.9171837299793114,0.9171837299793115,0.8419990671813101,0.2,1
3,1.125,0.9215240257053805,0.9215240257053804,0.8381507647813159,0.38,1
3,1.15,0.9255079773749081,0.9255079773749081,0.8221911884098585,0.4,1
3,1.175,0.9291759728997115,0.9291759728997114,0.8580264591635902,0.22,1
3,1.2,0.9325625378660223,0.9325625378660222,0.8502919568345243,0.32,1
4,0.4,0.09655418964402843,0.11793796229912594,0.028133938785160576,1.78,1
4,0.425,0.10125899453112636,0.08027089209262642,0.03877500469029791,0.3,1
4,0.45,0.15842543208158888,0.21950438542047424,0.0069264461703959996,1.5,1
4,0.475,0.1946383779815037,0.1782267327051141,0.12935819297675283,0.32,1
4,0.5,0.2839397288464326,0.30370952707028204,0.15514102775086952,0.0,1
4,0.525,0.4348967775785795,0.44491341006046664,0.18019399747639284,0.0,3
4,0.55,0.36972964801583824,0.2787946794720304,0.2503579433391295,0.0,1
4,0.575,0.6013360814858261,0.2990593214213066,0.29410825982724165,27.12,1
4,0.6,0.3970200279105004,0.431143814802786,0.3097550653949256,2.38,2
4,0.625,0.49565979979141234,0.45222836977758796,0.38361793714652714,5.2,1
4,0.65,0.5930839846888208,0.5930252329966904,0.5397080382954887,0.46,1
4,0.675,0.6687039678452535,0.6715996490049274,0.6029986753427592,0.9400000000000001,1
4,0.7,0.7232588704124843,0.7234371067446557,0.6627537311178412,0.62,1
4,0.725,0.7605725079403498,0.7605645621299103,0.7002348670384622,0.38,1
