topology,K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
all_to_all,0.2,0,0.0400922115825893,0.0255009257479091,0.0352173913043478,0.1912742071117749,0,0.9660869565217391,0.0243478260869565,0.6330434782608696,0.0001579368187105
all_to_all,0.2,1,0.055990964228045,0.0270151923941731,0.0339130434782608,0.1810053837881693,0,0.9660869565217391,0.02,0.591304347826087,0.0001227688751425
all_to_all,0.2,2,0.0531659403247245,0.0283660768761093,0.0230434782608695,0.1500415821381206,0,0.9769565217391304,0.0178260869565217,0.8247826086956521,6.163334145107856e-05
all_to_all,0.2,3,0.0594207695739303,0.0315316720564928,0.0321739130434782,0.176461758925125,0,0.9678260869565216,0.02,0.6708695652173913,0.0001135493114205
all_to_all,0.2,4,0.0511527765925192,0.0296451645952521,0.0469565217391304,0.2196129952321998,0,0.954782608695652,0.0260869565217391,0.5982608695652174,0.0002590520118677
all_to_all,0.2,5,0.0571118480866649,0.0281259913119145,0.0182608695652173,0.1338932791738984,0,0.9817391304347826,0.0147826086956521,0.9121739130434784,3.614359463032481e-05
all_to_all,0.2,6,0.0552743178462123,0.024812044925257,0.0343478260869565,0.1821209843210186,0,0.9656521739130436,0.0208695652173913,0.79,0.0001305487345248
all_to_all,0.2,7,0.0699692762128987,0.0346730200357753,0.0295652173913043,0.1693845191034566,0,0.9704347826086956,0.02,0.6513043478260869,0.0001001578076081
all_to_all,0.2,8,0.0482966330980836,0.0225575165634593,0.0408695652173913,0.1979879891719008,0,0.9591304347826088,0.0291304347826086,0.7465217391304347,0.0002357142530452
all_to_all,0.2,9,0.0512279537911944,0.022614568371224,0.048695652173913,0.2251048904849178,0,0.9534782608695652,0.0278260869565217,0.5930434782608696,0.0002914023337313
all_to_all,0.2,10,0.06976382433523,0.0305252968070176,0.0317391304347826,0.1753047575909634,0,0.9682608695652174,0.0243478260869565,0.8034782608695652,0.000135471810674
all_to_all,0.2,11,0.0577238680202025,0.020800349326639,0.0169565217391304,0.1291084741976328,0,0.9830434782608696,0.0147826086956521,0.9743478260869564,3.236254222440288e-05
