topology,K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,reorganization_score_mean,reorganization_score_std
all_to_all,0.2,0.055076105780747994,0.007059456017341969,0.02818767348087951,0.005432682401694064,0.030434782608695605,0.009378243311897638,0.17090075443199623,0.02790253725550461,0.9698260869565217,0.008973146686451262,0.020913043478260826,0.00452037472814121,0.7516086956521739,0.12748168083049585,0.00012154776393186776,7.480892422855421e-05
all_to_all,0.3,0.06568112336662281,0.01118132668586443,0.03287171139945199,0.007478718761621013,0.03465217391304344,0.009122367581364138,0.18385637011221834,0.026280585915657097,0.9658913043478261,0.00880421363290105,0.023717391304347774,0.005558052810980363,0.6959782608695652,0.10746913262059143,0.00016433708071489085,8.711811850475645e-05
all_to_all,0.4,0.08157002152241813,0.023505854541142394,0.038377587540795746,0.011030609622065786,0.038999999999999965,0.013938834790322666,0.19447395396653808,0.03509321186403797,0.9618260869565217,0.012879673190511438,0.027108695652173876,0.007687917094170633,0.7009130434782609,0.12051657294246147,0.00024221398756042208,0.00022264937815402367
all_to_all,0.5,0.1256480031855419,0.05371944422947986,0.04734645973429153,0.012336697079445206,0.08134782608695647,0.05821387154548644,0.26629203941816443,0.08866887034289078,0.9219782608695652,0.05339391219713585,0.0501739130434782,0.030549115093431806,0.47436956521739126,0.2491684499013193,0.0020244562103026295,0.0033670550295352773
all_to_all,0.6,0.2355157957348648,0.106804236210715,0.05395813650154994,0.015746704441754293,0.3704782608695652,0.39151003747266383,0.5111236834823748,0.26473022337671337,0.7420434782608696,0.2149938788049318,0.14815217391304342,0.11749710250726282,0.26513043478260867,0.22024920537069204,0.05156341189836798,0.0785912305313897
all_to_all,0.7,0.5020970040209773,0.12868461901253703,0.04345354564135751,0.03172824671820753,2.9574347826086957,1.8788228294215998,1.2511403731876096,0.262209292559918,0.3465869565217391,0.12131384320176677,0.4621304347826086,0.1389740897868247,0.09041304347826079,0.01547797482573219,0.42555110783846556,0.20542701149504702
all_to_all,0.8,0.7270513992815194,0.040864269793667765,0.015148168288919786,0.004072457385133092,7.025978260869566,0.5593857383222995,1.5547912567610704,0.10152100890810085,0.2559565217391304,0.01789493875239434,0.5341086956521739,0.05504540414748015,0.0865217391304347,0.0,0.6158228537151372,0.05806379227910579
all_to_all,0.9,0.8206298621521126,0.023400069885602424,0.008555973813967745,0.0018804127812398234,7.076217391304349,0.5031762629604116,1.6413584636147303,0.12870490089714307,0.24552173913043474,0.025096411450142804,0.353695652173913,0.07616811624391177,0.0865217391304347,0.0,0.4414658789128345,0.10968216502150567
all_to_all,1.0,0.8731747103524594,0.01581319595750532,0.005228403651566185,0.0011786119509396443,5.8125217391304345,1.0925046741494993,1.428913648003261,0.2446591625714846,0.28528260869565214,0.06482970582332297,0.18319565217391304,0.08336702101560077,0.0865217391304347,0.0,0.2032512126404852,0.12079700801995381
all_to_all,1.1,0.9053965248516697,0.011154349230807402,0.003469853551140865,0.0011351862919435885,4.692934782608695,0.9294314172798996,1.0848070288652227,0.275410485531285,0.37915217391304346,0.09127257538064358,0.07665217391304344,0.042690366784293325,0.08734782608695645,0.003694373180217047,0.061837465768370944,0.04920815021524174
