K,global_R_mean,global_R_std,outsider_R_mean,outsider_R_std,outsider_recruitment_score_mean,outsider_recruitment_score_std
0.3,0.8942758973967297,0.04715146618831867,0.6338409055861607,0.1882261262397996,0.7046228901794632,0.1952261693804259
0.35,0.9057408292618675,0.04235270032641725,0.7221425162147235,0.1101196361698949,0.7996039859094327,0.1350566488099229
0.39999999999999997,0.9277621723037182,0.032069564727827946,0.7729261801646398,0.10146369931782545,0.8320443338993115,0.09821664036609153
0.44999999999999996,0.9476984530945419,0.03125657418886802,0.8356095572792723,0.09099354293765949,0.8810163235660606,0.08511144325819456
0.5,0.9332002772935961,0.045653295004767745,0.8470588005285536,0.10465729459746029,0.9087546753894837,0.11515800691229572
0.5499999999999999,0.935549759346624,0.03471780961340783,0.8488023548674809,0.06712470513276272,0.9075827640560222,0.0684787131709745
0.6,0.966195105902379,0.027529856715490506,0.9148882130509847,0.04713555807704699,0.9471759800757156,0.046921482808346404
0.6499999999999999,0.9648380222906274,0.019938689040080396,0.9123842380128524,0.04636270783696653,0.9455800621468455,0.04325997313023418
0.7,0.9730448931415246,0.014804526015439332,0.9171277553257504,0.06143288971862559,0.9422761512842166,0.057608492328383915
0.75,0.9720900301473104,0.021546150438202096,0.9187852119290645,0.04279366109138639,0.9451402253945383,0.03854930989439798
0.7999999999999999,0.972859321022718,0.014449933922227367,0.9324391563949623,0.04990549108015772,0.9583945285968388,0.04891421771457529
0.8499999999999999,0.9745361202576618,0.021228732847318986,0.9453663068014654,0.031740914490609624,0.970460946982047,0.03817380924991906
0.8999999999999999,0.980266360652854,0.01237310311119126,0.9593010732169379,0.027665803009485013,0.9786577228364874,0.0273479000253629
0.95,0.970901453505666,0.01570795695130374,0.9260140662154738,0.049580221595825466,0.9537024073447193,0.047724024009573776
1.0,0.9798855238445302,0.015163852126998105,0.9602799406762255,0.02593809323114705,0.9800219404437,0.023311730406009194
1.0499999999999998,0.9822538297302893,0.017961628127097038,0.9640376480207943,0.014951782739690757,0.9817055146788697,0.020789004102915416
1.0999999999999999,0.9831559438894466,0.011781239744520585,0.962011060538879,0.018054185670381997,0.9785364271073667,0.01712292725997794
1.15,0.9867481188616434,0.008145150452015498,0.9657893179778052,0.02415206444173495,0.9787296566125573,0.02181026542866935
1.2,0.9879980106200958,0.006010806682748415,0.963582827160387,0.03003549514550913,0.9751840083735732,0.026331526154213674
