K,run,global_R,outsider_R,outsider_R_std,outsider_recruitment_score
0.3,0,0.9178003928583719,0.5992362368003885,6.5273085934232085e-06,0.6529047508178669
0.3,1,0.8337251091840315,0.8550812770777784,0.00012107263027215183,1.0256153588964383
0.3,2,0.8424907911300045,0.4015654447427905,0.00019002353166083235,0.476640752599453
0.3,3,0.9010348498689563,0.6090889454005152,1.2177351807655679e-05,0.6759882211974633
0.3,4,0.8768218280348913,0.48022185381006777,0.00208729236179541,0.5476846475021955
0.3,5,0.9296489022932192,0.6490080603474868,4.764548527269503e-05,0.6981216873874025
0.3,6,0.9255709127400252,0.6944940691889896,8.1901891755236e-05,0.7503412862578894
0.3,7,0.8611282523917393,0.654036137301848,0.00021195912909299097,0.7595107180429127
0.3,8,0.8290982183245078,0.7408688328149832,0.07952999132692859,0.8935839161628913
0.3,9,0.9562762649396079,0.8525322296675271,3.191410687668707e-07,0.8915124853804417
0.3,10,0.9492613945095865,0.7893217704094809,1.2023131929698334e-07,0.8315115046013579
0.3,11,0.9499147759779709,0.8466112030542142,7.711528936230149e-06,0.891249640981431
0.3,12,0.831409376894373,0.27845450105182684,0.0818080291511131,0.33491864391958664
0.3,13,0.8772650816202814,0.6731453587252308,9.15915774767593e-05,0.7673226403599525
0.3,14,0.8650378314243162,0.6683086825512499,6.764785898430212e-05,0.7725774044472515
0.3,15,0.8617964337492459,0.46179663662151355,7.869766561702856e-05,0.5358535015188345
0.3,16,0.8980435191792043,0.4776651154631414,7.321634199411234e-05,0.5318952871005481
0.3,17,0.8570519678028723,0.28488683713546004,0.00010121204703985306,0.332403223885548
0.3,18,0.9831518944009257,0.9524332188917798,6.962625923388302e-07,0.96875490380982
0.3,19,0.9389901506104624,0.7080617006669407,3.553091400456943e-05,0.7540672287199786
0.35,0,0.8654779879393139,0.6501961027864149,0.0014269755821105716,0.7512566603037102
0.35,1,0.9676927850203199,0.8354565503179295,6.9329307477868775e-06,0.8633489504621273
0.35,2,0.8305205328144905,0.8128208536583292,2.3569643430797118e-05,0.9786884508476164
0.35,3,0.9013559778788401,0.5049724434471609,1.2431392416999237e-07,0.5602364169536564
0.35,4,0.8632089674670379,0.8205642976193361,9.963793036745301e-07,0.9505975129361932
0.35,5,0.9148629929606633,0.6865814612567065,3.586716317065043e-06,0.7504746246583364
