K_base,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,Kij_mean_final,Kij_std_final,Kij_density_weak,Kij_density_strong,reorganization_score,adaptive_network_score,adaptive_reorganization_score
0.2,0,0.0444674795652576,0.031615740021889,0.0382608695652173,0.1963061533934008,0,0.962608695652174,0.027391304347826,0.6604347826086957,0.2190616258327707,0.1184619069570393,0.4830449915544864,0.0,0.0002010561016852,0.0259504579372594,0.000206273599595
0.2,1,0.0707188776352669,0.0322455964843366,0.0295652173913043,0.1744426718056447,0,0.971304347826087,0.0169565217391304,0.7404347826086957,0.2236543225246077,0.1293708304744334,0.4776084949215143,0.0,8.488004985030748e-05,0.0289343454442052,8.733599853399764e-05
0.2,2,0.0584206458930883,0.0322323285109552,0.0530434782608695,0.2298664032150678,0,0.9482608695652174,0.0330434782608695,0.5095652173913043,0.2186378640966013,0.1187655842044827,0.4871287128712871,0.0,0.0003929890006789,0.0259666536586531,0.0004031936099512
0.2,3,0.0701191158425311,0.0394477153622728,0.0460869565217391,0.2217664092342442,0,0.9565217391304348,0.0243478260869565,0.5717391304347826,0.2218417031625166,0.1228729316808893,0.4826655408862962,0.0,0.0002347621819882,0.02725834043666,0.0002411614094665
0.2,4,0.0592647901939369,0.045318752100303,0.0265217391304347,0.1606808528852518,0,0.9734782608695652,0.0217391304347826,0.8965217391304348,0.2224146188611556,0.1224009896445474,0.4644329500934627,0.0,9.264208390237075e-05,0.0272237694600202,9.516415063682478e-05
0.2,5,0.064262335953527,0.0298046968630399,0.0243478260869565,0.1569221930422435,0,0.9760869565217392,0.0204347826086956,0.8739130434782608,0.2204823251372207,0.1237847430532829,0.4855116981518456,0.0,7.668126443570065e-05,0.0272923479649012,7.87740761870684e-05
0.2,6,0.0659523819638311,0.0320125716713581,0.03,0.1705872210923198,0,0.97,0.0252173913043478,0.7195652173913043,0.2199500737293543,0.1191389983094162,0.482117529804117,0.0,0.0001290529462918,0.0262046314621975,0.0001324347311884
0.2,7,0.0961653080506941,0.0421524877697314,0.0456521739130434,0.2108023200713123,0,0.954782608695652,0.0256521739130434,0.4226086956521739,0.2271931438969732,0.1354729378299152,0.4764097696136282,0.0,0.0002445147611307,0.0307785226585376,0.0002520405642465
0.2,8,0.0531028646247982,0.0268543570259334,0.0169565217391304,0.1419410405034641,0,0.9847826086956522,0.0160869565217391,0.8873913043478261,0.2188801395946104,0.1183693689527336,0.4855498721227621,0.0,3.474738353085825e-05,0.0259087040001002,3.564764320553721e-05
0.2,9,0.0572478383026497,0.0283828263707378,0.0443478260869565,0.2079679341285788,0,0.9560869565217393,0.0260869565217391,0.6047826086956521,0.2198497200420653,0.1206703440729605,0.4854453480181853,0.0,0.0002382392682665,0.02652934136182,0.0002445595991402
