K_base,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,Kij_mean_final_mean,Kij_mean_final_std,Kij_std_final_mean,Kij_std_final_std,Kij_density_weak_mean,Kij_density_weak_std,Kij_density_strong_mean,Kij_density_strong_std,reorganization_score_mean,reorganization_score_std,adaptive_network_score_mean,adaptive_network_score_std,adaptive_reorganization_score_mean,adaptive_reorganization_score_std
0.2,0.06484327969552037,0.012035162820743194,0.03295004041793421,0.006359501985320752,0.03404347826086952,0.009133267513060584,0.18212766851101372,0.024013810567705372,0.9664130434782608,0.008974781990108358,0.023347826086956486,0.004571152293483543,0.6912391304347827,0.12985548513712075,0.22099436994176663,0.002161734600544142,0.12263549490921795,0.004721746670388891,0.48100273760408896,0.005456189033418171,0.0,0.0,0.00015671295408705024,8.870662250086134e-05,0.027110947203702135,0.0013108206331906534,0.00016095532676131514,9.106775697126056e-05
0.3,0.07716452914363389,0.0215559235934998,0.03731951756397148,0.008071535532364527,0.03786956521739126,0.012217069631016982,0.19159231527723014,0.029857937121858538,0.9627608695652174,0.011850287360075533,0.02558695652173909,0.00624870895032853,0.6980652173913043,0.1322733483462112,0.31796576864820353,0.0036276207087945797,0.12878119674511843,0.008601480311069215,0.0540450213681211,0.0034942418583443348,0.0,0.0,0.00020984425149115187,0.00016072253660297,0.04097700386038989,0.0032508168517344596,0.00021874286339750143,0.00016847362445401637
0.4,0.09978435940998583,0.03883539071141968,0.043352207218630076,0.011281022244806689,0.05282608695652169,0.03362149513082896,0.22148177888469406,0.060080363354771155,0.9489130434782609,0.03130323542391702,0.03395652173913039,0.016161248455691835,0.583,0.16873651278013152,0.41871305846830087,0.00844163688335006,0.1421986227063802,0.018353315418059707,0.02287873016449968,0.0023917989127241177,0.0,0.0,0.000648150703619189,0.0011421607158347725,0.05968455734773287,0.00916241301272523,0.0006962935209652864,0.0012402304095427406
0.5,0.1550223280659051,0.07165707528680713,0.05263279764477965,0.010450327050900701,0.12728260869565214,0.11884830838480522,0.3272623323080849,0.14413572087080495,0.8859999999999999,0.09544919174177846,0.06804347826086952,0.05084765512233242,0.37428260869565216,0.19944701559224665,0.5304234368771168,0.022218231312307844,0.17691697961588373,0.04167965255791043,0.014285761331939895,0.002336725533463338,0.0,0.0,0.0065571277263956245,0.013089433405982693,0.09471033011019789,0.027165829796168526,0.007482500044524575,0.015180562665842773
0.6,0.29128405554557235,0.13154360857636627,0.059385212928315646,0.0206212879266513,0.6799347826086957,0.8257999414080444,0.6725718474283633,0.34280531422929716,0.657,0.22673752991486285,0.20195652173913042,0.1474822019787724,0.1918043478260869,0.15088821197226723,0.6884538618139333,0.07038624876668623,0.2595994458756844,0.07326628045032785,0.009913207936461025,0.004059323468067244,0.015548657864784021,0.011034416448947565,0.10411756479880588,0.15422498073279028,0.1833131019695879,0.07094807108717059,0.13284776544426904,0.20339432795485604
0.7,0.544955222924548,0.17017182046276413,0.044563126143307555,0.014892598309467585,3.5666956521739133,2.4353083830809616,1.369462153605002,0.4184254061714872,0.3293043478260869,0.1797798983744191,0.4665869565217391,0.15741085349596617,0.09406521739130427,0.031366032221428496,0.9769921420849913,0.14353819970125525,0.3698784223509515,0.05810270741666238,0.00523458471395964,0.0030014421295709954,0.14523014891985664,0.08453715680339685,0.5160125046653596,0.26974198134450544,0.36666741764778576,0.09190452721514586,0.7265388182063128,0.393056806001466
0.8,0.8167639949042987,0.045476130875434194,0.026727632761477826,0.005728862105051705,8.210456521739129,0.709139988949973,1.8327043781884313,0.15417082246007152,0.22023913043478255,0.025794884802648226,0.4958913043478261,0.06819276507545327,0.0865217391304347,0.0,1.3788398755619398,0.06990713797307495,0.3552998344573622,0.033135404242136124,0.0003815789473683806,0.00038883216353022954,0.5444805764411027,0.094942612289519,0.7075293307267867,0.11104399821657918,0.4881824929409387,0.030918179163582957,1.054673698451312,0.1772456437758592
0.9,0.9004482073401363,0.018863936832380187,0.017869682690303316,0.002766092004586832,8.239369565217391,0.825451429329956,1.7433589086789933,0.2327635640705725,0.23639130434782601,0.03516356029386168,0.3095434782608696,0.08931141696935797,0.0865217391304347,0.0,1.619618886721124,0.037154510376272556,0.27457799228314883,0.030763823289995884,5.012531328320802e-06,1.311148781405005e-05,0.806859022556391,0.042609797835056466,0.4290253775198719,0.18072159457372375,0.4438775489220304,0.04236105830944239,0.625332809498584,0.2774381930272295
1.0,0.9361960194183313,0.01187194886062472,0.011752009742844734,0.0015297841935372587,6.35295652173913,1.2960801099384143,1.2421202353540108,0.3309172160795137,0.33354347826086955,0.087865305492343,0.14115217391304344,0.07407255301485359,0.08721739130434775,0.003111051099130147,1.7943277271531357,0.024809040684843558,0.2106387246866356,0.029633878349071656,0.0,0.0,0.9261898496240601,0.022579096969529342,0.1370716223382466,0.10699363455295913,0.37737228755461205,0.048670494953262484,0.19305378023000438,0.15738991836042093
1.1,0.9546396372381352,0.007787204516583982,0.008446292897405661,0.0011332249370538132,4.560282608695653,1.3191139568592918,0.9108554744172096,0.29081630006628567,0.4467608695652173,0.1253018621610579,0.05315217391304344,0.03798891150419952,0.14184782608695645,0.09531549599482046,1.9362352422867126,0.019143556226666327,0.16172653813173613,0.02756378418607463,0.0,0.0,0.9717838345864662,0.012541125490227853,0.035735245729296095,0.03261953449092546,0.3127387510013021,0.050855721216973786,0.04830307427394638,0.04513872790311003
