init_kind,K,R_mean_mean,R_mean_std,cluster_mean_mean,cluster_mean_std,cluster_final_mean,single_cluster_fraction_mean,multi_cluster_fraction_mean
near_sync,0.4,0.11703371973716084,0.04343201806532776,0.002,0.0030478637902981373,0.0,1.0,0.0
near_sync,0.425,0.13205503007673225,0.04956632883161712,0.0045,0.004489754418322021,0.0,1.0,0.0
near_sync,0.45,0.1557322004986541,0.0581805393662743,0.0045,0.006912993106043904,0.05,1.0,0.0
near_sync,0.475,0.18765317826247693,0.06589401216769077,0.008650000000000001,0.012866828014623292,0.0,0.9999750000000001,2.5e-05
near_sync,0.5,0.21325997206305267,0.07744539214347078,0.034525,0.06587617471238628,0.15,0.9964999999999999,0.0035000000000000005
near_sync,0.525,0.2714809400518818,0.0760811778303203,0.10515,0.16988503078320502,0.1,0.980325,0.019675
near_sync,0.55,0.31868628838021434,0.08908767462771751,0.3048,0.3632596722369334,0.25,0.9277000000000001,0.0723
near_sync,0.575,0.369514547816702,0.07443512355494156,0.647825,0.4100217348218455,0.7,0.8233750000000001,0.176625
near_sync,0.6,0.412904382139794,0.07573225697409691,1.1694499999999999,0.6887665348096438,1.25,0.647475,0.35252500000000003
near_sync,0.625,0.4611813787038197,0.08785163849292675,1.6303999999999998,0.6265252042647187,1.5,0.47867499999999996,0.521325
near_sync,0.65,0.5403443047417544,0.10215996119073618,2.1231,0.7461099925966891,2.15,0.354425,0.645575
near_sync,0.675,0.6284512125902746,0.10060740546503477,1.80005,0.6478719395065664,1.75,0.52295,0.47705000000000003
near_sync,0.7,0.7108617437693385,0.045629766779386766,1.18865,0.2794248839840032,1.15,0.8562749999999999,0.143725
near_sync,0.725,0.753779174335821,0.03218108907990032,1.009225,0.03512776492208198,1.0,0.990775,0.009225
near_sync,0.75,0.7841402998145801,0.025506088751365185,1.003225,0.0144226384548736,1.0,0.9967750000000001,0.003225
near_sync,0.775,0.8075677572493755,0.02124726848458166,1.01075,0.038785679668769786,1.0,0.98925,0.010750000000000001
near_sync,0.8,0.8264408704457237,0.018246732829201702,1.022575,0.0693337229029204,1.05,0.977425,0.022574999999999998
near_sync,0.825,0.8420932974222228,0.015985438545996798,1.027875,0.08401110124012746,1.0,0.9721249999999999,0.027875
near_sync,0.85,0.8553434362465362,0.014205115823870665,1.036575,0.09080854281051103,1.0,0.963425,0.036575
near_sync,0.875,0.8667329628954865,0.012760160105020799,1.05075,0.09737211586161831,1.1,0.9501,0.0499
near_sync,0.9,0.8766414308472326,0.0115607960395188,1.0607,0.11005960107811442,1.1,0.9393,0.0607
near_sync,0.925,0.885346017036337,0.010547937209784246,1.056125,0.09060932260041053,1.05,0.943875,0.056125
near_sync,0.95,0.8930555955900272,0.009680719484593122,1.0672000000000001,0.10981005130870783,1.05,0.9328,0.0672
near_sync,0.975,0.8999315170291087,0.008929766677276752,1.072175,0.11879884314074336,1.1,0.927825,0.072175
near_sync,1.0,0.9061009506950499,0.008273299421924122,1.0596,0.10982373437276177,1.1,0.94255,0.05745
near_sync,1.025,0.9116658107250517,0.007694760887041189,1.05355,0.10122407400364168,1.05,0.9464499999999999,0.05355
near_sync,1.05,0.9167089305322869,0.007181301272995252,1.0472,0.09296765141986928,1.05,0.9528000000000001,0.0472
near_sync,1.075,0.921298454363477,0.006722773244324935,1.043025,0.08283281751754391,1.0,0.9569749999999999,0.043024999999999994
near_sync,1.1,0.9254910349701069,0.0063110444016954955,1.035825,0.07385089441071893,1.05,0.964175,0.035824999999999996
near_sync,1.125,0.9293342092274928,0.005939513712594393,1.0271000000000001,0.06741185277632444,1.05,0.9728999999999999,0.027100000000000003
near_sync,1.15,0.9328681940096397,0.005602763320013043,1.0218,0.0605404171216482,1.1,0.980175,0.019825000000000002
near_sync,1.175,0.9361272646156003,0.005296302688978193,1.01895,0.05562607775419536,1.0,0.98105,0.01895
near_sync,1.2,0.9391408270844822,0.00501637725275622,1.0160500000000001,0.04974484897956777,1.0,0.9839499999999999,0.01605
random,0.4,0.11519943857896535,0.03953512186157403,0.0018249999999999998,0.0021780906655528417,0.0,1.0,0.0
random,0.425,0.13036583999891693,0.04217630673720545,0.002675,0.004793841992872895,0.0,1.0,0.0
random,0.45,0.1614503100809324,0.05064861712177861,0.005525,0.007663095087220925,0.0,1.0,0.0
random,0.475,0.1829984567025018,0.06975874487674152,0.011300000000000001,0.016325956085487404,0.05,0.999875,0.000125
random,0.5,0.21672382079779756,0.07997802763527519,0.031275000000000004,0.05125002567393452,0.0,0.99755,0.00245
random,0.525,0.2755078104634744,0.06629342620173279,0.09342500000000001,0.13663303474713032,0.0,0.98655,0.013449999999999998
random,0.55,0.32068768972292866,0.08705031553609756,0.28935,0.28955283582939073,0.3,0.9340250000000001,0.06597499999999999
random,0.575,0.3658363874154977,0.06903796664156908,0.5824,0.4756645379167749,0.35,0.845775,0.154225
random,0.6,0.42289550718578167,0.06726086517138369,1.18935,0.7037177420857852,0.65,0.64245,0.35755
random,0.625,0.4603749586956124,0.09265108807798232,1.603525,0.6134452207131371,1.55,0.49132499999999996,0.508675
random,0.65,0.5428396609479311,0.10265302037206817,2.13505,0.6886819581444573,2.2,0.340275,0.659725
random,0.675,0.6326799544053803,0.09521009308907144,1.8315249999999998,0.751359442943256,2.05,0.535775,0.464225
random,0.7,0.7111302356370365,0.045297660480761,1.185625,0.26354255998045667,1.15,0.8450000000000001,0.155
random,0.725,0.7538059621434264,0.032163696991822026,1.0126,0.05392846138513894,1.0,0.9874,0.0126
random,0.75,0.7841437401700178,0.025504286629135696,1.0031750000000001,0.014199031657123641,1.0,0.996825,0.003175
random,0.775,0.8075680266618551,0.021247162061959493,1.010775,0.03830709533012886,1.0,0.989225,0.010775000000000002
random,0.8,0.8264408639749842,0.018246715265146925,1.0224,0.07024329898738796,1.0,0.9776,0.022399999999999996
random,0.825,0.8420932953862936,0.015985436339228044,1.026625,0.078667667905463,1.05,0.9733750000000001,0.026625
random,0.85,0.8553434359440303,0.014205115555441636,1.0375,0.0945785666161097,1.1,0.9625,0.0375
random,0.875,0.8667329628559586,0.012760160073229719,1.049425,0.09656525949897958,1.05,0.9514250000000001,0.048575
random,0.9,0.8766414308427667,0.011560796035924865,1.065575,0.11805610564027334,1.0,0.9344250000000001,0.065575
random,0.925,0.8853460170359962,0.010547937209428511,1.0534000000000001,0.08757967800808587,1.05,0.9465999999999999,0.0534
random,0.95,0.8930555955900514,0.009680719484576925,1.0637750000000001,0.10015704444836408,1.0,0.936225,0.063775
random,0.975,0.8999315170291267,0.008929766677280094,1.070225,0.1178236276679771,1.1,0.929775,0.07022500000000001
random,1.0,0.9061009506950543,0.008273299421924236,1.0645,0.12202027441544722,1.1,0.93765,0.06235
