K,R_spread_across_initial_conditions,cluster_spread_across_initial_conditions,single_fraction_spread,basin_memory_score
0.4,0.005751334500949945,0.0007999999999999999,0.0,0.18158389514631323
0.425,0.0045397430804013095,0.0026999999999999997,5.0000000000105516e-05,0.15000799490289596
0.45,0.010703634778636478,0.0010250000000000007,0.0,0.33650498955674174
0.475,0.004654721559975122,0.0026499999999999996,0.00010000000000010001,0.1537103435137933
0.5,0.006036014856687727,0.009325,0.0017000000000000348,0.22622578448225336
0.525,0.004579721575645568,0.020649999999999988,0.006699999999999928,0.24355631184453017
0.55,0.0031741304813149296,0.05147499999999999,0.015475000000000017,0.3436725187280312
0.575,0.007288774033376966,0.09655000000000002,0.03457500000000002,0.7168697438278961
0.6,0.01034056648317172,0.06854999999999989,0.022375000000000034,0.6578279349869053
0.625,0.008905007021468514,0.045499999999999874,0.0271249999999999,0.5680556577012544
0.65,0.010354343924940279,0.10772499999999985,0.06030000000000002,0.9891223601166041
0.675,0.004618964522885904,0.03964999999999996,0.013474999999999904,0.341021725488671
0.7,0.0003038431338545644,0.018525000000000125,0.01442499999999991,0.1465243762311302
0.725,2.9521356473383165e-05,0.008525000000000116,0.008525000000000005,0.0744237366968062
0.75,4.0330467542259996e-06,4.999999999988347e-05,4.999999999988347e-05,0.0005567081570011695
0.775,3.0326673117198055e-07,0.0003750000000000142,0.0003750000000000142,0.003242774877315249
0.8,2.8005577523693148e-08,0.00039999999999995595,0.00039999999999995595,0.0034497580437173416
0.825,3.3190464820975762e-09,0.0013750000000001261,0.001375000000000015,0.011855648616030334
0.85,3.2574265507179234e-10,0.0012250000000000316,0.0012249999999999206,0.010562223188821772
0.875,3.9527936479544223e-11,0.0014000000000000679,0.0014000000000001789,0.012071101853293619
0.9,4.465872116554692e-12,0.00517499999999993,0.005175000000000041,0.04461996136797496
0.925,3.4072744625746054e-13,0.0029999999999998916,0.0029999999999998916,0.025866644201275796
0.95,4.773959005888173e-14,0.003574999999999884,0.003574999999999995,0.030824417662029698
0.975,2.0650148258027912e-14,0.00275000000000003,0.002749999999999919,0.023711090508753026
1.0,4.6629367034256575e-15,0.005475000000000119,0.005525000000000113,0.04748302144689509
1.025,1.1102230246251565e-15,0.006175000000000042,0.006175000000000042,0.05324217595915531
1.05,3.3306690738754696e-16,0.002950000000000008,0.002949999999999897,0.025435533454164504
1.075,0.0,0.0023250000000001325,0.0023250000000001325,0.020046649247767116
1.1,0.0,0.0017249999999997545,0.0017249999999998655,0.014873320409631316
1.125,0.0,0.00047499999999978115,0.0004750000000000032,0.004095551996854754
1.15,0.0,0.0008250000000000757,0.0005499999999999394,0.005593150259121765
1.175,0.0,0.00024999999999986144,0.00024999999999997247,0.0021555536825549003
1.2,0.0,0.001100000000000101,0.0010999999999998789,0.00948443620324376
