replication,N,dt,omega_std,K,seed,actual_seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
baseline_shifted_seeds,400,0.03,0.4,0.475,0,1000,0.18896554328913684,0.06327686169056503,0.1705,0.4212241089966243,0,0.8465,0.084,0.1395,0.005431263726060374
baseline_shifted_seeds,400,0.03,0.4,0.475,1,1001,0.14754953921131045,0.055187952033580824,0.0995,0.32031195731661344,0,0.907,0.057,0.3355,0.0016979737155243793
baseline_shifted_seeds,400,0.03,0.4,0.475,2,1002,0.15918253510133856,0.07690844270933196,0.133,0.36920319608584107,0,0.8775,0.063,0.632,0.0028493257110198712
baseline_shifted_seeds,400,0.03,0.4,0.475,3,1003,0.08091274330376359,0.035491883171020464,0.0485,0.21942595562056916,0,0.9525,0.0375,0.556,0.0003908524938718716
baseline_shifted_seeds,400,0.03,0.4,0.475,4,1004,0.16290765522455566,0.09714146884975808,0.1625,0.4371427112511428,0,0.86,0.0815,0.3075,0.00498779839657552
baseline_shifted_seeds,400,0.03,0.4,0.475,5,1005,0.12111217947004357,0.06578951721705475,0.0925,0.2948622559772614,0,0.909,0.0515,0.368,0.0013818719894699003
baseline_shifted_seeds,400,0.03,0.4,0.475,6,1006,0.16231679705701407,0.05189650310909394,0.148,0.37026477013078085,0,0.8575,0.084,0.1975,0.004432069351228175
baseline_shifted_seeds,400,0.03,0.4,0.475,7,1007,0.11989989693978569,0.07529764434793747,0.102,0.33999411759617254,0,0.9095,0.057,0.604,0.0017538596863893243
baseline_shifted_seeds,400,0.03,0.4,0.475,8,1008,0.15270640941829708,0.05548805695808149,0.092,0.31390444405901613,0,0.915,0.0575,0.472,0.0015342079970203186
baseline_shifted_seeds,400,0.03,0.4,0.475,9,1009,0.08189675790959051,0.05157334282842845,0.041,0.22653697269982223,0,0.9645,0.0225,0.77,0.00018094641498604542
baseline_shifted_seeds,400,0.03,0.4,0.5,0,1000,0.20961054693864226,0.055507552345393465,0.21,0.46141087980237316,0,0.8125,0.1095,0.1875,0.009473342212457015
baseline_shifted_seeds,400,0.03,0.4,0.5,1,1001,0.13905670596018524,0.08002631391055526,0.128,0.4044947465666272,0,0.8955,0.0595,0.613,0.002515047252734348
baseline_shifted_seeds,400,0.03,0.4,0.5,2,1002,0.2534292156387033,0.08089584188999306,0.4345,0.703356062034017,0,0.669,0.1775,0.1475,0.041323927267464436
baseline_shifted_seeds,400,0.03,0.4,0.5,3,1003,0.11918151807330542,0.05374419045249912,0.0445,0.21099703789390029,0,0.9565,0.032,0.5915,0.0002937078859266802
baseline_shifted_seeds,400,0.03,0.4,0.5,4,1004,0.18064724137343774,0.09385625756727474,0.187,0.43362541438435087,0,0.8305,0.0895,0.158,0.0065782060160637056
baseline_shifted_seeds,400,0.03,0.4,0.5,5,1005,0.1344195071462508,0.05731053683517133,0.1,0.31464265445104544,0,0.9045,0.0665,0.3375,0.001998216867803351
baseline_shifted_seeds,400,0.03,0.4,0.5,6,1006,0.2148417111388073,0.052219218796396856,0.2475,0.5120974028444198,0,0.787,0.122,0.246,0.013307363219391839
baseline_shifted_seeds,400,0.03,0.4,0.5,7,1007,0.13779812323992638,0.07178946282578104,0.1325,0.3754247594392251,0,0.8805,0.0725,0.3425,0.0032525863044548463
baseline_shifted_seeds,400,0.03,0.4,0.5,8,1008,0.2134587009284744,0.05434297390002892,0.1405,0.37116000592736276,0,0.8675,0.0865,0.293,0.0042539576671136855
baseline_shifted_seeds,400,0.03,0.4,0.5,9,1009,0.1781229141893167,0.06390891339927048,0.182,0.4887494245520909,0,0.856,0.091,0.401,0.006404572529710517
baseline_shifted_seeds,400,0.03,0.4,0.525,0,1000,0.24817464545597004,0.0539839681540536,0.3645,0.6313792441948025,0,0.709,0.153,0.0995,0.028110898273016556
baseline_shifted_seeds,400,0.03,0.4,0.525,1,1001,0.21424198609198147,0.07029011729136594,0.2305,0.4768330420597969,0,0.792,0.1345,0.0995,0.013339881283846148
baseline_shifted_seeds,400,0.03,0.4,0.525,2,1002,0.31190099501431146,0.07318507920125608,0.7245,1.014691948327176,0,0.552,0.228,0.0995,0.10364469482451304
baseline_shifted_seeds,400,0.03,0.4,0.525,3,1003,0.13651275377675087,0.04825248848507667,0.0845,0.2887208859781363,0,0.9185,0.0505,0.2455,0.001188303009995267
baseline_shifted_seeds,400,0.03,0.4,0.525,4,1004,0.19678119468778335,0.07855252654236662,0.21,0.47000000000000003,0,0.817,0.0955,0.0995,0.008213955086010003
baseline_shifted_seeds,400,0.03,0.4,0.525,5,1005,0.17526337800382322,0.07180980720887946,0.156,0.38296736153359073,0,0.8515,0.088,0.228,0.005004617537391616
