replication,K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,reorganization_score_mean,reorganization_score_std
baseline_shifted_seeds,0.4,0.1044021523115372,0.023894163907716093,0.047192404734183076,0.01168370080967352,0.0595,0.017949001829256878,0.24072034211866716,0.038348068041613885,0.9423,0.017461385970191486,0.039,0.00973538791100682,0.58455,0.16329990304140823,0.0006135436781525528,0.0003536035519116569
baseline_shifted_seeds,0.425,0.11694357103858119,0.028406459632420358,0.053362192195357636,0.011602449634028573,0.0708,0.03472847054891226,0.25835898094211796,0.05727649281773783,0.93165,0.03371700032789261,0.041999999999999996,0.015405626677721789,0.5055,0.2002072537258439,0.0010037736659151706,0.001153546782128674
baseline_shifted_seeds,0.45,0.12582810618931622,0.03249437725548739,0.061305010302535864,0.016862658616934305,0.0881,0.042864644846047406,0.2932557349796421,0.0787811589259903,0.9178000000000001,0.03698963818873243,0.05155,0.018132919725675118,0.47585,0.15782322213300692,0.0016677064942932317,0.0017120465301722083
baseline_shifted_seeds,0.475,0.1377450056924836,0.03587640376398984,0.06280516729148525,0.017145797028483043,0.10895000000000002,0.0443799566871753,0.3312870489733844,0.07269545440860654,0.8999,0.03963219790916361,0.059550000000000006,0.020083782844208746,0.4382,0.20272438870983872,0.002464016948214578,0.0018806874991817589
baseline_shifted_seeds,0.5,0.17805661846270496,0.04447478631305184,0.06636012619223643,0.01450205951290344,0.18065,0.1062261868739426,0.42759583878954127,0.13090188713463838,0.84595,0.07888650426755868,0.09065,0.03975274274255244,0.33175,0.16509782453644464,0.008940092722312042,0.01201210467882111
baseline_shifted_seeds,0.525,0.21784768123264486,0.05317315873928778,0.07036755913112105,0.016906992723860915,0.31015000000000004,0.19267013405184405,0.5676574957957436,0.22013213826372888,0.7607,0.11141867986214082,0.13095,0.05565042178137058,0.15195,0.06482774183257589,0.026767278706960995,0.031049232228923963
baseline_shifted_seeds,0.55,0.26012125799436864,0.05808466478542471,0.08834083084730485,0.019464326059616736,0.6494500000000001,0.4394347663634375,0.8945493244915668,0.27457761714167794,0.6187,0.16517939742393217,0.20475,0.07851371076301118,0.14375,0.07398958260007507,0.09661951263248303,0.11239115067876444
baseline_shifted_seeds,0.575,0.304168729999955,0.06763932159430643,0.1003867885888516,0.024989619372349912,1.17355,0.6615735639787578,1.313318099114314,0.37180392912089966,0.476,0.16614083717670916,0.2768,0.0904056291266079,0.15155000000000002,0.07865623165253836,0.2331007389129527,0.1986834908346946
baseline_shifted_seeds,0.6,0.36148719530623424,0.05617859511138755,0.10117665009022705,0.023728136185551252,2.1105,0.7794989843910426,1.778434553642152,0.25885106917479395,0.3146,0.11805478953999848,0.36469999999999997,0.07407211201105163,0.11234999999999999,0.025715375858726144,0.4731640818427543,0.195849765770605
baseline_shifted_seeds,0.625,0.39787024896637757,0.052811149794036394,0.09866464685000463,0.03471339534167959,3.0788,1.006255550709328,1.9315185501557512,0.23173605772330363,0.25535,0.04014629497226363,0.4107,0.05967513906328348,0.1038,0.013079245645933352,0.5876713781718819,0.09734805571618033
