replication,peak_K_reorganization,peak_reorganization_score,R_mean_at_peak,cluster_mean_at_peak,dominant_fraction_at_peak,switching_rate_at_peak,memory_score_at_peak
baseline_shifted_seeds,0.625,0.5876713781718819,0.39787024896637757,3.0788,0.25535,0.4107,0.1038
higher_noise,0.675,0.6129307242839005,0.40436454879968176,3.6890500000000004,0.28104999999999997,0.4444,0.1058
lower_noise,0.575,0.47335724358120546,0.4866258290213385,3.6064,0.25665,0.3648,0.10170000000000001
smaller_N,0.6,0.6013098066793469,0.3979116405462932,3.5947000000000005,0.2333,0.44055,0.0995
smaller_dt,0.625,0.46784045218879655,0.4413505501727191,3.8999,0.27494999999999997,0.383,0.12225000000000001
