replication,N,dt,omega_std,K,seed,actual_seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
baseline_shifted_seeds,400,0.03,0.4,0.45,0,1000,0.12584355119751045,0.07210296924625618,0.0808695652173913,0.2926329210205652,0,0.9247826086956522,0.05391304347826087,0.3517391304347826,0.0011866846007886202
baseline_shifted_seeds,400,0.03,0.4,0.45,1,1001,0.08469706686969158,0.04436329533616652,0.04565217391304348,0.21080232007131233,0,0.9547826086956521,0.028695652173913042,0.558695652173913,0.0002735249858966738
baseline_shifted_seeds,400,0.03,0.4,0.45,2,1002,0.11282960497720568,0.05182909641266114,0.05608695652173913,0.23569027447487434,0,0.9452173913043478,0.03608695652173913,0.42391304347826086,0.0004659449827526047
baseline_shifted_seeds,400,0.03,0.4,0.45,3,1003,0.07508524511801554,0.041680091606813505,0.04173913043478261,0.20215474429931674,0,0.9586956521739131,0.024782608695652172,0.5673913043478261,0.00020693156607780932
baseline_shifted_seeds,400,0.03,0.4,0.45,4,1004,0.1007114665993846,0.038980127246971086,0.04782608695652174,0.22335303546158822,0,0.9543478260869566,0.035652173913043476,0.5604347826086956,0.00036352924182684893
baseline_shifted_seeds,400,0.03,0.4,0.45,5,1005,0.08310281246103238,0.03666484937131512,0.0408695652173913,0.20658534489623875,0,0.9608695652173913,0.030434782608695653,0.6221739130434782,0.0002460279235556655
baseline_shifted_seeds,400,0.03,0.4,0.45,6,1006,0.09310583885017415,0.04747262753388435,0.04565217391304348,0.2148877581022954,0,0.9556521739130435,0.02782608695652174,0.5473913043478261,0.0002651771900386489
baseline_shifted_seeds,400,0.03,0.4,0.45,7,1007,0.07396945581873839,0.03410929708041291,0.04173913043478261,0.2042941650172942,0,0.9591304347826087,0.02826086956521739,0.672608695652174,0.00023596169989112756
baseline_shifted_seeds,400,0.03,0.4,0.45,8,1008,0.12606030356165354,0.057728900940565125,0.07217391304347825,0.26211442111080674,0,0.928695652173913,0.049565217391304345,0.29347826086956524,0.0009263688688009835
baseline_shifted_seeds,400,0.03,0.4,0.45,9,1009,0.08371936903663381,0.046276297117770815,0.0391304347826087,0.19390524453024138,0,0.9608695652173913,0.03130434782608696,0.621304347826087,0.000237524768373223
baseline_shifted_seeds,400,0.03,0.4,0.475,0,1000,0.1311422362553928,0.0752899610771552,0.08782608695652173,0.2980072441742654,0,0.9165217391304348,0.05478260869565217,0.29695652173913045,0.0013628339097663188
baseline_shifted_seeds,400,0.03,0.4,0.475,1,1001,0.09055201896826494,0.050085480998536845,0.06260869565217392,0.25958524429331575,0,0.941304347826087,0.04521739130434783,0.5456521739130434,0.0006889559377087658
baseline_shifted_seeds,400,0.03,0.4,0.475,2,1002,0.12248413133205274,0.05440347924166064,0.06217391304347826,0.25716610300905135,0,0.9417391304347826,0.035217391304347825,0.5021739130434782,0.0005276523556368308
baseline_shifted_seeds,400,0.03,0.4,0.475,3,1003,0.07994040944166077,0.040095105007687364,0.03217391304347826,0.17646175892512508,0,0.9678260869565217,0.018260869565217393,0.6460869565217391,0.00010367545874727419
baseline_shifted_seeds,400,0.03,0.4,0.475,4,1004,0.10359089527934523,0.04168124339304647,0.04391304347826087,0.20490165468033011,0,0.9560869565217391,0.029565217391304348,0.6095652173913043,0.00026602355613292275
baseline_shifted_seeds,400,0.03,0.4,0.475,5,1005,0.08743465853221445,0.03917906584712378,0.049565217391304345,0.23251887741727018,0,0.9539130434782609,0.03391304347826087,0.6534782608695652,0.0003634151484261042
baseline_shifted_seeds,400,0.03,0.4,0.475,6,1006,0.09806186646304273,0.05350333917124204,0.03826086956521739,0.1940786970347908,0,0.9621739130434782,0.021739130434782608,0.7291304347826087,0.00015959213061181253
baseline_shifted_seeds,400,0.03,0.4,0.475,7,1007,0.0780044979223672,0.03477286498465255,0.03391304347826087,0.1810053837881693,0,0.9660869565217391,0.020869565217391306,0.7395652173913043,0.0001281066520558169
baseline_shifted_seeds,400,0.03,0.4,0.475,8,1008,0.13282708957805667,0.05282058529860305,0.08826086956521739,0.3000601703993941,0,0.9165217391304348,0.05217391304347826,0.3508695652173913,0.0013068783475441608
baseline_shifted_seeds,400,0.03,0.4,0.475,9,1009,0.09298209999749597,0.050015959139402474,0.0408695652173913,0.1979879891719008,0,0.9591304347826087,0.02434782608695652,0.6352173913043478,0.00019701489939619814
baseline_shifted_seeds,400,0.03,0.4,0.5,0,1000,0.13420202640748774,0.06615629996218045,0.09478260869565218,0.3031267429743509,0,0.9082608695652173,0.06260869565217392,0.32869565217391306,0.0017410591882117375
baseline_shifted_seeds,400,0.03,0.4,0.5,1,1001,0.10208859098647279,0.0648361102531715,0.06565217391304348,0.25630019910349566,0,0.9365217391304348,0.043043478260869565,0.4782608695652174,0.0007002954941224069
baseline_shifted_seeds,400,0.03,0.4,0.5,2,1002,0.1299321475964401,0.06018916770738224,0.06956521739130435,0.2561161126090981,0,0.9308695652173913,0.04608695652173913,0.40869565217391307,0.0008159888573866546
baseline_shifted_seeds,400,0.03,0.4,0.5,3,1003,0.08690453999673808,0.038658162614326655,0.042608695652173914,0.20197325245436418,0,0.957391304347826,0.02608695652173913,0.6369565217391304,0.00022449957844166985
baseline_shifted_seeds,400,0.03,0.4,0.5,4,1004,0.10558110121068255,0.04395374304661568,0.07,0.2618745135929902,0,0.9317391304347826,0.04739130434782609,0.40869565217391307,0.0008471566437957896
baseline_shifted_seeds,400,0.03,0.4,0.5,5,1005,0.09178788040901996,0.0405777139444357,0.0408695652173913,0.20233233624686717,0,0.96,0.030434782608695653,0.5734782608695652,0.0002463176348286102
baseline_shifted_seeds,400,0.03,0.4,0.5,6,1006,0.09898211164985876,0.05584865212179193,0.06304347826086956,0.2483499421417584,0,0.9382608695652174,0.03826086956521739,0.5356521739130434,0.0005866504646719291
baseline_shifted_seeds,400,0.03,0.4,0.5,7,1007,0.08495439836572463,0.04639448134360443,0.041304347826086954,0.20116625933326865,0,0.9591304347826087,0.03173913043478261,0.5313043478260869,0.0002609457306308192
baseline_shifted_seeds,400,0.03,0.4,0.5,8,1008,0.15058204478880072,0.047866798935831074,0.06173913043478261,0.24604086217560167,0,0.9395652173913044,0.04434782608695652,0.678695652173913,0.0006594267339480041
baseline_shifted_seeds,400,0.03,0.4,0.5,9,1009,0.10290926510471483,0.05365844723654189,0.05347826086956522,0.23629584801320522,0,0.9491304347826087,0.029130434782608697,0.6230434782608696,0.0003501556174220657
baseline_shifted_seeds,400,0.03,0.4,0.525,0,1000,0.14483224696536753,0.06570247686620166,0.0817391304347826,0.2786871734449257,0,0.9195652173913044,0.05391304347826087,0.4230434782608696,0.0012085224720998085
baseline_shifted_seeds,400,0.03,0.4,0.525,1,1001,0.13536227878822105,0.07228763873102363,0.09478260869565218,0.3088107562501724,0,0.91,0.058695652173913045,0.5143478260869565,0.0016313264140710522
baseline_shifted_seeds,400,0.03,0.4,0.525,2,1002,0.13163370826019974,0.062195456357657226,0.06782608695652174,0.2665554273339972,0,0.9360869565217391,0.03826086956521739,0.4482608695652174,0.0006518262945396934
baseline_shifted_seeds,400,0.03,0.4,0.525,3,1003,0.0943158369430069,0.03510300275274539,0.050434782608695654,0.2247216299426541,0,0.9508695652173913,0.03391304347826087,0.5382608695652173,0.0003744227797201711
baseline_shifted_seeds,400,0.03,0.4,0.525,4,1004,0.12943081888576774,0.044069150588218114,0.07782608695652174,0.2695157738666681,0,0.922608695652174,0.04826086956521739,0.358695652173913,0.0010066337940259702
baseline_shifted_seeds,400,0.03,0.4,0.525,5,1005,0.09715173262673668,0.0425159871893172,0.043043478260869565,0.21135041544705047,0,0.9586956521739131,0.029565217391304348,0.49391304347826087,0.00025809522305633487
baseline_shifted_seeds,400,0.03,0.4,0.525,6,1006,0.10566594832812622,0.05398314968340912,0.05956521739130435,0.25609064734920595,0,0.9447826086956522,0.033478260869565214,0.5895652173913043,0.00047340463425934976
baseline_shifted_seeds,400,0.03,0.4,0.525,7,1007,0.1058485008647671,0.0553646375290008,0.07869565217391304,0.2756463447470341,0,0.9230434782608695,0.04391304347826087,0.5556521739130434,0.0009315179238673644
baseline_shifted_seeds,400,0.03,0.4,0.525,8,1008,0.16455592063279015,0.04985146449871921,0.10608695652173913,0.3190439404170281,0,0.8969565217391304,0.059130434782608696,0.43521739130434783,0.001943936571159263
baseline_shifted_seeds,400,0.03,0.4,0.525,9,1009,0.10876738108444463,0.05212244242481736,0.058260869565217394,0.23791946342723777,0,0.9426086956521739,0.04173913043478261,0.3843478260869565,0.0005699273181062965
baseline_shifted_seeds,400,0.03,0.4,0.55,0,1000,0.13318748900811395,0.07302139480688302,0.11043478260869566,0.33228429761627926,0,0.8956521739130435,0.06565217391304348,0.38956521739130434,0.002276367321178618
