replication,peak_K_reorganization,peak_reorganization_score,R_mean_at_peak,cluster_mean_at_peak,dominant_fraction_at_peak,switching_rate_at_peak,memory_score_at_peak
baseline_shifted_seeds,0.775,0.6183544193896773,0.6662498016565088,6.071,0.26521739130434785,0.5595652173913044,0.08652173913043479
higher_noise,0.875,0.6336414149633656,0.6797203012605064,6.234565217391305,0.2599130434782609,0.580304347826087,0.08652173913043479
lower_noise,0.7,0.5816146969665343,0.6839229511703027,6.200086956521739,0.25804347826086954,0.5073043478260869,0.08652173913043479
smaller_N,0.75,0.610555053434845,0.6280633254944886,6.369434782608695,0.2553478260869565,0.5401739130434783,0.08652173913043479
smaller_dt,0.75,0.6504267533301749,0.6292558763886693,5.179956521739131,0.2422608695652174,0.5291304347826087,0.08652173913043479
