replication,K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,reorganization_score_mean,reorganization_score_std
baseline_shifted_seeds,0.45,0.09591247144900401,0.01965160995697521,0.047120755189281674,0.011263251026006248,0.05117391304347826,0.014331054463408696,0.2246420228984533,0.030962086935981147,0.9503043478260869,0.013252828796883774,0.034652173913043476,0.009694016456116615,0.5219130434782608,0.1242488373264701,0.0004407675828002206,0.00033886386165372223
baseline_shifted_seeds,0.475,0.10170199037698935,0.020339530165634216,0.049184708415911035,0.011493134755276834,0.05395652173913044,0.02076407517553816,0.23017731228936128,0.046385556148709324,0.9481304347826087,0.01888851204882506,0.03360869565217391,0.01321314767879329,0.5708695652173913,0.14922315113372492,0.0005104148396026206,0.00047227287602310007
baseline_shifted_seeds,0.5,0.10879241065159402,0.022013888058459795,0.05181395771658816,0.00983850802168056,0.06030434782608696,0.016683734172160798,0.24135760686450003,0.03242659190500425,0.9410869565217391,0.016035627735071792,0.03991304347826087,0.011082550986027903,0.5203478260869565,0.11344573543165315,0.0006432495943459687,0.00045317265755859823
baseline_shifted_seeds,0.525,0.12175643733794277,0.02296113673283814,0.053319540662110976,0.011274946981771799,0.07182608695652173,0.019772705489579614,0.2648341572225974,0.034118595133314125,0.9305217391304348,0.019363750706406814,0.04408695652173913,0.01064640482640916,0.47413043478260863,0.07621018316789108,0.0009049613424905303,0.0005550516419716204
baseline_shifted_seeds,0.55,0.13721157893373598,0.02922284435705809,0.06055982309372443,0.014589536532413684,0.0968695652173913,0.03694248099290792,0.3089276064954451,0.06841554918361568,0.9092608695652175,0.03328228605440666,0.05895652173913043,0.019044823811462837,0.43026086956521736,0.16146751386587477,0.0020241627589788432,0.001327713870813151
baseline_shifted_seeds,0.575,0.15099985993709938,0.03637491280755336,0.06084414020263111,0.016985409516584563,0.11647826086956521,0.043123894041993655,0.33981487255037124,0.0724165921247143,0.8925652173913043,0.036970131054841274,0.06469565217391304,0.02382971868368536,0.37321739130434783,0.15277028757106295,0.002920652488813721,0.0024077643803839823
baseline_shifted_seeds,0.6,0.1832591272713185,0.05710512518274825,0.06121493030772422,0.016182917709026284,0.16930434782608694,0.0917614964607935,0.3990532353546482,0.12115210973827872,0.8485217391304347,0.07678347858420362,0.08695652173913043,0.03903208251757104,0.2569565217391304,0.15867771720505722,0.0076440181606573345,0.007267587760089385
baseline_shifted_seeds,0.625,0.21737589433030174,0.06056346209292654,0.062367869948567925,0.018282078158907755,0.25017391304347825,0.16269162678955304,0.47809727783734646,0.12803396991566054,0.7865217391304348,0.11868883914548226,0.11808695652173913,0.05979212045543315,0.19034782608695652,0.1551083258004521,0.019058158900406873,0.0287147032198549
baseline_shifted_seeds,0.65,0.2675369795418209,0.10330356561194198,0.06558642214270534,0.02281320460542734,0.5651304347826087,0.596195274111533,0.6734704756196674,0.30855023883359234,0.6630869565217392,0.2107879666814749,0.19778260869565217,0.13261486482838547,0.1485217391304348,0.0789130634407289,0.09273330099488875,0.150259098381876
baseline_shifted_seeds,0.675,0.33522230982342893,0.12144327736718054,0.0664974113490616,0.026986045479435335,1.0318260869565217,0.9393191079039274,0.8997724007676526,0.3471131963341395,0.5451739130434783,0.21662235502480426,0.27452173913043476,0.15491068359147878,0.13334782608695653,0.09688859430265323,0.18010785517726008,0.19644398396688806
baseline_shifted_seeds,0.7,0.4148459318100259,0.13427731840070162,0.051931427994207024,0.02685274233948936,1.8903478260869566,1.4414995284665233,1.0960403784065618,0.31427326084372603,0.4287826086956522,0.17615496986729526,0.3800869565217391,0.16580404363696447,0.098,0.01853735931574873,0.30576653637695433,0.22468319405407114
baseline_shifted_seeds,0.725,0.5149904302782184,0.11057221756179599,0.041759900916764146,0.02510180785917581,3.241913043478261,1.5471492603683827,1.3708958216273153,0.3137613811356148,0.3039565217391304,0.12687285476823887,0.4913043478260869,0.1253815014225416,0.08965217391304349,0.00989930397965753,0.5156651215473713,0.207794544965416
baseline_shifted_seeds,0.75,0.6086068630944973,0.053807567161644525,0.02008532425087029,0.004243885110980646,4.749260869565218,1.0997432067409862,1.4073377314231732,0.052884048796493194,0.2743478260869565,0.015568752466082074,0.557608695652174,0.028564515171627336,0.08652173913043479,0.0,0.5706120681805015,0.05161302487823389
baseline_shifted_seeds,0.775,0.6662498016565088,0.03667799242702373,0.019168847688364528,0.00569866494157022,6.071,0.7837317505606106,1.500126995010623,0.10577983169124798,0.26521739130434785,0.02615530498763128,0.5595652173913044,0.021134589361159105,0.08652173913043479,0.0,0.6183544193896773,0.06851064661313085
baseline_shifted_seeds,0.8,0.7094405867738717,0.02692068153007337,0.015784523557389997,0.005451878734731375,6.863478260869566,0.4555331831945816,1.5141925980506241,0.029433155914593938,0.2608695652173913,0.007589001427006398,0.544,0.03030877988646617,0.08652173913043479,0.0,0.6085680808502625,0.031302826806436576
baseline_shifted_seeds,0.825,0.7419630906351681,0.026483033470327922,0.013830458936247856,0.0034810705969164266,7.099913043478262,0.474794721227172,1.5542770925285088,0.08019324866334275,0.2453913043478261,0.013831585210032525,0.4936521739130435,0.05137152729309417,0.08652173913043479,0.0,0.5797089412977969,0.07225848807877555
baseline_shifted_seeds,0.85,0.7701273689067549,0.024463113411135985,0.012288457786039767,0.0035283465412323713,7.333521739130435,0.43301517329841743,1.5896324449214745,0.10116240016814236,0.24534782608695652,0.017903156128735515,0.4554782608695652,0.056446698607260454,0.08652173913043479,0.0,0.5479273256733239,0.08489634304854472
baseline_shifted_seeds,0.875,0.7915355191276916,0.022633807183934054,0.009993511512701113,0.0026093744471874713,7.230652173913043,0.47364475187284166,1.623379443697074,0.1424877031993819,0.24830434782608696,0.0350709366058698,0.3988695652173913,0.05664616553424642,0.08652173913043479,0.0,0.48826745242489206,0.09487624993004112
baseline_shifted_seeds,0.9,0.8110343454308883,0.01949296786945231,0.009017937335575234,0.0018898722041270199,7.122173913043478,0.40860092436988577,1.6649571290540528,0.1651872220102582,0.24795652173913046,0.022374342808919877,0.3516086956521739,0.06352557630419822,0.08652173913043479,0.0,0.43847732283004925,0.08357399826657608
baseline_shifted_seeds,0.925,0.8275167037872538,0.01707443705800584,0.007873197218220263,0.0010420055799043322,6.858130434782609,0.665826346578086,1.564923684469695,0.10914172126986947,0.2597391304347826,0.02577690138947264,0.29882608695652174,0.06704337487538788,0.08652173913043479,0.0,0.3467834517010626,0.0851917609994196
baseline_shifted_seeds,0.95,0.8433034430557523,0.015152713942689272,0.006931448344878717,0.0012593796475903595,6.346565217391304,0.8049910067193118,1.5826940466506612,0.21841995489188842,0.24869565217391304,0.033563164814214806,0.23869565217391306,0.07672623093673776,0.08652173913043479,0.0,0.29140982022428835,0.12134773109877399
baseline_shifted_seeds,0.975,0.8568670732516595,0.013577637631789825,0.0054775655000367865,0.0013765160927952998,5.737086956521739,1.2481251480573534,1.3868069645112238,0.2296809218548471,0.2912173913043478,0.049133983027785905,0.18434782608695652,0.0718653552107211,0.08778260869565217,0.003987219658473171,0.1921198280154847,0.08455736686912445
baseline_shifted_seeds,1.0,0.8690844792785087,0.012025723738661346,0.005113674406897121,0.001479228593255031,5.289217391304348,1.3482328636598293,1.343493463184865,0.2815295311878409,0.297,0.08407107593996786,0.14617391304347827,0.06749510472575598,0.09756521739130435,0.034922544594902974,0.1532109072058991,0.08407549685398157
baseline_shifted_seeds,1.025,0.8798256992337106,0.011363259692303613,0.004433647666918558,0.0017120419923369978,4.806347826086957,1.4894271110372026,1.1934443665406476,0.3501289040429616,0.357,0.1305309548832564,0.10682608695652174,0.05733530059197261,0.11147826086956522,0.07891945117115869,0.0995453125914378,0.06160660349223033
baseline_shifted_seeds,1.05,0.8891535323871003,0.010245274798638307,0.003815911341307557,0.001124200583186889,4.455130434782609,1.5438976337120422,1.116593156379507,0.3482749927292786,0.391304347826087,0.13677581821595966,0.08326086956521739,0.04440521530628824,0.11908695652173913,0.10298025945504853,0.069377010203447,0.04467089270316446
baseline_shifted_seeds,1.075,0.896991375713282,0.009211406782135508,0.0030382320279300034,0.0007380165468950432,4.480652173913043,1.4559608733383915,1.0080992082633677,0.2842908936786903,0.42800000000000005,0.14678450899701742,0.06817391304347827,0.03701064522125143,0.1386086956521739,0.1647134189948573,0.046571400428390225,0.02697928649502417
baseline_shifted_seeds,1.1,0.9046047296365339,0.00781765948987529,0.0027145299815994747,0.0008423070701598971,3.9292173913043476,1.3352966767242498,0.9331588635238723,0.3342193933634341,0.44534782608695656,0.1928624570158536,0.04465217391304348,0.028779010823483074,0.1656086956521739,0.24329810881766692,0.03196419995869568,0.02711224966183695
baseline_shifted_seeds,1.125,0.9112184173315588,0.006945544779552081,0.002062976436543567,0.0008285993282909278,3.679086956521739,1.0373659639911157,0.721618673242197,0.30862149016108964,0.5015217391304347,0.18638382681142265,0.03147826086956522,0.021927876277333072,0.18708695652173915,0.2862469671314903,0.015596892468049017,0.013153390612394603
baseline_shifted_seeds,1.15,0.9174072129934565,0.006101562122822269,0.0017172398920713965,0.000768566130289598,3.2291739130434784,1.227277053726523,0.5993022543959055,0.2640949614015256,0.5768260869565218,0.1708465215374462,0.02417391304347826,0.02392419590620454,0.24091304347826087,0.2971275668972705,0.01024965892454144,0.013098457255927811
higher_noise,0.45,0.0816638509478669,0.011442068099544123,0.03819338535295892,0.008245103689028477,0.03856521739130435,0.011519779251776566,0.1929196437603943,0.029514514856426626,0.9619565217391305,0.011157067322048983,0.02860869565217391,0.006219401046755408,0.7157826086956522,0.12685540444061025,0.00023416345789891682,0.00013845639915625513
higher_noise,0.475,0.08551543620672379,0.01226225482491072,0.03895131240997794,0.00854613856146044,0.035130434782608695,0.010960585091173406,0.18359933765239977,0.029346620837461396,0.9652173913043478,0.010916805556676224,0.02991304347826087,0.007657332472912099,0.6912608695652174,0.15349713860719522,0.00021794447059705007,0.00013522905375877678
higher_noise,0.5,0.08975020635902328,0.013297428162732492,0.03909668684525562,0.008776234443996115,0.04430434782608696,0.011649235334988262,0.20883850974898338,0.03255151996914393,0.9567391304347825,0.010971024065241954,0.03326086956521739,0.007065124488426727,0.5916521739130435,0.1674370098841143,0.00032849434155384535,0.0001688280761013118
higher_noise,0.525,0.09541011793223211,0.015162813569683466,0.041620874724798924,0.007544534514078374,0.04508695652173913,0.008760746693615767,0.21001161355582226,0.022245769184861673,0.9556956521739132,0.008329110461231965,0.033,0.007151406651648923,0.581304347826087,0.13176184813928027,0.00032888842390907424,0.00014899437816455168
higher_noise,0.55,0.10391424464912065,0.02023069220249539,0.04421740703430837,0.006311313106915188,0.051478260869565216,0.013755448024203568,0.22470545040774872,0.03093130638226384,0.9498695652173913,0.013011312997177605,0.03665217391304348,0.009492587674177305,0.5539565217391305,0.13839000592821274,0.00046007519127934236,0.00027308345514966565
