seed,K,outsider_fraction,local_boost,R,state
2,0.975,0.05,1.0,0.9565642527852563,dual_cluster
2,1.0,0.05,1.0,0.9586350784410566,dual_cluster
2,1.025,0.05,1.0,0.960568953637732,dual_cluster
2,1.0499999999999998,0.05,1.0,0.962376124931293,dual_cluster
2,1.075,0.05,1.0,0.9640662153601921,dual_cluster
2,1.1,0.05,1.0,0.9656481953738492,dual_cluster
2,1.125,0.05,1.0,0.9671303794616041,dual_cluster
2,1.15,0.05,1.0,0.9685204410212215,dual_cluster
2,1.1749999999999998,0.05,1.0,0.9698254393764967,dual_cluster
2,1.2,0.05,1.0,0.9710518542476912,dual_cluster
3,0.4,0.05,1.0,0.8095272141089817,dual_cluster
3,0.42500000000000004,0.05,1.0,0.8321385093820495,dual_cluster
3,0.45,0.05,1.0,0.8590455066941999,dual_cluster
3,0.47500000000000003,0.05,1.0,0.8872659326692787,dual_cluster
3,0.5,0.05,1.0,0.9087036873316566,dual_cluster
3,0.525,0.05,1.0,0.9139483599674347,dual_cluster
3,0.55,0.05,1.0,0.8956689683071554,dual_cluster
3,0.575,0.05,1.0,0.8787100939517707,dual_cluster
3,0.6,0.05,1.0,0.903083014824286,dual_cluster
3,0.625,0.05,1.0,0.908711497349616,dual_cluster
3,0.65,0.05,1.0,0.9138174771540779,dual_cluster
3,0.675,0.05,1.0,0.9185699606861147,dual_cluster
3,0.7,0.05,1.0,0.9230128303859284,dual_cluster
3,0.725,0.05,1.0,0.927177786406681,dual_cluster
3,0.75,0.05,1.0,0.9310872390889008,dual_cluster
3,0.7749999999999999,0.05,1.0,0.9347576735653607,dual_cluster
3,0.8,0.05,1.0,0.9382021243557644,dual_cluster
3,0.825,0.05,1.0,0.9414318801050172,dual_cluster
3,0.85,0.05,1.0,0.9444575464748912,dual_cluster
3,0.875,0.05,1.0,0.9472896135781784,dual_cluster
3,0.8999999999999999,0.05,1.0,0.9499386774305103,dual_cluster
3,0.9249999999999999,0.05,1.0,0.9524154478638394,dual_cluster
3,0.95,0.05,1.0,0.9547306456488914,dual_cluster
3,0.975,0.05,1.0,0.9568948591659155,dual_cluster
3,1.0,0.05,1.0,0.9589184028585553,dual_cluster
3,1.025,0.05,1.0,0.9608111988467716,dual_cluster
3,1.0499999999999998,0.05,1.0,0.9625826894398792,dual_cluster
3,1.075,0.05,1.0,0.9642417804283878,dual_cluster
3,1.1,0.05,1.0,0.9657968111743461,dual_cluster
3,1.125,0.05,1.0,0.9672555461388895,dual_cluster
3,1.15,0.05,1.0,0.9686251824734541,dual_cluster
3,1.1749999999999998,0.05,1.0,0.9699123689387855,dual_cluster
3,1.2,0.05,1.0,0.971123232280591,dual_cluster
4,0.4,0.05,1.0,0.841012213357611,dual_cluster
4,0.42500000000000004,0.05,1.0,0.8285218331111686,dual_cluster
4,0.45,0.05,1.0,0.8457662090268888,dual_cluster
4,0.47500000000000003,0.05,1.0,0.8911484754378733,dual_cluster
4,0.5,0.05,1.0,0.935773882061985,dual_cluster
4,0.525,0.05,1.0,0.929981491821496,fragmented
4,0.55,0.05,1.0,0.8636895521513656,dual_cluster
4,0.575,0.05,1.0,0.8739739590770388,dual_cluster
4,0.6,0.05,1.0,0.9300308037854957,dual_cluster
4,0.625,0.05,1.0,0.9121876761839878,dual_cluster
4,0.65,0.05,1.0,0.9166568370802972,dual_cluster
4,0.675,0.05,1.0,0.9209083856127105,dual_cluster
4,0.7,0.05,1.0,0.9249036650588434,dual_cluster
4,0.725,0.05,1.0,0.928671142573869,dual_cluster
4,0.75,0.05,1.0,0.9322308088024605,dual_cluster
4,0.7749999999999999,0.05,1.0,0.9355967052368006,dual_cluster
4,0.8,0.05,1.0,0.9387790336785169,dual_cluster
4,0.825,0.05,1.0,0.9417857648449723,dual_cluster
4,0.85,0.05,1.0,0.9446237880137627,dual_cluster
4,0.875,0.05,1.0,0.9472996588047341,dual_cluster
4,0.8999999999999999,0.05,1.0,0.9498200211167008,dual_cluster
4,0.9249999999999999,0.05,1.0,0.9521917883001074,dual_cluster
4,0.95,0.05,1.0,0.9544221646849009,dual_cluster
4,0.975,0.05,1.0,0.9565185750694352,dual_cluster
4,1.0,0.05,1.0,0.958488552248051,dual_cluster
4,1.025,0.05,1.0,0.9603396156804869,dual_cluster
4,1.0499999999999998,0.05,1.0,0.9620791605335709,dual_cluster
4,1.075,0.05,1.0,0.9637143663176024,dual_cluster
4,1.1,0.05,1.0,0.9652521278650344,dual_cluster
4,1.125,0.05,1.0,0.9666990076669946,dual_cluster
4,1.15,0.05,1.0,0.9680612067500329,dual_cluster
4,1.1749999999999998,0.05,1.0,0.9693445506353155,dual_cluster
4,1.2,0.05,1.0,0.9705544869597161,dual_cluster
5,0.4,0.05,1.0,0.8984612725658798,absorbed
5,0.42500000000000004,0.05,1.0,0.9173317711730039,dual_cluster
5,0.45,0.05,1.0,0.9265869513105115,dual_cluster
5,0.47500000000000003,0.05,1.0,0.9313508372509979,dual_cluster
5,0.5,0.05,1.0,0.9266978791334072,dual_cluster
