delta,T_global,T_local,dT_global,dT_local,local_global_ratio
0.02,0.00015622248899559824,0.010060007059654076,0.01891827872088434,1.8447492046044114,64.39538330449676
0.024974958263772953,0.0002503401360544218,0.019237557359689374,0.021041758985473388,2.483316236967476,76.84567749658527
0.02994991652754591,0.00036558623449379753,0.03476879632897988,0.02483828430701139,2.979979484360971,95.10422726151567
0.034924874791318866,0.0004974789915966387,0.04888810448288034,0.028152200477506446,2.8025997531490083,98.27169651119529
0.039899833055091816,0.0006456982793117247,0.06265442993293328,0.032656552553907446,2.873551645633791,97.03360213336656
0.04487479131886478,0.0008224089635854342,0.07747970349452876,0.03622786027162543,3.4943807048756623,94.21067488946447
0.04984974958263773,0.0010061624649859945,0.09742322626191316,0.037000034913294205,5.090798285783333,96.82653612333796
0.05482470784641068,0.0011905562224889955,0.12813272149664667,0.04041047291399777,6.5453120817214145,107.62425081343105
0.05979966611018364,0.0014082432973189275,0.16254853512177903,0.04504352076401032,6.651739920448595,115.42645751003802
0.06477462437395659,0.001638735494197679,0.19431697846805507,0.04642700033033345,6.403408296751845,118.5773904062487
0.06974958263772955,0.001870188075230092,0.22626191316625485,0.05115657001055457,6.385670323630652,120.98350757498949
0.0747245409015025,0.002147739095638255,0.25785386516060715,0.05720527137029316,6.332456404267074,120.05828160611814
0.07969949916527545,0.00243937575030012,0.28926932580303566,0.05862092488001905,7.095189248478494,118.58334074504366
0.08467445742904842,0.0027310124049619846,0.32845040593010943,0.05965049106891082,7.272568979690465,120.26690370697214
0.08964941569282137,0.003032893157262905,0.3616307800917755,0.06257831991857143,6.456622216115441,119.23624121930376
0.09462437395659433,0.003353661464585834,0.39269325803035654,0.06656788890052667,6.350194377388256,117.09388743531179
0.09959933222036728,0.003695238095238095,0.42481468408048007,0.07097571914671919,6.829119651660562,114.96273667126394
0.10457429048414023,0.0040598639455782315,0.46064242852100246,0.0735496346189482,7.1306651947208906,113.46252847283404
0.10954924874791319,0.004427050820328131,0.4957642075538299,0.0762522458647889,6.52757410860022,111.98520813842477
0.11452420701168614,0.004818567426970789,0.5255912460289446,0.07831137824257223,6.545312081721406,109.07624599939646
0.1194991652754591,0.0052062424969988,0.5608895164136958,0.07927659654465818,6.900071544145348,107.73403596490698
0.12447412353923205,0.0056073629451780715,0.5942463819272855,0.08358790496064217,6.403408296751849,105.97608675184735
0.129449081803005,0.006037935174069628,0.6246028944581715,0.0849070366401593,5.2681780169953,103.44643929609848
0.13442404006677797,0.00645218087234894,0.6466643134486411,0.08529312396099376,4.274851522208294,100.22414533044865
0.13939899833055092,0.006886594637855142,0.6671373102717967,0.08863921407489184,4.150685710359923,96.87477561182246
0.14437395659432387,0.0073341336534613845,0.6879632897987998,0.08873573590510042,4.0442578716327375,93.80293873893501
0.14934891485809682,0.0077695078031212485,0.707377338510413,0.08960443237697768,3.7604503016936093,91.04532184474259
0.15432387312186976,0.008225690276110444,0.725379456406636,0.09127747743392667,3.3524769199060955,88.18463035416343
0.15929883138564271,0.008677711084433774,0.7407342040240028,0.09375487107594727,2.9622415112397817,85.36055151141693
0.16427378964941566,0.009158543417366946,0.7548535121779033,0.09764791822769359,2.6074820488158537,82.42069483958633
0.16924874791318864,0.009649299719887955,0.7666784327567949,0.10166966115305165,2.5542681294522396,79.45430808586153
0.1742237061769616,0.010170148059223689,0.7802682668549241,0.10662444843709307,2.4833162369674824,76.72142650344894
0.17919866444073454,0.010710204081632653,0.7913872220261208,0.10910184207911366,2.323674478876711,73.89095632484741
0.1841736227045075,0.011255702280912366,0.8033886339569362,0.10681749209751024,2.359150425119097,71.37614463375937
0.18914858096828044,0.011773029211684674,0.8148605718319802,0.10836184138084715,2.341412451997897,69.21418074994965
0.19412353923205342,0.01233389355742297,0.8266854924108719,0.11502184766524048,2.323674478876711,67.02550890049991
0.19909849749582637,0.01291748699479792,0.8379809389339923,0.11827141594892998,2.1285567745435543,64.87182369693585
0.20407345575959931,0.013510684273709484,0.8478644546417226,0.12222881098748228,1.7383213658772263,62.75510828800779
0.20904841402337226,0.014133653461384553,0.8552770914225203,0.12235750676109403,1.5786796077864835,60.51351787839406
0.2140233722871452,0.014728131252501001,0.8635721849629369,0.11994446100587863,1.5077277153016837,58.634199421348356
0.2189983305509182,0.015327090836334534,0.8702788563360395,0.12570359687499133,1.419037849695684,56.78043313170357
0.22397328881469114,0.015978871548619447,0.8776914931168373,0.12885664332847235,1.09975433351417,54.92825262699284
0.2289482470784641,0.01660920368147259,0.8812213201553124,0.1287922954416667,0.6208290592418706,53.056205285645724
0.23392320534223704,0.01726034413765506,0.8838686904341687,0.13249229893299597,0.44344932802991366,51.208057231369224
0.23889816360601,0.017927490996398558,0.8856336039534063,0.13297490808403922,0.6563050054842705,49.400867312181084
0.24387312186978294,0.01858343337334934,0.8903988704553477,0.13435838765036223,0.7627328442114276,47.913582628508046
0.24884808013355592,0.01926434573829532,0.8932227320861278,0.1404392629535025,0.5144012205146851,46.36662693976173
0.2538230383973289,0.01998079231692677,0.8955171196611366,0.14082535027433796,0.37249743554512804,44.818899343771136
0.2587979966611018,0.020665546218487395,0.8969290504765266,0.13789752142467693,0.390235408666328,43.402145822505965
0.2637729549248748,0.021352861144457783,0.8993999294034593,0.1397314361986406,0.4966632473934993,42.120815722014
0.2687479131886477,0.022055862344937976,0.9018708083303918,0.14542622418094764,0.5321391936358708,40.89029910623193
0.2737228714524207,0.02279983993597439,0.9046946699611719,0.14719579106810432,0.6563050054842563,39.679869354420894
0.27869782971619367,0.023520448179271708,0.9084009883515708,0.14507231080351612,0.7272568979690561,38.62175505448633
0.2836727879799666,0.024243297318927572,0.9119308153900458,0.14661666008685392,0.6740429786054563,37.61579142446396
0.28864774624373957,0.024979271708683474,0.9151076597246735,0.14800013965317582,0.47892527427229936,36.63468136289006
0.29362270450751254,0.025715886354541816,0.9166960818919873,0.14861144457783082,0.31928351618152817,35.647073145899355
0.29859766277128547,0.026457943177270907,0.9182845040593011,0.15311579665423247,0.3547594624239281,34.70732769764836
0.30357262103505844,0.02723937575030012,0.9202259089304624,0.1579740621080643,0.44344932802991366,33.78292943884088
0.30854757929883136,0.028029771908763504,0.922696787857395,0.1603227599764745,0.44344932802991366,32.91845509341851
0.31352253756260434,0.028834573829531814,0.9246381927285563,0.16276797967509093,0.4611873011510994,32.066997008346966
0.3184974958263773,0.029649299719887955,0.9272855630074126,0.164794938109472,0.5144012205146993,31.275125273377512
0.32347245409015024,0.030474269707883153,0.9297564419343453,0.1639905895244005,0.4966632473934993,30.509556122154873
0.3284474123539232,0.031280992396958786,0.9322273208612778,0.16704711414767281,0.549877166757085,29.801718213770968
0.33342237061769614,0.03213637454981993,0.9352276738439816,0.16958885567649817,0.5676151398782849,29.101841354074647
0.3383973288814691,0.03296838735494197,0.937875044122838,0.17036103031816685,0.5676151398782707,28.447707618378555
0.3433722871452421,0.033831452581032415,0.9408753971055418,0.17377146831887202,0.5853531129994849,27.810670997704754
0.348347245409015,0.03469739895958383,0.9436992587363219,0.17521929577200002,0.4966632473934993,27.197982760481846
0.353322203672788,0.03557486994797919,0.945817154959407,0.17505842605498545,0.5676151398782991,26.58666514712399
0.3582971619365609,0.036439215686274506,0.9493469819978821,0.1792732126407608,0.6563050054842705,26.052892855086093
0.3632721202003339,0.03735862344937975,0.952347334980586,0.1846462611890387,0.5144012205146709,25.49203495870235
0.36824707846410687,0.03827643057222889,0.954465231203671,0.18335930345292528,0.47892527427228515,24.936108642694975
0.3732220367278798,0.03918303321328531,0.9571126014825273,0.18065669220708447,0.4257113549087137,24.426710312922147
0.37819699499165277,0.04007394957983193,0.9587010236498411,0.1851288703400833,0.2838075699391567,23.923297646018096
0.3831719532554257,0.041025050020008,0.9599364631133075,0.18805669918974388,0.33702148930274234,23.39878836577029
