variant,delta_star_global,max_dT_global,T_global_at_delta_star,T_local_at_delta_star,local_global_at_delta_star,max_local_global,delta_at_max_local_global
original,2.005008347245409,0.3943881982323276,0.5778749899959984,1.0,1.7304780745173358,130.36810108312318,0.08467445742904842
shuffle,2.0099833055091816,0.4007586390260798,0.5813765506202481,0.5788916343099189,0.9957258057489967,2.254866505406266,0.02
random,1.3930884808013355,0.436407368316452,0.38503145258103244,0.3895164136957289,1.0116482980406714,3.1914029555532966,0.02994991652754591
