branch,source_relative_path,canonical_relative_path,role,status,copy_status,extension,size_bytes,sha256,copied_at,rows,columns,column_names
minimal_replication,kuramoto_minimal_replication_v1_CHECKPOINT/kuramoto_minimal_replication_summary.csv,minimal_replication/kuramoto_minimal_replication_summary.csv,Summary metrics and characteristic coupling values,final_reference,copied,.csv,819,cd782e2870a3910bd02806337d242d5d1a58606adbdacd3b6ab4b8377a92220e,2026-07-11T05:02:27,5.0,8.0,replication | peak_K_reorganization | peak_reorganization_score | R_mean_at_peak | cluster_mean_at_peak | dominant_fraction_at_peak | switching_rate_at_peak | memory_score_at_peak
minimal_replication,kuramoto_minimal_replication_v1_CHECKPOINT/kuramoto_minimal_replication_window.csv,minimal_replication/kuramoto_minimal_replication_window.csv,Characteristic replication-window summary,final_reference,copied,.csv,130,316e7ef9741043571247672e79a3fa63da00eff9b12034630d64e156c758dd6e,2026-07-11T05:02:27,1.0,6.0,K_min_peak | K_max_peak | K_mean_peak | K_median_peak | K_std_peak | n_replications
reorganization_window,kuramoto_reorganization_window_v1_CHECKPOINT/fig_kuramoto_R_vs_K.png,reorganization_window/fig_kuramoto_R_vs_K.png,Order parameter R as a function of coupling K,final_reference,copied,.png,102837,1382712f0df35ed9ed8ed88f72f4cb80a1f5a3817731b123cb55757be8e932ce,2026-07-11T05:02:21,,,
reorganization_window,kuramoto_reorganization_window_v1_CHECKPOINT/fig_kuramoto_cluster_mean_vs_K.png,reorganization_window/fig_kuramoto_cluster_mean_vs_K.png,Mean cluster organization across coupling values,final_reference,copied,.png,116668,da7766a2b1c5b322a03888585536e11eb5981acb9c9c284559812e87f835948e,2026-07-11T05:02:21,,,
reorganization_window,kuramoto_reorganization_window_v1_CHECKPOINT/fig_kuramoto_reorganization_score.png,reorganization_window/fig_kuramoto_reorganization_score.png,Compatibility-dependent reorganization score,final_reference,copied,.png,119799,f49f77dc220dab696d654e0570f8f275fcd882b02ceacef43565dfc49e3e59f6,2026-07-11T05:02:22,,,
reorganization_window,kuramoto_reorganization_window_v1_CHECKPOINT/fig_kuramoto_switching_rate_vs_K.png,reorganization_window/fig_kuramoto_switching_rate_vs_K.png,Switching-rate response across coupling values,final_reference,copied,.png,117663,18e12b50b79f1f83db03c7c2fec177eb4a3c0edd150582ca9deb4514934a10b6,2026-07-11T05:02:22,,,
reorganization_window,kuramoto_reorganization_window_v1_CHECKPOINT/kuramoto_reorganization_aggregate.csv,reorganization_window/kuramoto_reorganization_aggregate.csv,Aggregated results across seeds or replications,final_reference,copied,.csv,10309,84f91b79be22910bc4a7b763211ef6e16d76a07488d2d7c99777e7dca2189d22,2026-07-11T05:02:21,39.0,17.0,K | R_mean_mean | R_mean_std | R_std_mean | R_std_std | cluster_mean_mean | cluster_mean_std | cluster_std_mean | cluster_std_std | dominant_fraction_mean | dominant_fraction_std | switching_rate_mean | switching_rate_std | memory_score_mean | memory_score_std | reorganization_score_mean | reorganization_score_std
reorganization_window,kuramoto_reorganization_window_v1_CHECKPOINT/kuramoto_reorganization_all.csv,reorganization_window/kuramoto_reorganization_all.csv,Complete run-level results,final_reference,copied,.csv,79309,c861cd20707cb5f52b20c3157df890a4f1217dfe24497cb0a7a376df9adb9d9c,2026-07-11T05:02:20,780.0,11.0,K | seed | R_mean | R_std | cluster_mean | cluster_std | dominant_cluster | dominant_fraction | switching_rate | memory_score | reorganization_score
reorganization_window,kuramoto_reorganization_window_v1_CHECKPOINT/kuramoto_reorganization_summary.csv,reorganization_window/kuramoto_reorganization_summary.csv,Summary metrics and characteristic coupling values,final_reference,copied,.csv,227,60bce11bfe72a287f8ea0017c53d966b451a29bc7eab3df11826b436d6205a19,2026-07-11T05:02:21,1.0,7.0,peak_K_reorganization | peak_reorganization_score | R_mean_at_peak | cluster_mean_at_peak | dominant_fraction_at_peak | switching_rate_at_peak | memory_score_at_peak
topology_robustness,kuramoto_topology_robustness_v1_CHECKPOINT/fig_kuramoto_topology_R_vs_K.png,topology_robustness/fig_kuramoto_topology_R_vs_K.png,Order parameter R as a function of coupling K,final_reference,copied,.png,282743,96c3f25f1d426fb9885b47cd793b95c5af1a1ab726ff787f9d60c7073e073c64,2026-07-11T05:02:24,,,
topology_robustness,kuramoto_topology_robustness_v1_CHECKPOINT/fig_kuramoto_topology_cluster_mean.png,topology_robustness/fig_kuramoto_topology_cluster_mean.png,Mean cluster organization across coupling values,final_reference,copied,.png,314520,53444d66f96ed7e26e5ac42b1e369a473557557a2327ec3d7d93e2ae908bd3ca,2026-07-11T05:02:24,,,
topology_robustness,kuramoto_topology_robustness_v1_CHECKPOINT/fig_kuramoto_topology_peak_K_summary.png,topology_robustness/fig_kuramoto_topology_peak_K_summary.png,Characteristic peak-K comparison,final_reference,copied,.png,86668,dce561539b5fc34f0479205f1a84710c054cd86aa29d16736234e719d41ff36e,2026-07-11T05:02:25,,,
topology_robustness,kuramoto_topology_robustness_v1_CHECKPOINT/fig_kuramoto_topology_reorganization_score.png,topology_robustness/fig_kuramoto_topology_reorganization_score.png,Compatibility-dependent reorganization score,final_reference,copied,.png,302089,73d65d9f6c85b72381d721b0daa969841ef67594eb049925e164b2dc27a111fd,2026-07-11T05:02:24,,,
topology_robustness,kuramoto_topology_robustness_v1_CHECKPOINT/fig_kuramoto_topology_switching_rate.png,topology_robustness/fig_kuramoto_topology_switching_rate.png,Switching-rate response across coupling values,final_reference,copied,.png,307471,a9a0fedc9af4c064864246076aae9a3aca146f15cd2f43ec9dcaa948430b2e09,2026-07-11T05:02:24,,,
topology_robustness,kuramoto_topology_robustness_v1_CHECKPOINT/kuramoto_topology_aggregate.csv,topology_robustness/kuramoto_topology_aggregate.csv,Aggregated results across seeds or replications,final_reference,copied,.csv,31577,2b221367fa080d9d4cbc410b3d25657b1f4b9b3f451a4ac3af3de471d6b52f8a,2026-07-11T05:02:23,105.0,18.0,topology | K | R_mean_mean | R_mean_std | R_std_mean | R_std_std | cluster_mean_mean | cluster_mean_std | cluster_std_mean | cluster_std_std | dominant_fraction_mean | dominant_fraction_std | switching_rate_mean | switching_rate_std | memory_score_mean | memory_score_std | reorganization_score_mean | reorganization_score_std
topology_robustness,kuramoto_topology_robustness_v1_CHECKPOINT/kuramoto_topology_all.csv,topology_robustness/kuramoto_topology_all.csv,Complete run-level results,final_reference,copied,.csv,318507,56ce9c310059955691fa8e4b019a8cce7f924f01872e393ad8da32cea7fc0eb5,2026-07-11T05:02:23,2100.0,12.0,topology | K | seed | R_mean | R_std | cluster_mean | cluster_std | dominant_cluster | dominant_fraction | switching_rate | memory_score | reorganization_score
topology_robustness,kuramoto_topology_robustness_v1_CHECKPOINT/kuramoto_topology_summary.csv,topology_robustness/kuramoto_topology_summary.csv,Summary metrics and characteristic coupling values,final_reference,copied,.csv,805,a567ce77e94a12ebd7ce4e24788d3aeea8e7a5970a4fafd5b00cdb2695ba4fff,2026-07-11T05:02:23,5.0,8.0,topology | peak_K_reorganization | peak_reorganization_score | R_mean_at_peak | cluster_mean_at_peak | dominant_fraction_at_peak | switching_rate_at_peak | memory_score_at_peak
