K,kick_strength,R_pre_mean_mean,R_pre_mean_std,R_post_mean_mean,R_post_mean_std,R_change_mean,R_change_std,cluster_change_mean,cluster_change_std,kick_distance_mean,kick_distance_std,recovery_similarity_mean,recovery_similarity_std,memory_loss_mean,memory_loss_std,core_overlap_mean,core_overlap_std,new_core_fraction_mean,new_core_fraction_std,irreversibility_score_mean,irreversibility_score_std,reversible_fraction,metastable_fraction,irreversible_fraction
0.4,0.0,0.10589861955016651,0.03452822866417977,0.10269594560398669,0.041715596116087585,0.021435338825543295,0.013278528212633957,0.024833333333333332,0.021260704218337857,0.0,0.0,0.12603889779845204,0.07607331420337478,0.8739611022015479,0.07607331420337479,0.8283333333333334,0.12473363432596576,0.1716666666666667,0.12473363432596574,1.0571949369079339,0.09682619211227979,0.0,0.0,1.0
0.4,0.1,0.10589861955016651,0.03452822866417977,0.10569456156347443,0.04220405913214553,0.020833740246205875,0.016373739448654123,0.022433333333333336,0.019458487827629666,0.00500521791818454,0.0004168250027602412,0.12825561477892414,0.07565053559597312,0.8717443852210758,0.07565053559597312,0.8283333333333334,0.1291107688896432,0.1716666666666667,0.1291107688896432,1.0542278202826274,0.10731157189994728,0.0,0.0,1.0
0.4,0.2,0.10589861955016651,0.03452822866417977,0.10821162026769102,0.040314109695962046,0.01821539227770106,0.016779993755996307,0.028666666666666667,0.03017996702047113,0.01987273902897569,0.0016425761674761917,0.12791621981836107,0.0757577261266117,0.8720837801816389,0.0757577261266117,0.8241666666666667,0.13305618124845253,0.17583333333333334,0.13305618124845256,1.0596376282510642,0.1181573056725944,0.0,0.0,1.0
0.4,0.3,0.10589861955016651,0.03452822866417977,0.11093505795298889,0.037534727298207615,0.017140397700097766,0.0165572812005178,0.021966666666666666,0.021431217324813626,0.04416520534539563,0.00360505536811447,0.1273074400543241,0.07694183364910043,0.872692559945676,0.0769418336491004,0.8258333333333333,0.13294625832395277,0.17416666666666666,0.13294625832395277,1.0566359927040336,0.11445748541178817,0.0,0.0,1.0
0.4,0.4,0.10589861955016651,0.03452822866417977,0.11278466357402858,0.03525162820933194,0.016943073352902106,0.014436546461047438,0.017300000000000003,0.01828491213257276,0.07717671473485552,0.006190316533703945,0.1296727301230208,0.07411016930172935,0.8703272698769793,0.07411016930172934,0.8266666666666665,0.12959676553613098,0.17333333333333334,0.12959676553613092,1.052221371548538,0.10898113552236127,0.0,0.0,1.0
0.4,0.5,0.10589861955016651,0.03452822866417977,0.11445848795018618,0.03349887571552017,0.016746344353939322,0.015812428492794097,0.017866666666666666,0.01562963147732406,0.11796585834561298,0.009251582888256725,0.13369470995005386,0.07206959736227765,0.8663052900499462,0.07206959736227764,0.8225,0.12463689953278766,0.1775,0.1246368995327876,1.0524585428050977,0.09684007251509842,0.0,0.0,1.0
0.4,0.6,0.10589861955016651,0.03452822866417977,0.11359778669792972,0.03180770886717919,0.016456513042232397,0.01263177951986457,0.01863333333333333,0.018813302497892096,0.16539907327823802,0.01262048270267918,0.13872844792547653,0.0657502024525035,0.8612715520745235,0.06575020245250349,0.8283333333333334,0.11573563341557888,0.1716666666666667,0.1157356334155789,1.0417106803350815,0.07602111987337533,0.0,0.0,1.0
0.4,0.7,0.10589861955016651,0.03452822866417977,0.11221856828339627,0.03329525342590999,0.01858543143129861,0.01173219121716005,0.017,0.010486415606903141,0.21820165710832762,0.016119513763978185,0.13637580695644527,0.0639455135472494,0.8636241930435548,0.06394551354724941,0.8283333333333334,0.12188816655524372,0.1716666666666667,0.12188816655524372,1.044187217568046,0.07844380674310103,0.0,0.0,1.0
0.4,0.8,0.10589861955016651,0.03452822866417977,0.11231262662244232,0.03456218810008259,0.019483529105865784,0.012804413860006698,0.023633333333333333,0.008010154374256168,0.27501336509577834,0.019574552190271172,0.14425723451578581,0.06542192876932024,0.8557427654842142,0.06542192876932024,0.8216666666666667,0.11995369476964389,0.17833333333333332,0.11995369476964386,1.0448553144273474,0.07359095096650319,0.0,0.0,1.0
0.4,0.9,0.10589861955016651,0.03452822866417977,0.11626303369587976,0.037251946237159654,0.02209827654973091,0.015529237063272293,0.021866666666666666,0.01974646315210762,0.3344453021287236,0.022826270986153866,0.14308659731264975,0.06749037470245087,0.8569134026873503,0.0674903747024509,0.8175000000000001,0.11999939083666046,0.1825,0.11999939083666045,1.0504046384914498,0.09186428519070923,0.0,0.0,1.0
0.4,1.0,0.10589861955016651,0.03452822866417977,0.11847420057288967,0.03549007423047766,0.023264182203637344,0.017267733297719825,0.023433333333333334,0.020605200047702714,0.3951348454840403,0.025739536121692632,0.13578057790038872,0.07021942254408085,0.8642194220996112,0.07021942254408084,0.8233333333333333,0.10656793676429524,0.17666666666666667,0.10656793676429524,1.0525604676505207,0.08499345579227813,0.0,0.0,1.0
0.45,0.0,0.15534253368271547,0.05370770065549708,0.15023695331768197,0.059520598551375654,0.030823253292174262,0.024035884784656163,0.052533333333333335,0.04863209538724798,0.0,0.0,0.22858156601146096,0.10889713391286761,0.771418433988539,0.10889713391286761,0.6950000000000001,0.15438048235879212,0.305,0.15438048235879215,1.097257580644916,0.1398752193526967,0.0,0.0,1.0
0.45,0.1,0.15534253368271547,0.05370770065549708,0.15369663911859816,0.05820864711614744,0.030059462208394304,0.023486959913316775,0.04443333333333334,0.03443870731318917,0.0050052179181845294,0.0004168250027602328,0.23573332714927714,0.1096950864761556,0.7642666728507229,0.10969508647615558,0.7,0.1518886942421867,0.3,0.15188869424218673,1.0828898717361546,0.1375012134275631,0.0,0.0,1.0
0.45,0.2,0.15534253368271547,0.05370770065549708,0.15313683764272285,0.05652419091666352,0.028774557744540512,0.02206897020178454,0.04203333333333333,0.043355985981959125,0.01987273902897569,0.0016425761674761917,0.22681768929472673,0.11061294088034822,0.7731823107052733,0.11061294088034823,0.7025,0.15505846850453142,0.2975,0.15505846850453142,1.0883842834747417,0.14230053954546748,0.0,0.0,1.0
0.45,0.3,0.15534253368271547,0.05370770065549708,0.15525380652181114,0.05624377607541845,0.028638457806655065,0.020496435314373316,0.0501,0.04957327850284333,0.04416520534539563,0.0036050553681144684,0.22245791346868482,0.1143647782721634,0.7775420865313152,0.1143647782721634,0.7066666666666667,0.14563834081652216,0.29333333333333333,0.1456383408165222,1.0905600343163122,0.1369682661448912,0.0,0.0,1.0
0.45,0.4,0.15534253368271547,0.05370770065549708,0.15753603625004342,0.056859101776011924,0.02958890838077204,0.022072251105041595,0.04553333333333333,0.04459255438335809,0.0771767147348555,0.00619031653370394,0.2201540848935677,0.10840426746871716,0.7798459151064323,0.10840426746871715,0.7133333333333334,0.13961098835756244,0.2866666666666667,0.13961098835756244,1.0852931422016252,0.12683676037910444,0.0,0.0,1.0
0.45,0.5,0.15534253368271547,0.05370770065549708,0.15985917254345644,0.055324123444786134,0.030853212840609868,0.022327077810969733,0.057833333333333334,0.04954949088319299,0.11796585834561295,0.009251582888256737,0.22303793957082957,0.11155052657388657,0.7769620604291705,0.11155052657388657,0.7166666666666667,0.11610138743246219,0.2833333333333333,0.11610138743246219,1.0824670303059896,0.11047711973432743,0.0,0.0,1.0
0.45,0.6,0.15534253368271547,0.05370770065549708,0.15417897920974086,0.05664476320118991,0.02806669464088408,0.021412130725182457,0.0462,0.04058640339264957,0.16539907327823805,0.012620482702679195,0.21587108023073967,0.1086263831519677,0.7841289197692604,0.1086263831519677,0.7283333333333333,0.11253329591751271,0.27166666666666667,0.11253329591751267,1.074362260096148,0.10639910767475931,0.0,0.0,1.0
0.45,0.7,0.15534253368271547,0.05370770065549708,0.15120697990419377,0.05898525570126375,0.029750081604463057,0.02072235861667794,0.049666666666666665,0.05360479161614684,0.21820165710832762,0.016119513763978195,0.1974197468496252,0.11613441327071608,0.8025802531503748,0.11613441327071608,0.7391666666666666,0.11751259730903657,0.26083333333333336,0.11751259730903658,1.0832677735514906,0.11014787903826188,0.0,0.0,1.0
