K,kick_strength,R_pre_mean_mean,R_pre_mean_std,R_post_mean_mean,R_post_mean_std,R_change_mean,R_change_std,cluster_change_mean,cluster_change_std,kick_distance_mean,kick_distance_std,recovery_similarity_mean,recovery_similarity_std,memory_loss_mean,memory_loss_std,core_overlap_mean,core_overlap_std,new_core_fraction_mean,new_core_fraction_std,irreversibility_score_mean,irreversibility_score_std,reversible_fraction,metastable_fraction,irreversible_fraction,baseline_irreversibility_score,baseline_recovery_similarity,baseline_memory_loss,baseline_R_change,baseline_cluster_change,baseline_irreversible_fraction,excess_irreversibility_score,excess_memory_loss,excess_R_change,excess_cluster_change,excess_irreversible_fraction,global_state_irreversibility,baseline_global_state_irreversibility,excess_global_state_irreversibility
0.4,0.0,0.1058986195501665,0.0345282286641797,0.1026959456039866,0.0417155961160875,0.0214353388255432,0.0132785282126339,0.0248333333333333,0.0212607042183378,0.0,0.0,0.126038897798452,0.0760733142033747,0.8739611022015479,0.0760733142033747,0.8283333333333334,0.1247336343259657,0.1716666666666667,0.1247336343259657,1.057194936907934,0.0968261921122797,0.0,0.0,1.0,1.057194936907934,0.126038897798452,0.8739611022015479,0.0214353388255432,0.0248333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.8908871049476529,0.8908871049476529,0.0
0.4,0.1,0.1058986195501665,0.0345282286641797,0.1056945615634744,0.0422040591321455,0.0208337402462058,0.0163737394486541,0.0224333333333333,0.0194584878276296,0.0050052179181845,0.0004168250027602,0.1282556147789241,0.0756505355959731,0.8717443852210758,0.0756505355959731,0.8283333333333334,0.1291107688896432,0.1716666666666667,0.1291107688896432,1.0542278202826274,0.1073115718999472,0.0,0.0,1.0,1.057194936907934,0.126038897798452,0.8739611022015479,0.0214353388255432,0.0248333333333333,1.0,-0.002967116625306687,-0.0022167169804721,-0.0006015985793374028,-0.0023999999999999994,0.0,0.887769588677512,0.8908871049476529,-0.0031175162701408965
0.4,0.2,0.1058986195501665,0.0345282286641797,0.108211620267691,0.040314109695962,0.018215392277701,0.0167799937559963,0.0286666666666666,0.0301799670204711,0.0198727390289756,0.0016425761674761,0.127916219818361,0.0757577261266117,0.8720837801816389,0.0757577261266117,0.8241666666666667,0.1330561812484525,0.1758333333333333,0.1330561812484525,1.0596376282510642,0.1181573056725944,0.0,0.0,1.0,1.057194936907934,0.126038897798452,0.8739611022015479,0.0214353388255432,0.0248333333333333,1.0,0.0024426913431301323,-0.001877322019908978,-0.0032199465478422,0.0038333333333332997,0.0,0.8883581429871561,0.8908871049476529,-0.0025289619604967895
0.4,0.3,0.1058986195501665,0.0345282286641797,0.1109350579529888,0.0375347272982076,0.0171403977000977,0.0165572812005178,0.0219666666666666,0.0214312173248136,0.0441652053453956,0.0036050553681144,0.1273074400543241,0.0769418336491004,0.872692559945676,0.0769418336491004,0.8258333333333333,0.1329462583239527,0.1741666666666666,0.1329462583239527,1.0566359927040336,0.1144574854117881,0.0,0.0,1.0,1.057194936907934,0.126038897798452,0.8739611022015479,0.0214353388255432,0.0248333333333333,1.0,-0.0005589442039004577,-0.0012685422558719184,-0.004294941125445501,-0.0028666666666667014,0.0,0.8867544254623915,0.8908871049476529,-0.004132679485261415
0.4,0.4,0.1058986195501665,0.0345282286641797,0.1127846635740285,0.0352516282093319,0.0169430733529021,0.0144365464610474,0.0173,0.0182849121325727,0.0771767147348555,0.0061903165337039,0.1296727301230208,0.0741101693017293,0.8703272698769793,0.0741101693017293,0.8266666666666665,0.1295967655361309,0.1733333333333333,0.1295967655361309,1.052221371548538,0.1089811355223612,0.0,0.0,1.0,1.057194936907934,0.126038897798452,0.8739611022015479,0.0214353388255432,0.0248333333333333,1.0,-0.004973565359396082,-0.0036338323245685977,-0.004492265472641102,-0.007533333333333302,0.0,0.8831238065534304,0.8908871049476529,-0.0077632983942225176
0.4,0.5,0.1058986195501665,0.0345282286641797,0.1144584879501861,0.0334988757155201,0.0167463443539393,0.015812428492794,0.0178666666666666,0.015629631477324,0.1179658583456129,0.0092515828882567,0.1336947099500538,0.0720695973622776,0.8663052900499462,0.0720695973622776,0.8225,0.1246368995327876,0.1775,0.1246368995327876,1.0524585428050977,0.0968400725150984,0.0,0.0,1.0,1.057194936907934,0.126038897798452,0.8739611022015479,0.0214353388255432,0.0248333333333333,1.0,-0.004736394102836439,-0.007655812151601715,-0.0046889944716039,-0.006966666666666701,0.0,0.8791451288935824,0.8908871049476529,-0.011741976054070458
0.4,0.6,0.1058986195501665,0.0345282286641797,0.1135977866979297,0.0318077088671791,0.0164565130422323,0.0126317795198645,0.0186333333333333,0.018813302497892,0.165399073278238,0.0126204827026791,0.1387284479254765,0.0657502024525035,0.8612715520745235,0.0657502024525034,0.8283333333333334,0.1157356334155788,0.1716666666666667,0.1157356334155789,1.0417106803350815,0.0760211198733753,0.0,0.0,1.0,1.057194936907934,0.126038897798452,0.8739611022015479,0.0214353388255432,0.0248333333333333,1.0,-0.015484256572852573,-0.01268955012702433,-0.0049788257833109015,-0.006200000000000001,0.0,0.874158141928973,0.8908871049476529,-0.016728963018679877
0.4,0.7,0.1058986195501665,0.0345282286641797,0.1122185682833962,0.0332952534259099,0.0185854314312986,0.01173219121716,0.017,0.0104864156069031,0.2182016571083276,0.0161195137639781,0.1363758069564452,0.0639455135472494,0.8636241930435548,0.0639455135472494,0.8283333333333334,0.1218881665552437,0.1716666666666667,0.1218881665552437,1.044187217568046,0.078443806743101,0.0,0.0,1.0,1.057194936907934,0.126038897798452,0.8739611022015479,0.0214353388255432,0.0248333333333333,1.0,-0.01300771933988809,-0.010336909157993124,-0.002849907394244601,-0.0078333333333333,0.0,0.877166908759204,0.8908871049476529,-0.013720196188448885
0.4,0.8,0.1058986195501665,0.0345282286641797,0.1123126266224423,0.0345621881000825,0.0194835291058657,0.0128044138600066,0.0236333333333333,0.0080101543742561,0.2750133650957783,0.0195745521902711,0.1442572345157858,0.0654219287693202,0.8557427654842142,0.0654219287693202,0.8216666666666667,0.1199536947696438,0.1783333333333333,0.1199536947696438,1.0448553144273474,0.0735909509665031,0.0,0.0,1.0,1.057194936907934,0.126038897798452,0.8739611022015479,0.0214353388255432,0.0248333333333333,1.0,-0.012339622480586732,-0.01821833671733364,-0.0019518097196775004,-0.0011999999999999997,0.0,0.8713928633704804,0.8908871049476529,-0.0194942415771725
0.4,0.9,0.1058986195501665,0.0345282286641797,0.1162630336958797,0.0372519462371596,0.0220982765497309,0.0155292370632722,0.0218666666666666,0.0197464631521076,0.3344453021287236,0.0228262709861538,0.1430865973126497,0.0674903747024508,0.8569134026873503,0.0674903747024509,0.8175000000000001,0.1199993908366604,0.1825,0.1199993908366604,1.0504046384914498,0.0918642851907092,0.0,0.0,1.0,1.057194936907934,0.126038897798452,0.8739611022015479,0.0214353388255432,0.0248333333333333,1.0,-0.006790298416484264,-0.0170476995141976,0.0006629377241876983,-0.0029666666666667008,0.0,0.8734292076288823,0.8908871049476529,-0.017457897318770565
