K,recovery_similarity_mean,recovery_similarity_std,recovery_similarity_min,recovery_similarity_max,core_overlap_mean,core_overlap_std,core_overlap_min,core_overlap_max,memory_loss_mean,memory_loss_std,irreversibility_score_mean,irreversibility_score_std,R_change_mean,R_change_std,cluster_change_mean,cluster_change_std
0.4,0.12603889779845198,0.07607331420337479,0.0377670385041998,0.3293671636328592,0.8283333333333334,0.12473363432596576,0.3666666666666666,0.9833333333333332,0.8739611022015479,0.07607331420337479,1.0571949369079339,0.0968261921122798,0.021435338825543247,0.01327852821263396,0.02483333333333329,0.021260704218337853
0.45,0.22858156601146096,0.10889713391286762,0.0676144360744317,0.4132981217643289,0.6950000000000001,0.15438048235879212,0.4,0.9166666666666666,0.771418433988539,0.10889713391286761,1.0972575806449159,0.13987521935269667,0.030823253292174217,0.024035884784656163,0.052533333333333286,0.04863209538724798
0.5,0.3155870969604,0.1766382582655829,0.0448492815153127,0.6738807928118513,0.55,0.20555160419783663,0.0,0.8,0.6844129030396,0.17663825826558285,1.1563793090685244,0.19669057153682756,0.01476562411569714,0.01129494944708013,0.07309999999999996,0.08222328037883987
0.55,0.4993416322813499,0.1653797471150034,0.0900700916406668,0.7755269452730913,0.3808333333333333,0.33670553015222027,0.0,0.95,0.50065836771865,0.16537974711500336,1.1995572146304498,0.3051071127648594,0.01479538764719934,0.01541944458443099,0.3041333333333333,0.27638430740567915
0.6,0.7052738822098841,0.16911164369816467,0.3810485655974492,0.9702498988437996,0.49000000000000005,0.3718689953567013,0.0,0.9333333333333332,0.29472611779011587,0.16911164369816467,0.8713816306529285,0.4056365464738707,0.015288718117917271,0.009687000973459769,0.2513333333333334,0.19740290381032524
0.65,0.9020535426714684,0.09972617054208154,0.651998934953781,0.9945417460597906,0.24916666666666668,0.3596406182135242,0.0,0.9,0.09794645732853151,0.09972617054208155,0.9009776697617908,0.39685122268216133,0.008624849733036842,0.012495505151178159,0.20016666666666655,0.1463915881327318
0.7,0.9959607662875035,0.004437702278039307,0.9859462703402664,0.999995804213072,0.2758333333333333,0.3379710271675345,0.0,1.0,0.00403923371249642,0.00443770227803935,0.7633159190079944,0.3408234901160015,0.00030674118199173876,0.00042241951132053604,0.14013333333333328,0.14366995966429977
0.75,0.9999758828193748,7.291055558673592e-05,0.99969885585387,0.9999999999999956,0.3583333333333333,0.3947573094109004,0.0,0.9833333333333332,2.4117180625187855e-05,7.291055558675104e-05,0.6562867709400885,0.3953775841218641,1.7281704519672703e-05,2.681727777105451e-05,0.058366666666666636,0.08234785013011954
0.8,0.9999999997324911,1.1848171037453228e-09,0.999999994698947,1.0,0.3966666666666666,0.3400894275237769,0.0,0.9833333333333332,2.675089150194765e-10,1.1848171165474507e-09,0.6033334323198185,0.3400893729209957,3.948759053129525e-07,6.209355947689424e-07,0.0,0.0
0.85,1.0,3.929360796611928e-16,0.9999999999999988,1.0000000000000002,0.25749999999999995,0.20777820777389286,0.0333333333333333,0.9333333333333332,2.2204460492503117e-17,2.8951074449790715e-16,0.7425000056414245,0.20777819749190105,2.2565697788135e-08,5.415670288541299e-08,0.0,0.0
0.9,1.0,1.6895061133507964e-16,0.9999999999999998,1.0000000000000004,0.1683333333333333,0.11980735023190622,0.0333333333333333,0.4666666666666667,-2.2204460492503135e-17,1.8225036628030617e-16,0.8316666669453427,0.11980735024835654,1.1147047007664667e-09,2.6106491194636235e-09,0.0,0.0
0.95,1.0,1.5282157797262503e-16,0.9999999999999998,1.0000000000000002,0.16083333333333333,0.13989083045162198,0.05,0.6166666666666667,5.55111512312578e-18,1.589597460691245e-16,0.8391666666821169,0.1398908304561195,6.180093659047259e-11,9.995165432769095e-11,0.0,0.0
1.0,1.0000000000000002,1.7646315836095689e-16,0.9999999999999998,1.0000000000000002,0.19416666666666665,0.1840317637215911,0.0,0.8333333333333334,-9.43689570931383e-17,1.5398453999484599e-16,0.8058333333344626,0.18403176372157878,4.517775042955918e-12,4.583064179335715e-12,0.0,0.0
1.05,1.0,1.2477829590662821e-16,0.9999999999999998,1.0000000000000002,0.18416666666666665,0.15203060249031197,0.05,0.6666666666666666,3.330669073875469e-17,1.3525644966876973e-16,0.8158333333334482,0.152030602490321,4.59732252267031e-13,5.013211259237603e-13,0.0,0.0
1.1,1.0,1.6108808733817073e-16,0.9999999999999998,1.0000000000000002,0.14499999999999996,0.09598671935428182,0.0,0.3833333333333333,-2.2204460492503135e-17,1.6740765105828269e-16,0.8550000000000159,0.0959867193542812,6.3771210534469e-14,6.366858043744369e-14,0.0,0.0
1.15,1.0,1.5282157797262503e-16,0.9999999999999998,1.0000000000000002,0.1583333333333333,0.08710751573914625,0.05,0.4333333333333333,-2.465190328815662e-33,1.570092458683775e-16,0.8416666666666689,0.08710751573914685,9.087175456556906e-15,9.069579413262307e-15,0.0,0.0
1.2,1.0,1.6895061133507964e-16,0.9999999999999996,1.0000000000000002,0.14749999999999996,0.07785032122361399,0.0166666666666666,0.3666666666666666,2.7755575615628904e-17,1.7227766567476602e-16,0.8525000000000004,0.0778503212236139,1.3378187446733137e-15,1.3915600741612112e-15,0.0,0.0
