delta,mean_transitions,std_transitions,mean_dwell,std_dwell,mean_occupancy,std_occupancy,mean_filtered,std_filtered
0.001,0.0,0.0,200.0,0.0,624.3,31.483487735636913,19283.4,39.47454876246212
0.004413793103448276,0.0,0.0,200.0,0.0,1327.4,65.91691740365292,13700.6,46.59442026680877
0.007827586206896553,4.9,2.8442925306655784,41.19047619047619,16.51529902971231,1438.0,300.6802288145997,9912.2,690.7355210208897
0.011241379310344829,19.5,5.5901699437494745,12.184187132470885,9.313726550341707,1865.2,225.74534325208128,5650.9,1083.3168926957617
0.014655172413793105,23.2,1.2489995996796797,8.286682882335057,0.431133185255786,1977.2,295.7139834366985,4074.4,978.9208548192239
0.01806896551724138,28.3,1.0999999999999999,6.835819929257082,0.26346071666827553,2076.0,97.8999489274637,1966.2,368.98449831937387
0.021482758620689657,32.6,1.8,5.969972837619897,0.3289860342060716,2077.0,180.2936493612573,1687.6,497.6388650417087
0.024896551724137933,37.7,0.9,5.170715249662619,0.11853778114945197,2222.5,80.43662101306842,2077.6,470.60050998697403
0.02831034482758621,41.8,2.821347195933177,4.692564377022075,0.2996239699671022,2302.5,81.24438442132477,1571.5,233.0228529565287
0.031724137931034485,53.2,4.512205669071391,3.7173454481550445,0.3285063984275278,1814.5,370.44682479405867,2290.9,220.09427525494615
0.03513793103448276,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1393.7,115.31352912819901,4463.0,428.8239732104538
0.03855172413793104,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1446.6,114.20087565338542,6034.0,588.6051307965298
0.04196551724137931,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1492.9,103.5494567827374,7150.0,709.1665530748048
0.04537931034482759,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1507.4,136.34309663492317,385.1,115.6161320923685
0.048793103448275865,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1355.4,108.30346254852611,26.0,32.22731760478988
0.05220689655172414,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.05562068965517242,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.05903448275862069,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.06244827586206897,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.06586206896551725,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.06927586206896552,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.0726896551724138,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.07610344827586207,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.07951724137931035,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.08293103448275863,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.0863448275862069,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.08975862068965518,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.09317241379310345,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.09658620689655173,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
0.1,57.8,2.7129319932501077,3.4091664731264286,0.1693934429276979,1347.9,106.60154783116425,0.0,0.0
