delta,mean_transitions,mean_dwell,mean_occupancy,mean_phase_transitions,mean_phase_dwell,mean_phase_occupancy
0.1,36.3,4.022048364153628,634.5,35.9,4.065908013276434,634.5
0.2,44.8,3.2756706753006477,702.4,44.1,3.3260869565217392,702.4
0.3,47.5,3.0931122448979593,651.9,47.2,3.112244897959184,651.9
0.4,49.0,3.0,620.6,48.2,3.048979591836735,620.6
0.5,50.0,2.9411764705882355,562.3,49.0,3.0,562.3
0.6,51.0,2.884615384615384,583.3,50.0,2.9411764705882355,583.3
0.7,51.0,2.884615384615384,530.0,51.0,2.884615384615384,530.0
0.7999999999999999,51.8,2.8410740203193035,471.4,51.0,2.884615384615384,471.4
0.8999999999999999,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
0.9999999999999999,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
1.0999999999999999,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
1.2,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
1.3,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
1.4,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
1.5,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
1.5999999999999999,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
1.7,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
1.8,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
1.9,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
2.0,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
2.0999999999999996,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
2.1999999999999997,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
2.3,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
2.4,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
2.5,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
2.6,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
2.6999999999999997,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
2.8,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
2.9,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
3.0,51.8,2.8410740203193035,471.0,51.0,2.884615384615384,471.0
